 2004-Dec-31 11:30     18:43:50.01 -23:03:22.0
 2004-Dec-31 11:40     18:43:51.85 -23:03:20.1
 2004-Dec-31 11:50     18:43:53.69 -23:03:18.2
 2004-Dec-31 12:00     18:43:55.53 -23:03:16.3
 2004-Dec-31 12:10     18:43:57.37 -23:03:14.3
 2004-Dec-31 12:20     18:43:59.21 -23:03:12.4
 2004-Dec-31 12:30     18:44:01.05 -23:03:10.5
 2004-Dec-31 12:40     18:44:02.89 -23:03:08.5
 2004-Dec-31 12:50     18:44:04.73 -23:03:06.6
 2004-Dec-31 13:00     18:44:06.57 -23:03:04.7
 2004-Dec-31 13:10     18:44:08.41 -23:03:02.7
 2004-Dec-31 13:20     18:44:10.25 -23:03:00.8
 2004-Dec-31 13:30     18:44:12.09 -23:02:58.8
 2004-Dec-31 13:40     18:44:13.93 -23:02:56.9
 2004-Dec-31 13:50     18:44:15.77 -23:02:55.0
 2004-Dec-31 14:00     18:44:17.61 -23:02:53.0
 2004-Dec-31 14:10     18:44:19.45 -23:02:51.1
 2004-Dec-31 14:20     18:44:21.29 -23:02:49.1
 2004-Dec-31 14:30     18:44:23.13 -23:02:47.2
 2004-Dec-31 14:40     18:44:24.97 -23:02:45.2
 2004-Dec-31 14:50     18:44:26.81 -23:02:43.3
 2004-Dec-31 15:00     18:44:28.65 -23:02:41.3
 2004-Dec-31 15:10     18:44:30.49 -23:02:39.4
 2004-Dec-31 15:20     18:44:32.34 -23:02:37.4
 2004-Dec-31 15:30     18:44:34.18 -23:02:35.4
 2004-Dec-31 15:40     18:44:36.02 -23:02:33.5
 2004-Dec-31 15:50     18:44:37.86 -23:02:31.5
 2004-Dec-31 16:00     18:44:39.70 -23:02:29.6
 2004-Dec-31 16:10     18:44:41.54 -23:02:27.6
 2004-Dec-31 16:20     18:44:43.38 -23:02:25.6
 2004-Dec-31 16:30     18:44:45.22 -23:02:23.7
 2004-Dec-31 16:40     18:44:47.06 -23:02:21.7
 2004-Dec-31 16:50     18:44:48.90 -23:02:19.7
