#wl	irradiance*RSR
375.0	-4.43619985396531e-07
380.0	3.4953652290436467e-07
385.0	-4.25311741238859e-07
390.0	-4.154205667092299e-06
395.0	-1.8571981430822447e-06
400.0	9.468458751267589e-09
405.0	-6.578138883113784e-06
410.0	1.1521809679514789e-05
415.0	1.0022394489287255e-05
420.0	-2.0049312786595323e-06
425.0	-2.1241926632260183e-05
430.0	3.268490637488583e-05
435.0	5.9792729902095524e-05
440.0	0.0007247351885779594
445.0	0.07746997358186175
450.0	1.0563623688864783
455.0	1.163750636650495
460.0	1.194606707962081
465.0	1.2120159576901235
470.0	1.1903236289702304
475.0	1.2920391937888707
480.0	1.3572335923549315
485.0	1.275499245121496
490.0	1.361561666610452
495.0	1.3817330332314106
500.0	1.3402074653548632
505.0	1.334495326561706
510.0	1.3247504590980506
515.0	1.3085424147066413
520.0	1.2502106795560337
525.0	1.2997205795609108
530.0	1.2753577917990662
535.0	1.2286254469823132
540.0	1.1396735869259658
545.0	1.1724812439042755
550.0	1.1210491182482976
555.0	1.0826551891549172
560.0	1.0008152692570895
565.0	0.9527424166272641
570.0	0.917632791675658
575.0	0.9474806147628481
580.0	1.0117106204572583
585.0	1.0812197213702548
590.0	1.027028199444076
595.0	1.056038520106794
600.0	1.0130031145016551
605.0	0.9568619205099335
610.0	0.8959996867574535
615.0	0.8571520823938674
620.0	0.8229885365039137
625.0	0.7766203917534186
630.0	0.767097273254157
635.0	0.7379539629889246
635.0	0.7379539629889246
640.0	0.7242695854220182
645.0	0.7067625531665281
645.0	0.7067625531665279
650.0	0.6548448248815582
655.0	0.6249757164358474
655.0	0.6249757164358503
660.0	0.6356631129147617
665.0	0.6204982890044051
665.0	0.6204982890044048
670.0	0.5963538533723884
675.0	0.5824219176178834
675.0	0.5824219176178835
680.0	0.5671614610596971
685.0	0.5436529368313431
685.0	0.5436529368313431
690.0	0.5375820817585963
695.0	0.5042639367692637
695.0	0.5042639367692634
700.0	0.14034303522632638
705.0	0.00777880750487452
705.0	0.00777880750487452
710.0	0.0006121678654440621
715.0	8.287136283356254e-05
715.0	8.287136283356257e-05
720.0	7.0535765074290604e-06
725.0	4.17207923434474e-06
725.0	4.17207923434474e-06
730.0	1.1625264133489791e-06
735.0	5.667978307927296e-07
735.0	5.667978307927294e-07
740.0	6.4887521027471965e-09
745.0	-4.654350958096203e-06
745.0	-4.654350958096202e-06
750.0	3.8454504462945564e-06
755.0	-4.800382559776083e-06
755.0	-4.800382559776082e-06
760.0	4.6648220759437873e-07
765.0	4.519873361764869e-07
765.0	4.5198733617648655e-07
770.0	-9.041504772479882e-07
775.0	8.493217844656146e-07
775.0	8.493217844656146e-07
780.0	8.57565232569984e-07
785.0	4.0989527956308327e-07
785.0	4.0989527956308327e-07
790.0	4.040307630112268e-07
795.0	1.2413091385978051e-06
795.0	1.2413091385978051e-06
800.0	-1.1828381210461311e-06
805.0	1.0782239194555923e-08
805.0	1.078223919455592e-08
810.0	4.285700266936015e-06
815.0	-2.3088009880946886e-06
815.0	-2.3088009880946886e-06
820.0	-1.0470099799699111e-06
825.0	-6.759733008803818e-07
825.0	-6.759733008803818e-07
830.0	6.55268162398758e-07
835.0	-1.5274654325036468e-06
835.0	-1.5274654325036468e-06
840.0	-1.6840452698000655e-06
845.0	-2.5018789840504003e-06
845.0	-2.5018789840504003e-06
850.0	-3.2477004843226297e-06
855.0	-1.2787701980762334e-06
855.0	-1.2787701980762438e-06
860.0	2.051530163698144e-06
865.0	1.0658673943188583e-06
865.0	1.0658673943188583e-06
870.0	-1.7584340324753949e-06
875.0	7.143948292701176e-06
875.0	7.143948292701176e-06
880.0	3.076220178678287e-06
885.0	1.4600548404338546e-05
885.0	1.4600548404338533e-05
890.0	-5.198511240397712e-06
895.0	2.3447088579393676e-06
895.0	2.344708857939368e-06
900.0	-1.6986884818445177e-05
905.0	-6.609432105040938e-07
905.0	-6.609432105040942e-07
910.0	1.1813476525300873e-06
915.0	-2.6473417624716793e-06
915.0	-2.6473417624716793e-06
920.0	9.658343828846443e-06
925.0	9.351599258210474e-07
925.0	9.351599258210472e-07
930.0	7.152200187030529e-06
935.0	-3.546114482545846e-07
935.0	-3.546114482545846e-07
940.0	2.5896366937268785e-06
945.0	1.976684639860074e-06
945.0	1.976684639860074e-06
950.0	-3.117000256142154e-07
