#Disk Reflectance Results
#Wavelength		Reflectance
3.500000000000000000e+02 7.954708190406971358e-02
3.551000000000000227e+02 7.619840073401348834e-02
4.050000000000000000e+02 1.050179935175220985e-01
4.123000000000000114e+02 1.055398396102263242e-01
4.143999999999999773e+02 9.836957771583830501e-02
4.416000000000000227e+02 1.055441216128895077e-01
4.658000000000000114e+02 1.062281578207576044e-01
4.750000000000000000e+02 1.118903694102011820e-01
4.868999999999999773e+02 1.148301394128903169e-01
5.440000000000000000e+02 1.256659749255389091e-01
5.491000000000000227e+02 1.298587192731862350e-01
5.537999999999999545e+02 1.270284851861596120e-01
6.651000000000000227e+02 1.573598252489724070e-01
6.931000000000000227e+02 1.538332348790516224e-01
7.036000000000000227e+02 1.519404447225769783e-01
7.452999999999999545e+02 1.583410125132750923e-01
7.637000000000000455e+02 1.618253322164178720e-01
7.747999999999999545e+02 1.668138915473271755e-01
8.652999999999999545e+02 1.758676989238007193e-01
8.726000000000000227e+02 1.713458104467615317e-01
8.820000000000000000e+02 1.760675760161935499e-01
9.283999999999999773e+02 1.775943945674221258e-01
9.392999999999999545e+02 1.691880509350661421e-01
9.421000000000000227e+02 1.844689406547805333e-01
1.059500000000000000e+03 1.989920402902483620e-01
1.243200000000000045e+03 2.121574466179990126e-01
1.538700000000000045e+03 2.525564936208322675e-01
1.633599999999999909e+03 2.563154303916412857e-01
1.981500000000000000e+03 2.714038077016552863e-01
2.126300000000000182e+03 2.096307557777598585e-01
2.250900000000000091e+03 3.252613335408506279e-01
2.383599999999999909e+03 3.127786354749552689e-01
