#This header contains the Wherli spectrum that is used to derive the ROLO irradiance from the ROLO
#reflectance. The format of the spectrum is consistent with the original one.
#  Wehrli, C. Extraterrestrial Solar Spectrum, Publication n no. 661155
#  Physikalisch-Meteorologisches Observatorium + World Radiation
#  Center (PMO/WRC) Davos Dorf, Switzerland, July 1985
#   Please note that the units of are changed to the GIRO units in
#   GIRO_ROLO_REF_SOL_CHAN.c
#Wavelengths in [nanometer]
#wl(nm)	irr(W/(nm*m^2))
  199.5	5.498E-003
  200.5	 7.034E-003
  201.5	 7.176E-003
  202.5	 7.875E-003
  203.5	 8.704E-003
  204.5	 9.467E-003
  205.5	 9.556E-003
  206.5	 1.018E-002
  207.5	 1.147E-002
  208.5	 1.456E-002
  209.5	 2.424E-002
  210.5	 2.751E-002
  211.5	 3.386E-002
  212.5	 3.015E-002
  213.5	 3.187E-002
  214.5	 4.096E-002
  215.5	 3.691E-002
  216.5	 3.417E-002
  217.5	 3.611E-002
  218.5	 4.494E-002
  219.5	 4.762E-002
  220.5	 4.813E-002
  221.5	 3.931E-002
  222.5	 5.064E-002
  223.5	 6.585E-002
  224.5	 5.787E-002
  225.5	 5.392E-002
  226.5	 4.098E-002
  227.5	 4.089E-002
  228.5	 5.399E-002
  229.5	 4.779E-002
  230.5	 5.628E-002
  231.5	 4.995E-002
  232.5	 5.486E-002
  233.5	 4.587E-002
  234.5	 3.933E-002
  235.5	 5.694E-002
  236.5	 4.923E-002
  237.5	 5.328E-002
  238.5	 4.192E-002
  239.5	 4.646E-002
  240.5	 4.305E-002
  241.5	 5.248E-002
  242.5	 7.247E-002
  243.5	 6.541E-002
  244.5	 6.239E-002
  245.5	 5.114E-002
  246.5	 5.150E-002
  247.5	 5.714E-002
  248.5	 4.518E-002
  249.5	 5.843E-002
  250.5	 5.923E-002
  251.5	 4.661E-002
  252.5	 4.399E-002
  253.5	 5.548E-002
  254.5	 6.079E-002
  255.5	 8.850E-002
  256.5	 1.067E-001
  257.5	 1.294E-001
  258.5	 1.343E-001
  259.5	 1.078E-001
  260.5	 1.020E-001
  261.5	 1.032E-001
  262.5	 1.209E-001
  263.5	 1.754E-001
  264.5	 2.737E-001
  265.5	 2.802E-001
  266.5	 2.605E-001
  267.5	 2.699E-001
  268.5	 2.600E-001
  269.5	 2.524E-001
  270.5	 2.933E-001
  271.5	 2.323E-001
  272.5	 2.147E-001
  273.5	 2.038E-001
  274.5	 1.373E-001
  275.5	 2.002E-001
  276.5	 2.583E-001
  277.5	 2.402E-001
  278.5	 1.659E-001
  279.5	 8.942E-002
  280.5	 1.124E-001
  281.5	 2.311E-001
  282.5	 3.068E-001
  283.5	 3.295E-001
  284.5	 2.440E-001
  285.5	 1.410E-001
  286.5	 3.199E-001
  287.5	 3.712E-001
  288.5	 3.066E-001
  289.5	 4.556E-001
  290.5	 6.227E-001
  291.5	 6.002E-001
  292.5	 5.452E-001
  293.5	 5.454E-001
  294.5	 5.092E-001
  295.5	 5.484E-001
  296.5	 4.924E-001
  297.5	 5.314E-001
  298.5	 4.127E-001
  299.5	 4.848E-001
  300.5	 4.026E-001
  301.5	 4.454E-001
  302.5	 4.839E-001
  303.5	 6.307E-001
  304.5	 6.104E-001
  305.5	 5.798E-001
  306.5	 5.753E-001
  307.5	 6.450E-001
  308.5	 6.134E-001
  309.5	 4.839E-001
  310.0	 4.946E-001
  310.4	 5.070E-001
  310.8	 5.881E-001
  311.2	 7.069E-001
  311.6	 7.475E-001
  312.0	 7.070E-001
  312.4	 6.439E-001
  312.8	 6.628E-001
  313.2	 7.101E-001
  313.6	 6.913E-001
  314.0	 6.895E-001
  314.4	 7.216E-001
  314.8	 6.726E-001
  315.2	 6.953E-001
  315.6	 7.652E-001
  316.0	 6.747E-001
  316.4	 5.691E-001
  316.8	 6.229E-001
  317.2	 7.486E-001
  317.6	 8.298E-001
  318.0	 8.129E-001
  318.4	 6.732E-001
  318.8	 6.421E-001
  319.2	 7.678E-001
  319.6	 7.594E-001
  320.0	 7.122E-001
  320.4	 7.784E-001
  320.8	 8.437E-001
  321.2	 8.466E-001
  321.6	 7.362E-001
  322.0	 6.947E-001
  322.4	 7.732E-001
  322.8	 7.581E-001
  323.2	 6.457E-001
  323.6	 6.032E-001
  324.0	 6.042E-001
  324.4	 6.185E-001
  324.8	 6.545E-001
  325.2	 6.460E-001
  325.6	 6.820E-001
  326.0	 8.524E-001
  326.4	 1.049E+000
  326.8	 1.111E+000
  327.2	 1.108E+000
  327.6	 1.050E+000
  328.0	 9.645E-001
  328.4	 9.144E-001
  328.8	 9.126E-001
  329.2	 9.515E-001
  329.6	 1.043E+000
  330.0	 1.144E+000
  330.4	 1.137E+000
  330.5	 1.006E+000
  331.5	 9.676E-001
  332.5	 9.207E-001
  333.5	 9.047E-001
  334.5	 9.397E-001
  335.5	 9.816E-001
  336.5	 7.649E-001
  337.5	 8.658E-001
  338.5	 9.157E-001
  339.5	 9.367E-001
  340.5	 9.916E-001
  341.5	 9.357E-001
  342.5	 9.946E-001
  343.5	 9.846E-001
  344.5	 7.190E-001
  345.5	 9.666E-001
  346.5	 9.187E-001
  347.5	 9.017E-001
  348.5	 9.477E-001
  349.5	 8.648E-001
  350.5	 1.119E+000
  351.5	 9.926E-001
  352.5	 8.708E-001
  353.5	 1.115E+000
  354.5	 1.133E+000
  355.5	 1.058E+000
  356.5	 9.377E-001
  357.5	 8.908E-001
  358.5	 6.271E-001
  359.5	 1.136E+000
  360.5	 9.786E-001
  361.5	 8.937E-001
  362.5	 1.175E+000
  363.5	 9.577E-001
  364.5	 1.015E+000
  365.5	 1.263E+000
  366.5	 1.249E+000
  367.5	 1.214E+000
  368.5	 1.088E+000
  369.5	 1.331E+000
  370.5	 1.075E+000
  371.5	 1.307E+000
  372.5	 1.065E+000
  373.5	 8.378E-001
  374.5	 8.778E-001
  375.5	 1.141E+000
  376.5	 1.101E+000
  377.5	 1.291E+000
  378.5	 1.341E+000
  379.5	 9.996E-001
  380.5	 1.289E+000
  381.5	 1.096E+000
  382.5	 7.330E-001
  383.5	 6.840E-001
  384.5	 1.027E+000
  385.5	 9.537E-001
  386.5	 1.071E+000
  387.5	 9.656E-001
  388.5	 9.117E-001
  389.5	 1.227E+000
  390.5	 1.223E+000
  391.5	 1.398E+000
  392.5	 9.547E-001
  393.5	 4.893E-001
  394.5	 1.101E+000
  395.5	 1.378E+000
  396.5	 6.501E-001
  397.5	 1.040E+000
  398.5	 1.538E+000
  399.5	 1.655E+000
  400.5	 1.649E+000
  401.5	 1.796E+000
  402.5	 1.803E+000
  403.5	 1.658E+000
  404.5	 1.602E+000
  405.5	 1.672E+000
  406.5	 1.624E+000
  407.5	 1.545E+000
  408.5	 1.824E+000
  409.5	 1.706E+000
  410.5	 1.502E+000
  411.5	 1.819E+000
  412.5	 1.791E+000
  413.5	 1.758E+000
  414.5	 1.739E+000
  415.5	 1.736E+000
  416.5	 1.844E+000
  417.5	 1.667E+000
  418.5	 1.686E+000
  419.5	 1.703E+000
  420.5	 1.760E+000
  421.5	 1.799E+000
  422.5	 1.584E+000
  423.5	 1.713E+000
  424.5	 1.770E+000
  425.5	 1.697E+000
  426.5	 1.700E+000
  427.5	 1.571E+000
  428.5	 1.589E+000
  429.5	 1.477E+000
  430.5	 1.136E+000
  431.5	 1.688E+000
  432.5	 1.648E+000
  433.5	 1.733E+000
  434.5	 1.672E+000
  435.5	 1.725E+000
  436.5	 1.931E+000
  437.5	 1.808E+000
  438.5	 1.569E+000
  439.5	 1.827E+000
  440.5	 1.715E+000
  441.5	 1.933E+000
  442.5	 1.982E+000
  443.5	 1.911E+000
  444.5	 1.975E+000
  445.5	 1.823E+000
  446.5	 1.893E+000
  447.5	 2.079E+000
  448.5	 1.975E+000
  449.5	 2.029E+000
  450.5	 2.146E+000
  451.5	 2.111E+000
  452.5	 1.943E+000
  453.5	 1.972E+000
  454.5	 1.981E+000
  455.5	 2.036E+000
  456.5	 2.079E+000
  457.5	 2.102E+000
  458.5	 1.973E+000
  459.5	 2.011E+000
  460.5	 2.042E+000
  461.5	 2.057E+000
  462.5	 2.106E+000
  463.5	 2.042E+000
  464.5	 1.978E+000
  465.5	 2.044E+000
  466.5	 1.923E+000
  467.5	 2.017E+000
  468.5	 1.996E+000
  469.5	 1.992E+000
  470.5	 1.879E+000
  471.5	 2.020E+000
  472.5	 2.043E+000
  473.5	 1.993E+000
  474.5	 2.053E+000
  475.5	 2.018E+000
  476.5	 1.958E+000
  477.5	 2.077E+000
  478.5	 2.011E+000
  479.5	 2.078E+000
  480.5	 2.037E+000
  481.5	 2.092E+000
  482.5	 2.025E+000
  483.5	 2.021E+000
  484.5	 1.971E+000
  485.5	 1.832E+000
  486.5	 1.627E+000
  487.5	 1.832E+000
  488.5	 1.916E+000
  489.5	 1.962E+000
  490.5	 2.009E+000
  491.5	 1.898E+000
  492.5	 1.898E+000
  493.5	 1.890E+000
  494.5	 2.060E+000
  495.5	 1.928E+000
  496.5	 2.019E+000
  497.5	 2.020E+000
  498.5	 1.868E+000
  499.5	 1.972E+000
  500.5	 1.859E+000
  501.5	 1.814E+000
  502.5	 1.896E+000
  503.5	 1.936E+000
  504.5	 1.871E+000
  505.5	 1.995E+000
  506.5	 1.963E+000
  507.5	 1.908E+000
  508.5	 1.921E+000
  509.5	 1.918E+000
  510.5	 1.949E+000
  511.5	 1.999E+000
  512.5	 1.869E+000
  513.5	 1.863E+000
  514.5	 1.876E+000
  515.5	 1.902E+000
  516.5	 1.671E+000
  517.5	 1.728E+000
  518.5	 1.656E+000
  519.5	 1.830E+000
  520.5	 1.833E+000
  521.5	 1.908E+000
  522.5	 1.825E+000
  523.5	 1.896E+000
  524.5	 1.960E+000
  525.5	 1.932E+000
  526.5	 1.676E+000
  527.5	 1.830E+000
  528.5	 1.899E+000
  529.5	 1.920E+000
  530.5	 1.954E+000
  531.5	 1.965E+000
  532.5	 1.773E+000
  533.5	 1.925E+000
  534.5	 1.860E+000
  535.5	 1.992E+000
  536.5	 1.873E+000
  537.5	 1.884E+000
  538.5	 1.906E+000
  539.5	 1.834E+000
  540.5	 1.772E+000
  541.5	 1.883E+000
  542.5	 1.827E+000
  543.5	 1.881E+000
  544.5	 1.881E+000
  545.5	 1.903E+000
  546.5	 1.881E+000
  547.5	 1.835E+000
  548.5	 1.865E+000
  549.5	 1.897E+000
  550.5	 1.864E+000
  551.5	 1.873E+000
  552.5	 1.848E+000
  553.5	 1.884E+000
  554.5	 1.900E+000
  555.5	 1.899E+000
  556.5	 1.823E+000
  557.5	 1.848E+000
  558.5	 1.789E+000
  559.5	 1.810E+000
  560.5	 1.845E+000
  561.5	 1.826E+000
  562.5	 1.852E+000
  563.5	 1.863E+000
  564.5	 1.856E+000
  565.5	 1.800E+000
  566.5	 1.831E+000
  567.5	 1.889E+000
  568.5	 1.812E+000
  569.5	 1.862E+000
  570.5	 1.772E+000
  571.5	 1.825E+000
  572.5	 1.894E+000
  573.5	 1.878E+000
  574.5	 1.869E+000
  575.5	 1.832E+000
  576.5	 1.848E+000
  577.5	 1.859E+000
  578.5	 1.786E+000
  579.5	 1.830E+000
  580.5	 1.840E+000
  581.5	 1.855E+000
  582.5	 1.875E+000
  583.5	 1.859E+000
  584.5	 1.862E+000
  585.5	 1.786E+000
  586.5	 1.832E+000
  587.5	 1.850E+000
  588.5	 1.752E+000
  589.5	 1.614E+000
  590.5	 1.815E+000
  591.5	 1.789E+000
  592.5	 1.810E+000
  593.5	 1.798E+000
  594.5	 1.776E+000
  595.5	 1.785E+000
  596.5	 1.807E+000
  597.5	 1.783E+000
  598.5	 1.760E+000
  599.5	 1.777E+000
  600.5	 1.748E+000
  601.5	 1.753E+000
  602.5	 1.721E+000
  603.5	 1.789E+000
  604.5	 1.779E+000
  605.5	 1.766E+000
  606.5	 1.762E+000
  607.5	 1.760E+000
  608.5	 1.745E+000
  609.5	 1.746E+000
  610.5	 1.705E+000
  611.5	 1.748E+000
  612.5	 1.707E+000
  613.5	 1.685E+000
  614.5	 1.715E+000
  615.5	 1.715E+000
  616.5	 1.611E+000
  617.5	 1.709E+000
  618.5	 1.726E+000
  619.5	 1.709E+000
  620.5	 1.736E+000
  621.5	 1.692E+000
  622.5	 1.715E+000
  623.5	 1.668E+000
  624.5	 1.658E+000
  625.5	 1.634E+000
  626.5	 1.699E+000
  627.5	 1.699E+000
  628.5	 1.699E+000
  629.5	 1.679E+000
  631.0	 1.641E+000
  633.0	 1.653E+000
  635.0	 1.658E+000
  637.0	 1.656E+000
  639.0	 1.653E+000
  641.0	 1.616E+000
  643.0	 1.623E+000
  645.0	 1.629E+000
  647.0	 1.605E+000
  649.0	 1.560E+000
  651.0	 1.608E+000
  653.0	 1.601E+000
  655.0	 1.534E+000
  657.0	 1.386E+000
  659.0	 1.551E+000
  661.0	 1.573E+000
  663.0	 1.557E+000
  665.0	 1.562E+000
  667.0	 1.537E+000
  669.0	 1.548E+000
  671.0	 1.518E+000
  673.0	 1.523E+000
  675.0	 1.512E+000
  677.0	 1.510E+000
  679.0	 1.500E+000
  681.0	 1.494E+000
  683.0	 1.481E+000
  685.0	 1.457E+000
  687.0	 1.469E+000
  689.0	 1.463E+000
  691.0	 1.450E+000
  693.0	 1.450E+000
  695.0	 1.438E+000
  697.0	 1.418E+000
  699.0	 1.427E+000
  701.0	 1.388E+000
  703.0	 1.390E+000
  705.0	 1.417E+000
  707.0	 1.402E+000
  709.0	 1.386E+000
  711.0	 1.387E+000
  713.0	 1.375E+000
  715.0	 1.368E+000
  717.0	 1.355E+000
  719.0	 1.329E+000
  721.0	 1.332E+000
  723.0	 1.349E+000
  725.0	 1.351E+000
  727.0	 1.347E+000
  729.0	 1.320E+000
  731.0	 1.327E+000
  733.0	 1.319E+000
  735.0	 1.310E+000
  737.0	 1.308E+000
  739.0	 1.279E+000
  741.0	 1.259E+000
  743.0	 1.287E+000
  745.0	 1.280E+000
  747.0	 1.284E+000
  749.0	 1.271E+000
  751.0	 1.263E+000
  753.0	 1.260E+000
  755.0	 1.256E+000
  757.0	 1.249E+000
  759.0	 1.241E+000
  761.0	 1.238E+000
  763.0	 1.242E+000
  765.0	 1.222E+000
  767.0	 1.186E+000
  769.0	 1.204E+000
  771.0	 1.205E+000
  773.0	 1.209E+000
  775.0	 1.189E+000
  777.0	 1.197E+000
  779.0	 1.188E+000
  781.0	 1.188E+000
  783.0	 1.177E+000
  785.0  1.181E+000
  787.0	 1.178E+000
  789.0	 1.175E+000
  791.0	 1.159E+000
  793.0	 1.144E+000
  795.0	 1.135E+000
  797.0	 1.153E+000
  799.0	 1.136E+000
  801.0	 1.143E+000
  803.0	 1.130E+000
  805.0	 1.116E+000
  807.0	 1.121E+000
  809.0	 1.096E+000
  811.0	 1.115E+000
  813.0	 1.116E+000
  815.0	 1.108E+000
  817.0	 1.105E+000
  819.0	 1.065E+000
  821.0	 1.081E+000
  823.0	 1.074E+000
  825.0	 1.076E+000
  827.0	 1.077E+000
  829.0	 1.073E+000
  831.0	 1.069E+000
  833.0	 1.034E+000
  835.0	 1.053E+000
  837.0	 1.052E+000
  839.0	 1.042E+000
  841.0	 1.045E+000
  843.0	 1.028E+000
  845.0	 1.033E+000
  847.0	 1.025E+000
  849.0	 9.706E-001
  851.0	 1.003E+000
  853.0	 9.726E-001
  855.0	 8.768E-001
  857.0	 1.011E+000
  859.0	 9.966E-001
  861.0	 9.966E-001
  863.0	 9.986E-001
  865.0	 9.696E-001
  867.0	 8.798E-001
  869.0	 9.666E-001
  871.0	 9.861E-001
  873.0	 9.784E-001
  875.0	 9.814E-001
  877.0	 9.835E-001
  879.0	 9.591E-001
  881.0	 9.605E-001
  883.0	 9.484E-001
  885.0	 9.629E-001
  887.0	 9.474E-001
  889.0	 9.490E-001
  891.0	 9.441E-001
  893.0	 9.338E-001
  895.0	 9.355E-001
  897.0	 9.390E-001
  899.0	 9.118E-001
  901.0	 9.048E-001
  903.0	 9.049E-001
  905.0	 8.927E-001
  907.0	 8.906E-001
  909.0	 8.613E-001
  911.0	 8.703E-001
  913.0	 8.763E-001
  915.0	 8.662E-001
  917.0	 8.591E-001
  919.0	 8.580E-001
  921.0	 8.302E-001
  923.0	 8.213E-001
  925.0	 8.253E-001
  927.0	 8.284E-001
  929.0	 8.325E-001
  931.0	 8.258E-001
  933.0	 8.320E-001
  935.0	 8.177E-001
  937.0	 8.016E-001
  939.0	 8.080E-001
  941.0	 8.000E-001
  943.0	 7.842E-001
  945.0	 7.988E-001
  947.0	 7.930E-001
  949.0	 7.768E-001
  951.0	 7.782E-001
  953.0	 7.710E-001
  955.0	 7.600E-001
  957.0	 7.735E-001
  959.0	 7.707E-001
  961.0	 7.671E-001
  963.0	 7.666E-001
  965.0	 7.643E-001
  967.0	 7.574E-001
  969.0	 7.760E-001
  971.0	 7.627E-001
  973.0	 7.642E-001
  975.0	 7.503E-001
  977.0	 7.679E-001
  979.0	 7.682E-001
  981.0	 7.618E-001
  983.0	 7.665E-001
  985.0	 7.713E-001
