#Brown University Keck/NASA Relab Spectrum LS-CMP-010/C1LS10
#Wavelength(micron)	Reflectance	Standard Deviation
0.35	0.31837	0.01496
0.355	0.33068	0.01494
0.36	0.34093	0.01515
0.365	0.35166	0.01521
0.37	0.36245	0.01657
0.375	0.37268	0.01701
0.38	0.38036	0.01720
0.385	0.38723	0.01657
0.39	0.39398	0.01708
0.395	0.39908	0.01688
0.4	0.40382	0.01770
0.405	0.40763	0.01662
0.41	0.41330	0.01676
0.415	0.41679	0.01625
0.42	0.41983	0.01654
0.425	0.42313	0.01619
0.43	0.42627	0.01686
0.435	0.42953	0.01647
0.44	0.43242	0.01600
0.445	0.43432	0.01599
0.45	0.43556	0.01591
0.455	0.43646	0.01534
0.46	0.43882	0.01547
0.465	0.44082	0.01473
0.47	0.44273	0.01317
0.475	0.44454	0.01385
0.48	0.44645	0.01328
0.485	0.44772	0.01327
0.49	0.44851	0.01340
0.495	0.44939	0.01265
0.5	0.44924	0.01228
0.505	0.44957	0.01207
0.51	0.45185	0.01202
0.515	0.45434	0.01236
0.52	0.45593	0.01195
0.525	0.45712	0.01176
0.53	0.45777	0.01187
0.535	0.45863	0.01171
0.54	0.45946	0.01118
0.545	0.45989	0.01131
0.55	0.46088	0.01124
0.555	0.46236	0.01133
0.56	0.46290	0.01085
0.565	0.46426	0.01058
0.57	0.46488	0.01033
0.575	0.46514	0.01051
0.58	0.46617	0.01036
0.585	0.46696	0.00993
0.59	0.46798	0.01023
0.595	0.46918	0.01020
0.6	0.47075	0.00990
0.605	0.47160	0.00984
0.61	0.47303	0.00937
0.615	0.47356	0.00947
0.62	0.47474	0.00940
0.625	0.47577	0.00891
0.63	0.47687	0.00899
0.635	0.47885	0.00897
0.64	0.48070	0.00844
0.645	0.48166	0.00854
0.65	0.48473	0.00842
0.655	0.48603	0.00781
0.66	0.48885	0.00735
0.665	0.48991	0.00913
0.67	0.49301	0.00854
0.675	0.49422	0.00885
0.68	0.49525	0.00920
0.685	0.49812	0.00822
0.69	0.49947	0.00767
0.695	0.50112	0.00814
0.7	0.50334	0.00850
0.705	0.50508	0.00743
0.71	0.50689	0.00831
0.715	0.50831	0.00800
0.72	0.51048	0.00846
0.725	0.51180	0.00805
0.73	0.51279	0.00779
0.735	0.51467	0.00854
0.74	0.51480	0.00934
0.745	0.51632	0.00862
0.75	0.51760	0.00758
0.755	0.51659	0.00845
0.76	0.51852	0.01029
0.765	0.51770	0.01079
0.77	0.51692	0.00842
0.775	0.51546	0.01008
0.78	0.51480	0.00943
0.785	0.51432	0.00909
0.79	0.51269	0.01057
0.795	0.51040	0.01071
0.8	0.50665	0.00852
0.805	0.50503	0.00961
0.81	0.50183	0.01046
0.815	0.49854	0.00815
0.82	0.49333	0.00680
0.825	0.48957	0.01055
0.83	0.48591	0.00914
0.835	0.48228	0.00761
0.84	0.47921	0.00894
0.845	0.47351	0.00842
0.85	0.46941	0.00911
0.855	0.46345	0.00750
0.86	0.46029	0.00591
0.865	0.45560	0.00712
0.87	0.45183	0.00799
0.875	0.44756	0.00770
0.88	0.44435	0.00701
0.885	0.43986	0.00796
0.89	0.43772	0.00852
0.895	0.43387	0.00799
0.9	0.43266	0.00824
0.905	0.43066	0.00720
0.91	0.42874	0.00766
0.915	0.42689	0.00736
0.92	0.42592	0.00717
0.925	0.42485	0.00799
0.93	0.42424	0.00782
0.935	0.42348	0.00837
0.94	0.42480	0.00772
0.945	0.42469	0.00719
0.95	0.42564	0.00733
0.955	0.42557	0.00804
0.96	0.42758	0.00698
0.965	0.42927	0.00734
0.97	0.42961	0.00699
0.975	0.43322	0.00781
0.98	0.43519	0.00795
0.985	0.43792	0.00749
0.99	0.44007	0.00712
0.995	0.44230	0.00710
1	0.44402	0.00707
1.005	0.44633	0.00727
1.01	0.44826	0.00706
1.015	0.45168	0.00829
1.02	0.45427	0.00854
1.025	0.45578	0.00754
1.03	0.45651	0.00803
1.035	0.45854	0.00779
1.04	0.46078	0.00766
1.045	0.46356	0.00703
1.05	0.46640	0.00748
1.055	0.46772	0.00642
1.06	0.47002	0.00742
1.065	0.47266	0.00811
1.07	0.47515	0.00870
1.075	0.47885	0.00838
1.08	0.48023	0.00830
1.085	0.48402	0.00804
1.09	0.48645	0.00854
1.095	0.48976	0.00645
1.1	0.49196	0.00799
1.105	0.49487	0.00863
1.11	0.49899	0.00801
1.115	0.50292	0.00847
1.12	0.50437	0.00844
1.125	0.50574	0.00800
1.13	0.50867	0.00838
1.135	0.51107	0.00871
1.14	0.51313	0.00810
1.145	0.51419	0.00844
1.15	0.51596	0.00779
1.155	0.51730	0.00698
1.16	0.51933	0.00811
1.165	0.51975	0.00849
1.17	0.52110	0.00854
1.175	0.52180	0.00808
1.18	0.52240	0.00876
1.185	0.52240	0.00897
1.19	0.52320	0.00826
1.195	0.52413	0.00719
1.2	0.52601	0.00707
1.205	0.52654	0.00788
1.21	0.52732	0.00818
1.215	0.52683	0.00736
1.22	0.52720	0.00919
1.225	0.52818	0.00941
1.23	0.52812	0.00826
1.235	0.52800	0.00810
1.24	0.52822	0.00881
1.245	0.52810	0.00745
1.25	0.52939	0.00875
1.255	0.53092	0.00890
1.26	0.53067	0.00773
1.265	0.53150	0.00843
1.27	0.53214	0.00807
1.275	0.53386	0.00931
1.28	0.53511	0.00965
1.285	0.53605	0.00832
1.29	0.53542	0.00956
1.295	0.53710	0.00935
1.3	0.53847	0.00939
1.305	0.53860	0.00883
1.31	0.54067	0.00836
1.315	0.54153	0.00909
1.32	0.54284	0.00850
1.325	0.54547	0.00987
1.33	0.54563	0.00858
1.335	0.54574	0.00845
1.34	0.54689	0.01017
1.345	0.54819	0.01013
1.35	0.54898	0.01074
1.355	0.54934	0.00924
1.36	0.54859	0.00918
1.365	0.55292	0.01042
1.37	0.55513	0.01176
1.375	0.55483	0.00996
1.38	0.55424	0.00945
1.385	0.55959	0.00909
1.39	0.55966	0.00950
1.395	0.56064	0.01023
1.4	0.56169	0.01030
1.405	0.56260	0.01089
1.41	0.56531	0.01156
1.415	0.56583	0.01142
1.42	0.56686	0.01136
1.425	0.56594	0.00940
1.43	0.56790	0.01064
1.435	0.57038	0.00850
1.44	0.57161	0.00923
1.445	0.57130	0.00923
1.45	0.57146	0.00965
1.455	0.57161	0.00898
1.46	0.57324	0.01070
1.465	0.57429	0.00915
1.47	0.57474	0.00911
1.475	0.57498	0.01054
1.48	0.57685	0.01141
1.485	0.57760	0.00927
1.49	0.57638	0.01123
1.495	0.57641	0.01027
1.5	0.57739	0.01015
1.505	0.57937	0.01075
1.51	0.57813	0.00881
1.515	0.57940	0.01004
1.52	0.57873	0.01019
1.525	0.57938	0.00922
1.53	0.57935	0.01089
1.535	0.58092	0.01043
1.54	0.57871	0.01030
1.545	0.57819	0.01118
1.55	0.57969	0.00787
1.555	0.57951	0.01046
1.56	0.57910	0.00916
1.565	0.57966	0.01030
1.57	0.57865	0.00980
1.575	0.57694	0.00856
1.58	0.57876	0.00787
1.585	0.57817	0.00951
1.59	0.57750	0.01038
1.595	0.57724	0.00983
1.6	0.57630	0.01047
1.605	0.57597	0.00935
1.61	0.57482	0.01071
1.615	0.57334	0.01066
1.62	0.57395	0.01078
1.625	0.57304	0.01109
1.63	0.57248	0.01086
1.635	0.56880	0.01041
1.64	0.56752	0.00951
1.645	0.56693	0.01004
1.65	0.56587	0.00984
1.655	0.56638	0.01152
1.66	0.56591	0.01198
1.665	0.56244	0.01076
1.67	0.56402	0.01115
1.675	0.56272	0.00995
1.68	0.56105	0.00906
1.685	0.55968	0.00792
1.69	0.55712	0.00911
1.695	0.55744	0.00898
1.7	0.55420	0.00489
1.705	0.55344	0.00540
1.71	0.55291	0.00482
1.715	0.55267	0.00616
1.72	0.55161	0.00555
1.725	0.55109	0.00677
1.73	0.54936	0.00622
1.735	0.54806	0.00648
1.74	0.54641	0.00620
1.745	0.54543	0.00544
1.75	0.54453	0.00597
1.755	0.54435	0.00618
1.76	0.54272	0.00605
1.765	0.54218	0.00698
1.77	0.54263	0.00671
1.775	0.54068	0.00624
1.78	0.53887	0.00552
1.785	0.53900	0.00484
1.79	0.53685	0.00550
1.795	0.53433	0.00534
1.8	0.53311	0.00641
1.805	0.53119	0.00238
1.81	0.52862	0.00338
1.815	0.52764	0.00311
1.82	0.52705	0.00219
1.825	0.52525	0.00179
1.83	0.52562	0.00250
1.835	0.52492	0.00296
1.84	0.52516	0.00178
1.845	0.52136	0.00292
1.85	0.52228	0.00234
1.855	0.52029	0.00215
1.86	0.51932	0.00132
1.865	0.51544	0.00169
1.87	0.51892	0.00261
1.875	0.52627	0.00230
1.88	0.52245	0.00352
1.885	0.52000	0.00384
1.89	0.51973	0.00279
1.895	0.51653	0.00245
1.9	0.51422	0.00296
1.905	0.51644	0.00224
1.91	0.51613	0.00282
1.915	0.51547	0.00325
1.92	0.51571	0.00338
1.925	0.51667	0.00307
1.93	0.51671	0.00302
1.935	0.51570	0.00281
1.94	0.51647	0.00409
1.945	0.51573	0.00343
1.95	0.51548	0.00306
1.955	0.51492	0.00357
1.96	0.51365	0.00316
1.965	0.51517	0.00302
1.97	0.51499	0.00299
1.975	0.51584	0.00227
1.98	0.51667	0.00228
1.985	0.51591	0.00308
1.99	0.51656	0.00275
