#Disk Reflectance Results
#Wavelength		Reflectance
350.000000 0.017966
355.100000 0.017277
405.000000 0.024860
412.300000 0.025002
414.400000 0.023363
441.600000 0.025679
465.800000 0.026537
475.000000 0.028203
486.900000 0.028891
544.000000 0.032293
549.100000 0.033669
553.800000 0.032884
665.100000 0.042953
693.100000 0.042223
703.600000 0.042171
745.300000 0.044612
763.700000 0.045610
774.800000 0.047848
865.300000 0.050661
872.600000 0.049578
882.000000 0.050826
928.400000 0.050829
939.300000 0.047976
942.100000 0.049472
1059.500000 0.058005
1243.200000 0.063460
1538.700000 0.077395
1633.600000 0.079449
1981.500000 0.089276
2126.300000 0.088552
2250.900000 0.117068
2383.600000 0.114383
