#Brown University Keck/NASA Relab Spectrum LS-JBA-088-M/CLS171
#Wavelength(micron)	Reflectance
0.351	0.069000
0.354	0.072000
0.357	0.072333
0.36	0.073000
0.363	0.073667
0.366	0.074000
0.369	0.075000
0.372	0.075000
0.375	0.075000
0.378	0.076333
0.381	0.077000
0.384	0.077000
0.387	0.077333
0.39	0.078000
0.393	0.080000
0.396	0.081000
0.399	0.082000
0.402	0.082333
0.405	0.083000
0.408	0.083667
0.411	0.084000
0.414	0.084000
0.417	0.084667
0.42	0.086000
0.423	0.086667
0.426	0.087000
0.429	0.089000
0.432	0.089667
0.435	0.091000
0.438	0.091667
0.441	0.092000
0.444	0.092000
0.447	0.092333
0.45	0.093000
0.453	0.093667
0.456	0.094000
0.459	0.095000
0.462	0.095000
0.465	0.095000
0.468	0.096333
0.471	0.097000
0.474	0.098000
0.477	0.098333
0.48	0.099000
0.483	0.100333
0.486	0.101000
0.489	0.101000
0.492	0.101333
0.495	0.102000
0.498	0.102667
0.501	0.103000
0.504	0.103000
0.507	0.103333
0.51	0.104000
0.513	0.104000
0.517	0.104000
0.52	0.106000
0.523	0.106667
0.526	0.108000
0.529	0.108667
0.532	0.109000
0.535	0.109000
0.538	0.109333
0.541	0.110000
0.544	0.110667
0.547	0.111000
0.55	0.112000
0.553	0.112000
0.556	0.112000
0.559	0.112667
0.562	0.113000
0.565	0.113000
0.568	0.113333
0.571	0.114000
0.574	0.115333
0.577	0.116000
0.58	0.117000
0.583	0.117333
0.586	0.118000
0.589	0.118667
0.593	0.119000
0.596	0.120000
0.599	0.120333
0.602	0.121000
0.605	0.121000
0.608	0.121000
0.611	0.122000
0.614	0.122333
0.617	0.123000
0.62	0.123000
0.623	0.123000
0.626	0.124000
0.629	0.124667
0.632	0.126000
0.636	0.126667
0.639	0.127000
0.642	0.128000
0.645	0.128000
0.648	0.128000
0.651	0.129333
0.654	0.130000
0.657	0.131000
0.66	0.131000
0.664	0.131000
0.667	0.131000
0.67	0.131000
0.673	0.131000
0.676	0.131000
0.679	0.131000
