#Brown University Keck/NASA Relab Spectrum LS-CMP-025/C1LS25
#Wavelength(micron)	Reflectance
0.35	0.60649
0.355	0.62493
0.36	0.62829
0.365	0.64379
0.37	0.65037
0.375	0.66753
0.38	0.67696
0.385	0.67958
0.39	0.68693
0.395	0.69574
0.4	0.69090
0.405	0.69378
0.41	0.71528
0.415	0.72024
0.42	0.72454
0.425	0.73319
0.43	0.73674
0.435	0.74179
0.44	0.74418
0.445	0.74374
0.45	0.74886
0.455	0.75041
0.46	0.75589
0.465	0.75611
0.47	0.75869
0.475	0.76047
0.48	0.76510
0.485	0.76629
0.49	0.76980
0.495	0.77288
0.5	0.77546
0.505	0.77599
0.51	0.77943
0.515	0.78014
0.52	0.78209
0.525	0.78386
0.53	0.78641
0.535	0.78745
0.54	0.78962
0.545	0.78880
0.55	0.79099
0.555	0.79356
0.56	0.79422
0.565	0.79320
0.57	0.80032
0.575	0.79817
0.58	0.80234
0.585	0.80172
0.59	0.80360
0.595	0.80535
0.6	0.80743
0.605	0.80653
0.61	0.80794
0.615	0.80873
0.62	0.80998
0.625	0.80994
0.63	0.81192
0.635	0.81279
0.64	0.81314
0.645	0.81082
0.65	0.81647
0.655	0.81545
0.66	0.81817
0.665	0.81510
0.67	0.81893
0.675	0.82462
0.68	0.82058
0.685	0.82165
0.69	0.82600
0.695	0.82370
0.7	0.82507
0.705	0.82742
0.71	0.82776
0.715	0.82804
0.72	0.82621
0.725	0.82871
0.73	0.82893
0.735	0.82953
0.74	0.83109
0.745	0.83036
0.75	0.83441
0.755	0.83241
0.76	0.83628
0.765	0.83681
0.77	0.83414
0.775	0.83580
0.78	0.83937
0.785	0.83962
0.79	0.83745
0.795	0.83701
0.8	0.84283
0.805	0.83778
0.81	0.84217
0.815	0.84569
0.82	0.84525
0.825	0.85034
0.83	0.84320
0.835	0.84565
0.84	0.84884
0.845	0.84538
0.85	0.84468
0.855	0.83999
0.86	0.84534
0.865	0.85470
0.87	0.85398
0.875	0.86070
0.88	0.85797
0.885	0.85219
0.89	0.85668
0.895	0.85573
0.9	0.85944
0.905	0.85344
0.91	0.85651
0.915	0.85586
0.92	0.85553
0.925	0.85405
0.93	0.85407
0.935	0.85315
0.94	0.85526
0.945	0.85340
0.95	0.85188
0.955	0.85722
0.96	0.85399
0.965	0.85431
0.97	0.85535
0.975	0.85312
0.98	0.85427
0.985	0.85303
0.99	0.85390
0.995	0.85248
1	0.85258
1.005	0.85642
1.01	0.85186
1.015	0.85503
1.02	0.85103
1.025	0.85095
1.03	0.85418
1.035	0.85111
1.04	0.85048
1.045	0.85372
1.05	0.85289
1.055	0.85402
1.06	0.85753
1.065	0.85681
1.07	0.85629
1.075	0.85438
1.08	0.85666
1.085	0.85914
1.09	0.85849
1.095	0.85617
1.1	0.85853
1.105	0.85982
1.11	0.85750
1.115	0.86040
1.12	0.86335
1.125	0.86129
1.13	0.86455
1.135	0.86322
1.14	0.86536
1.145	0.86378
1.15	0.86394
1.155	0.86663
1.16	0.86672
1.165	0.86666
1.17	0.86302
1.175	0.86536
1.18	0.86777
1.185	0.87061
1.19	0.86748
1.195	0.86747
1.2	0.87036
1.205	0.87125
1.21	0.86986
1.215	0.87312
1.22	0.87134
1.225	0.86907
1.23	0.86809
1.235	0.87017
1.24	0.87296
1.245	0.87405
1.25	0.87519
1.255	0.87036
1.26	0.87046
1.265	0.86775
1.27	0.87041
1.275	0.86912
1.28	0.87066
1.285	0.86752
1.29	0.86980
1.295	0.87159
1.3	0.87055
1.305	0.87030
1.31	0.87113
1.315	0.87286
1.32	0.87282
1.325	0.87513
1.33	0.87286
1.335	0.87198
1.34	0.87567
1.345	0.87293
1.35	0.87377
1.355	0.87150
1.36	0.87521
1.365	0.87759
1.37	0.87531
1.375	0.87322
1.38	0.87737
1.385	0.87292
1.39	0.87441
1.395	0.87351
1.4	0.87599
1.405	0.87298
1.41	0.87362
1.415	0.87571
1.42	0.87758
1.425	0.87728
1.43	0.87787
1.435	0.88141
1.44	0.87439
1.445	0.87280
1.45	0.87754
1.455	0.87653
1.46	0.88170
1.465	0.87613
1.47	0.87608
1.475	0.87543
1.48	0.87400
1.485	0.87426
1.49	0.87630
1.495	0.87665
1.5	0.87908
1.505	0.87905
1.51	0.87758
1.515	0.87792
1.52	0.88290
1.525	0.87962
1.53	0.88320
1.535	0.88333
1.54	0.88456
1.545	0.87741
1.55	0.87992
1.555	0.88140
1.56	0.88331
1.565	0.88280
1.57	0.88091
1.575	0.88236
1.58	0.88412
1.585	0.88641
1.59	0.88374
1.595	0.88588
1.6	0.88722
1.605	0.88894
1.61	0.88645
1.615	0.88615
1.62	0.88737
1.625	0.88554
1.63	0.88144
1.635	0.88018
1.64	0.88568
1.645	0.88262
1.65	0.88384
