# Combined reflectance spectrum of breccia and soil samples takenfrom 
# Apollo 16 mission at 5% breccia and 95% lunar soil
# Wl (nm),	Mix,	Soil,	Norite
350.0000	0.0997	0.0882	0.3184
355.0000	0.1016	0.0895	0.3307
360.0000	0.1034	0.0909	0.3409
365.0000	0.1058	0.0928	0.3517
370.0000	0.1078	0.0944	0.3624
375.0000	0.1099	0.0960	0.3727
380.0000	0.1117	0.0975	0.3804
385.0000	0.1135	0.0991	0.3872
390.0000	0.1153	0.1006	0.3940
395.0000	0.1171	0.1022	0.3991
400.0000	0.1183	0.1033	0.4038
405.0000	0.1202	0.1051	0.4076
410.0000	0.1219	0.1065	0.4133
415.0000	0.1234	0.1080	0.4168
420.0000	0.1246	0.1090	0.4198
425.0000	0.1264	0.1108	0.4231
430.0000	0.1278	0.1121	0.4263
435.0000	0.1293	0.1134	0.4295
440.0000	0.1306	0.1147	0.4324
445.0000	0.1320	0.1161	0.4343
450.0000	0.1333	0.1174	0.4356
455.0000	0.1350	0.1191	0.4365
460.0000	0.1360	0.1200	0.4388
465.0000	0.1373	0.1213	0.4408
470.0000	0.1387	0.1227	0.4427
475.0000	0.1403	0.1243	0.4445
480.0000	0.1417	0.1256	0.4465
485.0000	0.1429	0.1269	0.4477
490.0000	0.1440	0.1280	0.4485
495.0000	0.1452	0.1292	0.4494
500.0000	0.1464	0.1305	0.4492
505.0000	0.1475	0.1316	0.4496
510.0000	0.1487	0.1327	0.4518
515.0000	0.1502	0.1342	0.4543
520.0000	0.1513	0.1352	0.4559
525.0000	0.1524	0.1364	0.4571
530.0000	0.1534	0.1374	0.4578
535.0000	0.1547	0.1387	0.4586
540.0000	0.1557	0.1397	0.4595
545.0000	0.1568	0.1408	0.4599
550.0000	0.1579	0.1420	0.4609
555.0000	0.1589	0.1429	0.4624
560.0000	0.1600	0.1440	0.4629
565.0000	0.1610	0.1451	0.4643
570.0000	0.1621	0.1461	0.4649
575.0000	0.1630	0.1471	0.4651
580.0000	0.1641	0.1482	0.4662
585.0000	0.1650	0.1491	0.4670
590.0000	0.1661	0.1502	0.4680
595.0000	0.1670	0.1511	0.4692
600.0000	0.1680	0.1520	0.4708
605.0000	0.1691	0.1531	0.4716
610.0000	0.1700	0.1540	0.4730
615.0000	0.1710	0.1550	0.4736
620.0000	0.1721	0.1562	0.4747
625.0000	0.1731	0.1572	0.4758
630.0000	0.1741	0.1581	0.4769
635.0000	0.1750	0.1590	0.4788
640.0000	0.1759	0.1598	0.4807
645.0000	0.1770	0.1609	0.4817
650.0000	0.1778	0.1617	0.4847
655.0000	0.1788	0.1627	0.4860
660.0000	0.1798	0.1635	0.4889
665.0000	0.1808	0.1645	0.4899
670.0000	0.1815	0.1651	0.4930
675.0000	0.1824	0.1660	0.4942
680.0000	0.1832	0.1667	0.4953
685.0000	0.1842	0.1676	0.4981
690.0000	0.1850	0.1684	0.4995
695.0000	0.1858	0.1692	0.5011
700.0000	0.1867	0.1700	0.5033
705.0000	0.1876	0.1709	0.5051
710.0000	0.1883	0.1715	0.5069
715.0000	0.1889	0.1721	0.5083
720.0000	0.1895	0.1726	0.5105
725.0000	0.1903	0.1734	0.5118
730.0000	0.1912	0.1742	0.5128
735.0000	0.1919	0.1749	0.5147
740.0000	0.1926	0.1757	0.5148
745.0000	0.1935	0.1765	0.5163
750.0000	0.1942	0.1772	0.5176
755.0000	0.1949	0.1779	0.5166
760.0000	0.1955	0.1785	0.5185
765.0000	0.1958	0.1789	0.5177
770.0000	0.1962	0.1793	0.5169
775.0000	0.1965	0.1797	0.5155
780.0000	0.1970	0.1803	0.5148
785.0000	0.1976	0.1809	0.5143
790.0000	0.1979	0.1813	0.5127
795.0000	0.1985	0.1820	0.5104
800.0000	0.1989	0.1827	0.5067
805.0000	0.1992	0.1831	0.5050
810.0000	0.1995	0.1836	0.5018
815.0000	0.2000	0.1842	0.4985
820.0000	0.2000	0.1846	0.4933
825.0000	0.2003	0.1851	0.4896
830.0000	0.2007	0.1857	0.4859
835.0000	0.2007	0.1859	0.4823
840.0000	0.2009	0.1863	0.4792
845.0000	0.2008	0.1865	0.4735
850.0000	0.2009	0.1867	0.4694
855.0000	0.2009	0.1870	0.4634
860.0000	0.2008	0.1871	0.4603
865.0000	0.2009	0.1875	0.4556
870.0000	0.2009	0.1877	0.4518
875.0000	0.2012	0.1882	0.4476
880.0000	0.2011	0.1883	0.4444
885.0000	0.2014	0.1888	0.4399
890.0000	0.2014	0.1889	0.4377
895.0000	0.2011	0.1889	0.4339
900.0000	0.2015	0.1894	0.4327
905.0000	0.2018	0.1897	0.4307
910.0000	0.2019	0.1900	0.4287
915.0000	0.2023	0.1905	0.4269
920.0000	0.2028	0.1911	0.4259
925.0000	0.2032	0.1915	0.4249
930.0000	0.2035	0.1919	0.4242
935.0000	0.2038	0.1923	0.4235
940.0000	0.2044	0.1928	0.4248
945.0000	0.2049	0.1933	0.4247
950.0000	0.2055	0.1939	0.4256
955.0000	0.2059	0.1944	0.4256
960.0000	0.2066	0.1950	0.4276
965.0000	0.2073	0.1956	0.4293
970.0000	0.2079	0.1962	0.4296
975.0000	0.2087	0.1968	0.4332
980.0000	0.2094	0.1975	0.4352
985.0000	0.2101	0.1981	0.4379
990.0000	0.2109	0.1988	0.4401
995.0000	0.2117	0.1996	0.4423
1000.0000	0.2124	0.2002	0.4440
1005.0000	0.2132	0.2010	0.4463
1010.0000	0.2142	0.2019	0.4483
1015.0000	0.2151	0.2026	0.4517
1020.0000	0.2158	0.2032	0.4543
1025.0000	0.2166	0.2041	0.4558
1030.0000	0.2173	0.2047	0.4565
1035.0000	0.2181	0.2055	0.4585
1040.0000	0.2190	0.2062	0.4608
1045.0000	0.2199	0.2071	0.4636
1050.0000	0.2209	0.2080	0.4664
1055.0000	0.2215	0.2086	0.4677
1060.0000	0.2224	0.2094	0.4700
1065.0000	0.2231	0.2100	0.4727
1070.0000	0.2238	0.2105	0.4752
1075.0000	0.2249	0.2115	0.4788
1080.0000	0.2256	0.2122	0.4802
1085.0000	0.2264	0.2129	0.4840
1090.0000	0.2273	0.2136	0.4864
1095.0000	0.2282	0.2144	0.4898
1100.0000	0.2291	0.2153	0.4920
1105.0000	0.2298	0.2158	0.4949
1110.0000	0.2308	0.2167	0.4990
1115.0000	0.2318	0.2176	0.5029
1120.0000	0.2325	0.2182	0.5044
1125.0000	0.2332	0.2189	0.5057
1130.0000	0.2341	0.2197	0.5087
1135.0000	0.2349	0.2203	0.5111
1140.0000	0.2356	0.2210	0.5131
1145.0000	0.2362	0.2216	0.5142
1150.0000	0.2371	0.2224	0.5160
1155.0000	0.2378	0.2230	0.5173
1160.0000	0.2385	0.2237	0.5193
1165.0000	0.2391	0.2243	0.5198
1170.0000	0.2398	0.2250	0.5211
1175.0000	0.2405	0.2257	0.5218
1180.0000	0.2412	0.2263	0.5224
1185.0000	0.2417	0.2269	0.5224
1190.0000	0.2423	0.2275	0.5232
1195.0000	0.2430	0.2283	0.5241
1200.0000	0.2436	0.2288	0.5260
1205.0000	0.2444	0.2295	0.5265
1210.0000	0.2450	0.2302	0.5273
1215.0000	0.2457	0.2309	0.5268
1220.0000	0.2462	0.2314	0.5272
1225.0000	0.2468	0.2320	0.5282
1230.0000	0.2473	0.2326	0.5281
1235.0000	0.2479	0.2332	0.5280
1240.0000	0.2484	0.2337	0.5282
1245.0000	0.2493	0.2346	0.5281
1250.0000	0.2500	0.2353	0.5294
1255.0000	0.2507	0.2360	0.5309
1260.0000	0.2511	0.2364	0.5307
1265.0000	0.2518	0.2371	0.5315
1270.0000	0.2526	0.2378	0.5321
1275.0000	0.2530	0.2382	0.5339
1280.0000	0.2537	0.2389	0.5351
1285.0000	0.2543	0.2394	0.5361
1290.0000	0.2547	0.2399	0.5354
1295.0000	0.2554	0.2406	0.5371
1300.0000	0.2561	0.2412	0.5385
1305.0000	0.2568	0.2419	0.5386
1310.0000	0.2577	0.2428	0.5407
1315.0000	0.2584	0.2435	0.5415
1320.0000	0.2589	0.2440	0.5428
1325.0000	0.2595	0.2445	0.5455
1330.0000	0.2602	0.2452	0.5456
1335.0000	0.2610	0.2460	0.5457
1340.0000	0.2616	0.2465	0.5469
1345.0000	0.2622	0.2472	0.5482
1350.0000	0.2630	0.2479	0.5490
1355.0000	0.2636	0.2485	0.5493
1360.0000	0.2642	0.2492	0.5486
1365.0000	0.2653	0.2501	0.5529
1370.0000	0.2658	0.2505	0.5551
1375.0000	0.2661	0.2509	0.5548
1380.0000	0.2670	0.2518	0.5542
1385.0000	0.2680	0.2527	0.5596
1390.0000	0.2685	0.2531	0.5597
1395.0000	0.2688	0.2535	0.5606
1400.0000	0.2693	0.2539	0.5617
1405.0000	0.2699	0.2545	0.5626
1410.0000	0.2708	0.2553	0.5653
1415.0000	0.2714	0.2559	0.5658
1420.0000	0.2721	0.2566	0.5669
1425.0000	0.2725	0.2570	0.5659
1430.0000	0.2733	0.2578	0.5679
1435.0000	0.2739	0.2583	0.5704
1440.0000	0.2747	0.2590	0.5716
1445.0000	0.2751	0.2596	0.5713
1450.0000	0.2756	0.2600	0.5715
1455.0000	0.2764	0.2609	0.5716
1460.0000	0.2768	0.2612	0.5732
1465.0000	0.2776	0.2619	0.5743
1470.0000	0.2782	0.2625	0.5747
1475.0000	0.2786	0.2630	0.5750
1480.0000	0.2792	0.2635	0.5768
1485.0000	0.2798	0.2642	0.5776
1490.0000	0.2803	0.2647	0.5764
1495.0000	0.2808	0.2652	0.5764
1500.0000	0.2812	0.2656	0.5774
1505.0000	0.2820	0.2663	0.5794
1510.0000	0.2822	0.2666	0.5781
1515.0000	0.2828	0.2672	0.5794
1520.0000	0.2833	0.2678	0.5787
1525.0000	0.2839	0.2683	0.5794
1530.0000	0.2843	0.2688	0.5794
1535.0000	0.2847	0.2691	0.5809
1540.0000	0.2852	0.2698	0.5787
1545.0000	0.2857	0.2703	0.5782
1550.0000	0.2863	0.2709	0.5797
1555.0000	0.2864	0.2710	0.5795
1560.0000	0.2871	0.2718	0.5791
1565.0000	0.2876	0.2722	0.5797
1570.0000	0.2880	0.2727	0.5786
1575.0000	0.2883	0.2731	0.5769
1580.0000	0.2887	0.2734	0.5788
1585.0000	0.2891	0.2739	0.5782
1590.0000	0.2897	0.2745	0.5775
1595.0000	0.2900	0.2749	0.5772
1600.0000	0.2903	0.2752	0.5763
1605.0000	0.2904	0.2754	0.5760
1610.0000	0.2909	0.2759	0.5748
1615.0000	0.2914	0.2766	0.5733
1620.0000	0.2917	0.2769	0.5739
1625.0000	0.2921	0.2773	0.5730
1630.0000	0.2920	0.2772	0.5725
1635.0000	0.2920	0.2774	0.5688
1640.0000	0.2924	0.2780	0.5675
1645.0000	0.2927	0.2783	0.5669
1650.0000	0.2929	0.2786	0.5659
1655.0000	0.2934	0.2790	0.5664
1660.0000	0.2940	0.2797	0.5659
1665.0000	0.2944	0.2803	0.5624
1670.0000	0.2945	0.2803	0.5640
1675.0000	0.2949	0.2808	0.5627
1680.0000	0.2952	0.2812	0.5611
1685.0000	0.2955	0.2816	0.5597
1690.0000	0.2956	0.2818	0.5571
1695.0000	0.2959	0.2822	0.5574
1700.0000	0.2961	0.2826	0.5542
1705.0000	0.2965	0.2829	0.5534
1710.0000	0.2968	0.2833	0.5529
1715.0000	0.2971	0.2836	0.5527
1720.0000	0.2976	0.2842	0.5516
1725.0000	0.2976	0.2843	0.5511
1730.0000	0.2978	0.2846	0.5494
1735.0000	0.2980	0.2848	0.5481
1740.0000	0.2982	0.2851	0.5464
1745.0000	0.2986	0.2856	0.5454
1750.0000	0.2988	0.2858	0.5445
1755.0000	0.2990	0.2861	0.5444
1760.0000	0.2993	0.2864	0.5427
1765.0000	0.2995	0.2867	0.5422
1770.0000	0.2996	0.2868	0.5426
1775.0000	0.3000	0.2873	0.5407
1780.0000	0.3002	0.2876	0.5389
1785.0000	0.3005	0.2880	0.5390
1790.0000	0.3006	0.2882	0.5369
1795.0000	0.3010	0.2887	0.5343
1800.0000	0.3011	0.2889	0.5331
1805.0000	0.3015	0.2894	0.5312
1810.0000	0.3016	0.2897	0.5286
1815.0000	0.3019	0.2900	0.5276
1820.0000	0.3022	0.2904	0.5271
1825.0000	0.3027	0.2910	0.5252
1830.0000	0.3027	0.2910	0.5256
1835.0000	0.3032	0.2915	0.5249
1840.0000	0.3037	0.2920	0.5252
1845.0000	0.3038	0.2924	0.5214
1850.0000	0.3040	0.2925	0.5223
1855.0000	0.3043	0.2929	0.5203
1860.0000	0.3044	0.2931	0.5193
1865.0000	0.3047	0.2936	0.5154
1870.0000	0.3051	0.2939	0.5189
1875.0000	0.3059	0.2943	0.5263
1880.0000	0.3059	0.2945	0.5224
1885.0000	0.3058	0.2945	0.5200
1890.0000	0.3059	0.2947	0.5197
1895.0000	0.3065	0.2954	0.5165
1900.0000	0.3063	0.2954	0.5142
1905.0000	0.3071	0.2961	0.5164
1910.0000	0.3076	0.2966	0.5161
1915.0000	0.3076	0.2967	0.5155
1920.0000	0.3079	0.2970	0.5157
1925.0000	0.3085	0.2975	0.5167
1930.0000	0.3085	0.2975	0.5167
1935.0000	0.3088	0.2979	0.5157
1940.0000	0.3091	0.2982	0.5165
1945.0000	0.3093	0.2984	0.5157
1950.0000	0.3094	0.2986	0.5155
1955.0000	0.3097	0.2989	0.5149
1960.0000	0.3100	0.2993	0.5137
1965.0000	0.3106	0.2998	0.5152
1970.0000	0.3107	0.3000	0.5150
1975.0000	0.3110	0.3002	0.5158
1980.0000	0.3115	0.3007	0.5167
1985.0000	0.3119	0.3011	0.5159
1990.0000	0.3122	0.3014	0.5166
1995.0000	0.3126	0.3019	0.5171
2000.0000	0.3132	0.3025	0.5173
2005.0000	0.3133	0.3026	0.5181
2010.0000	0.3139	0.3032	0.5168
2015.0000	0.3144	0.3035	0.5202
2020.0000	0.3150	0.3041	0.5218
2025.0000	0.3154	0.3044	0.5228
2030.0000	0.3159	0.3050	0.5231
2035.0000	0.3162	0.3053	0.5226
2040.0000	0.3166	0.3058	0.5221
2045.0000	0.3168	0.3060	0.5221
2050.0000	0.3172	0.3064	0.5224
2055.0000	0.3177	0.3069	0.5235
2060.0000	0.3184	0.3074	0.5274
2065.0000	0.3185	0.3074	0.5282
2070.0000	0.3190	0.3081	0.5266
2075.0000	0.3196	0.3087	0.5274
2080.0000	0.3200	0.3089	0.5312
2085.0000	0.3206	0.3095	0.5322
2090.0000	0.3210	0.3099	0.5330
2095.0000	0.3216	0.3104	0.5334
2100.0000	0.3219	0.3107	0.5337
2105.0000	0.3223	0.3111	0.5347
2110.0000	0.3229	0.3116	0.5376
2115.0000	0.3233	0.3120	0.5384
2120.0000	0.3238	0.3125	0.5382
2125.0000	0.3243	0.3131	0.5380
2130.0000	0.3247	0.3134	0.5391
2135.0000	0.3254	0.3140	0.5403
2140.0000	0.3257	0.3143	0.5415
2145.0000	0.3260	0.3147	0.5412
2150.0000	0.3262	0.3149	0.5411
2155.0000	0.3268	0.3153	0.5443
2160.0000	0.3271	0.3156	0.5450
2165.0000	0.3275	0.3159	0.5487
2170.0000	0.3278	0.3161	0.5509
2175.0000	0.3283	0.3167	0.5479
2180.0000	0.3286	0.3171	0.5473
2185.0000	0.3290	0.3174	0.5481
2190.0000	0.3293	0.3178	0.5464
2195.0000	0.3297	0.3184	0.5456
2200.0000	0.3303	0.3189	0.5480
2205.0000	0.3311	0.3196	0.5493
2210.0000	0.3316	0.3201	0.5489
2215.0000	0.3320	0.3205	0.5490
2220.0000	0.3327	0.3211	0.5531
2225.0000	0.3333	0.3216	0.5566
2230.0000	0.3337	0.3219	0.5574
2235.0000	0.3342	0.3223	0.5590
2240.0000	0.3346	0.3228	0.5590
2245.0000	0.3352	0.3233	0.5605
2250.0000	0.3356	0.3237	0.5606
2255.0000	0.3364	0.3246	0.5607
2260.0000	0.3369	0.3251	0.5617
2265.0000	0.3376	0.3256	0.5641
2270.0000	0.3381	0.3262	0.5634
2275.0000	0.3389	0.3270	0.5644
2280.0000	0.3394	0.3275	0.5645
2285.0000	0.3397	0.3278	0.5665
2290.0000	0.3402	0.3283	0.5664
2295.0000	0.3407	0.3287	0.5680
2300.0000	0.3413	0.3292	0.5702
2305.0000	0.3419	0.3298	0.5714
2310.0000	0.3422	0.3302	0.5711
2315.0000	0.3427	0.3305	0.5742
2320.0000	0.3429	0.3307	0.5748
2325.0000	0.3434	0.3312	0.5760
2330.0000	0.3441	0.3317	0.5799
2335.0000	0.3447	0.3322	0.5832
2340.0000	0.3450	0.3325	0.5822
2345.0000	0.3452	0.3327	0.5815
2350.0000	0.3455	0.3329	0.5841
2355.0000	0.3459	0.3332	0.5874
2360.0000	0.3463	0.3336	0.5882
2365.0000	0.3465	0.3339	0.5856
2370.0000	0.3471	0.3344	0.5884
2375.0000	0.3473	0.3346	0.5888
2380.0000	0.3478	0.3352	0.5874
2385.0000	0.3481	0.3355	0.5889
2390.0000	0.3488	0.3361	0.5901
2395.0000	0.3494	0.3366	0.5918
2400.0000	0.3501	0.3372	0.5954
2405.0000	0.3505	0.3376	0.5958
2410.0000	0.3509	0.3382	0.5935
2415.0000	0.3511	0.3383	0.5944
2420.0000	0.3519	0.3388	0.6014
2425.0000	0.3525	0.3394	0.6023
2430.0000	0.3525	0.3394	0.6008
2435.0000	0.3530	0.3398	0.6032
2440.0000	0.3536	0.3404	0.6047
2445.0000	0.3537	0.3405	0.6043
2450.0000	0.3543	0.3411	0.6051
2455.0000	0.3547	0.3414	0.6084
2460.0000	0.3550	0.3416	0.6111
2465.0000	0.3553	0.3418	0.6114
2470.0000	0.3559	0.3426	0.6095
2475.0000	0.3571	0.3436	0.6128
2480.0000	0.3573	0.3437	0.6144
2485.0000	0.3573	0.3440	0.6115
2490.0000	0.3579	0.3443	0.6171
2495.0000	0.3584	0.3446	0.6203
2500.0000	0.3589	0.3451	0.6208
2505.0000	0.3590	0.3453	0.6194
2510.0000	0.3597	0.3460	0.6206
2515.0000	0.3596	0.3459	0.6194
2520.0000	0.3609	0.3470	0.6250
2525.0000	0.3615	0.3475	0.6276
2530.0000	0.3617	0.3478	0.6259
2535.0000	0.3624	0.3484	0.6278
2540.0000	0.3633	0.3492	0.6312
2545.0000	0.3635	0.3497	0.6256
2550.0000	0.3644	0.3505	0.6279
