#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
350.000000 355.000000 0.061565 0.062763 0.000240 -0.022295 0.310820
355.000000 360.000000 0.062763 0.063901 0.000228 -0.018035 0.316660
360.000000 365.000000 0.063901 0.065411 0.000302 -0.044819 0.323280
365.000000 370.000000 0.065411 0.066674 0.000253 -0.026788 0.330213
370.000000 375.000000 0.066674 0.068001 0.000265 -0.031524 0.336687
375.000000 380.000000 0.068001 0.069142 0.000228 -0.017574 0.342858
380.000000 385.000000 0.069142 0.070285 0.000229 -0.017726 0.348567
385.000000 390.000000 0.070285 0.071428 0.000229 -0.017726 0.354283
390.000000 395.000000 0.071428 0.072573 0.000229 -0.017882 0.360003
395.000000 400.000000 0.072573 0.073346 0.000155 0.011506 0.364797
400.000000 405.000000 0.073346 0.074554 0.000242 -0.023294 0.369750
405.000000 410.000000 0.074554 0.075639 0.000217 -0.013331 0.375482
410.000000 415.000000 0.075639 0.076601 0.000192 -0.003245 0.380600
415.000000 420.000000 0.076601 0.077377 0.000155 0.012193 0.384945
420.000000 425.000000 0.077377 0.078526 0.000230 -0.019139 0.389758
425.000000 430.000000 0.078526 0.079428 0.000180 0.001856 0.394885
430.000000 435.000000 0.079428 0.080392 0.000193 -0.003476 0.399550
435.000000 440.000000 0.080392 0.081233 0.000168 0.007225 0.404063
440.000000 445.000000 0.081233 0.082137 0.000181 0.001681 0.408425
445.000000 450.000000 0.082137 0.082979 0.000168 0.007199 0.412790
450.000000 455.000000 0.082979 0.084071 0.000218 -0.015301 0.417625
455.000000 460.000000 0.084071 0.084728 0.000131 0.024284 0.421998
460.000000 465.000000 0.084728 0.085572 0.000169 0.007080 0.425750
465.000000 470.000000 0.085572 0.086479 0.000181 0.001221 0.430127
470.000000 475.000000 0.086479 0.087512 0.000207 -0.010623 0.434978
475.000000 480.000000 0.087512 0.088421 0.000182 0.001157 0.439833
480.000000 485.000000 0.088421 0.089205 0.000157 0.013157 0.444065
485.000000 490.000000 0.089205 0.089928 0.000145 0.019074 0.447832
490.000000 495.000000 0.089928 0.090714 0.000157 0.012900 0.451605
495.000000 500.000000 0.090714 0.091500 0.000157 0.012900 0.455535
500.000000 505.000000 0.091500 0.092224 0.000145 0.019100 0.459310
505.000000 510.000000 0.092224 0.093012 0.000158 0.012636 0.463090
510.000000 515.000000 0.093012 0.093988 0.000195 -0.006540 0.467500
515.000000 520.000000 0.093988 0.094714 0.000145 0.019210 0.471755
520.000000 525.000000 0.094714 0.095440 0.000145 0.019210 0.475385
525.000000 530.000000 0.095440 0.096105 0.000133 0.025615 0.478862
530.000000 535.000000 0.096105 0.096958 0.000171 0.005687 0.482657
535.000000 540.000000 0.096958 0.097624 0.000133 0.025696 0.486455
540.000000 545.000000 0.097624 0.098353 0.000146 0.018892 0.489943
545.000000 550.000000 0.098353 0.099082 0.000146 0.018892 0.493588
550.000000 555.000000 0.099082 0.099749 0.000133 0.025712 0.497078
555.000000 560.000000 0.099749 0.100480 0.000146 0.018608 0.500572
560.000000 565.000000 0.100480 0.101148 0.000134 0.025664 0.504070
565.000000 570.000000 0.101148 0.101880 0.000146 0.018432 0.507570
570.000000 575.000000 0.101880 0.102486 0.000121 0.032796 0.510915
575.000000 580.000000 0.102486 0.103219 0.000147 0.018191 0.514262
580.000000 585.000000 0.103219 0.103826 0.000121 0.032807 0.517613
585.000000 590.000000 0.103826 0.104560 0.000147 0.017948 0.520965
590.000000 595.000000 0.104560 0.105168 0.000122 0.032816 0.524320
595.000000 600.000000 0.105168 0.105840 0.000134 0.025200 0.527520
600.000000 605.000000 0.105840 0.106575 0.000147 0.017640 0.531038
605.000000 610.000000 0.106575 0.107185 0.000122 0.032765 0.534400
610.000000 615.000000 0.107185 0.107858 0.000135 0.025079 0.537608
615.000000 620.000000 0.107858 0.108595 0.000147 0.017207 0.541133
620.000000 625.000000 0.108595 0.109269 0.000135 0.025019 0.544660
625.000000 630.000000 0.109269 0.109944 0.000135 0.024894 0.548032
630.000000 635.000000 0.109944 0.110556 0.000122 0.032832 0.551250
635.000000 640.000000 0.110556 0.111169 0.000123 0.032705 0.554312
640.000000 645.000000 0.111169 0.111908 0.000148 0.016577 0.557693
645.000000 650.000000 0.111908 0.112459 0.000110 0.040829 0.560917
650.000000 655.000000 0.112459 0.113136 0.000135 0.024449 0.563987
655.000000 660.000000 0.113136 0.113813 0.000135 0.024449 0.567373
660.000000 665.000000 0.113813 0.114492 0.000136 0.024185 0.570762
665.000000 670.000000 0.114492 0.114980 0.000098 0.049588 0.573680
670.000000 675.000000 0.114980 0.115596 0.000123 0.032436 0.576440
675.000000 680.000000 0.115596 0.116149 0.000111 0.040941 0.579363
680.000000 685.000000 0.116149 0.116829 0.000136 0.023669 0.582445
685.000000 690.000000 0.116829 0.117382 0.000111 0.041068 0.585527
690.000000 695.000000 0.117382 0.117937 0.000111 0.040792 0.588298
695.000000 700.000000 0.117937 0.118555 0.000124 0.032035 0.591230
700.000000 705.000000 0.118555 0.119173 0.000124 0.032035 0.594320
705.000000 710.000000 0.119173 0.119665 0.000098 0.049801 0.597095
710.000000 715.000000 0.119665 0.120093 0.000086 0.058889 0.599395
715.000000 720.000000 0.120093 0.120522 0.000086 0.058746 0.601538
720.000000 725.000000 0.120522 0.121078 0.000111 0.040458 0.604000
725.000000 730.000000 0.121078 0.121699 0.000124 0.031033 0.606943
730.000000 735.000000 0.121699 0.122192 0.000099 0.049721 0.609727
735.000000 740.000000 0.122192 0.122686 0.000099 0.049574 0.612195
740.000000 745.000000 0.122686 0.123308 0.000124 0.030630 0.614985
745.000000 750.000000 0.123308 0.123802 0.000099 0.049702 0.617775
750.000000 755.000000 0.123802 0.124297 0.000099 0.049552 0.620248
755.000000 760.000000 0.124297 0.124729 0.000086 0.059065 0.622565
760.000000 765.000000 0.124729 0.124969 0.000048 0.088249 0.624245
765.000000 770.000000 0.124969 0.125274 0.000061 0.078304 0.625607
770.000000 775.000000 0.125274 0.125514 0.000048 0.088314 0.626970
775.000000 780.000000 0.125514 0.125883 0.000074 0.068319 0.628492
780.000000 785.000000 0.125883 0.126316 0.000087 0.058335 0.630498
785.000000 790.000000 0.126316 0.126557 0.000048 0.088479 0.632183
790.000000 795.000000 0.126557 0.126990 0.000087 0.058143 0.633867
795.000000 800.000000 0.126990 0.127296 0.000061 0.078336 0.635715
800.000000 805.000000 0.127296 0.127538 0.000048 0.088576 0.637085
805.000000 810.000000 0.127538 0.127780 0.000048 0.088576 0.638295
810.000000 815.000000 0.127780 0.128150 0.000074 0.067840 0.639825
815.000000 820.000000 0.128150 0.128200 0.000010 0.120000 0.640875
820.000000 825.000000 0.128200 0.128442 0.000048 0.088512 0.641605
825.000000 830.000000 0.128442 0.128749 0.000061 0.077787 0.642977
830.000000 835.000000 0.128749 0.128799 0.000010 0.120449 0.643870
835.000000 840.000000 0.128799 0.128978 0.000036 0.098906 0.644443
840.000000 845.000000 0.128978 0.128964 -0.000003 0.131330 0.644855
845.000000 850.000000 0.128964 0.129078 0.000023 0.109698 0.645105
850.000000 855.000000 0.129078 0.129128 0.000010 0.120578 0.645515
855.000000 860.000000 0.129128 0.129114 -0.000003 0.131522 0.645605
860.000000 865.000000 0.129114 0.129229 0.000023 0.109334 0.645857
865.000000 870.000000 0.129229 0.129279 0.000010 0.120579 0.646270
870.000000 875.000000 0.129279 0.129522 0.000049 0.086997 0.647003
875.000000 880.000000 0.129522 0.129508 -0.000003 0.131972 0.647575
880.000000 885.000000 0.129508 0.129752 0.000049 0.086564 0.648150
885.000000 890.000000 0.129752 0.129802 0.000010 0.120902 0.648885
890.000000 895.000000 0.129802 0.129659 -0.000029 0.155256 0.648652
895.000000 900.000000 0.129659 0.129968 0.000062 0.074348 0.649068
900.000000 905.000000 0.129968 0.130211 0.000049 0.086228 0.650447
905.000000 910.000000 0.130211 0.130326 0.000023 0.109396 0.651343
910.000000 915.000000 0.130326 0.130635 0.000062 0.074088 0.652402
915.000000 920.000000 0.130635 0.131009 0.000075 0.062193 0.654110
920.000000 925.000000 0.131009 0.131318 0.000062 0.074153 0.655817
925.000000 930.000000 0.131318 0.131563 0.000049 0.085993 0.657203
930.000000 935.000000 0.131563 0.131808 0.000049 0.085993 0.658428
935.000000 940.000000 0.131808 0.132247 0.000088 0.049715 0.660138
940.000000 945.000000 0.132247 0.132622 0.000075 0.061747 0.662173
945.000000 950.000000 0.132622 0.133061 0.000088 0.049651 0.664208
950.000000 955.000000 0.133061 0.133372 0.000062 0.073971 0.666083
955.000000 960.000000 0.133372 0.133877 0.000101 0.036917 0.668122
960.000000 965.000000 0.133877 0.134382 0.000101 0.036917 0.670648
965.000000 970.000000 0.134382 0.134823 0.000088 0.049269 0.673013
970.000000 975.000000 0.134823 0.135394 0.000114 0.024049 0.675542
975.000000 980.000000 0.135394 0.135901 0.000101 0.036529 0.678237
980.000000 985.000000 0.135901 0.136407 0.000101 0.036725 0.680770
985.000000 990.000000 0.136407 0.136980 0.000115 0.023526 0.683468
990.000000 995.000000 0.136980 0.137552 0.000114 0.023724 0.686330
995.000000 1000.000000 0.137552 0.138060 0.000102 0.036460 0.689030
1000.000000 1005.000000 0.138060 0.138633 0.000115 0.023460 0.691732
1005.000000 1010.000000 0.138633 0.139337 0.000141 -0.002871 0.694925
1010.000000 1015.000000 0.139337 0.139976 0.000128 0.010259 0.698282
1015.000000 1020.000000 0.139976 0.140486 0.000102 0.036446 0.701155
1020.000000 1025.000000 0.140486 0.141061 0.000115 0.023186 0.703867
1025.000000 1030.000000 0.141061 0.141571 0.000102 0.036511 0.706580
1030.000000 1035.000000 0.141571 0.142147 0.000115 0.022915 0.709295
1035.000000 1040.000000 0.142147 0.142788 0.000128 0.009460 0.712337
1040.000000 1045.000000 0.142788 0.143430 0.000128 0.009252 0.715545
1045.000000 1050.000000 0.143430 0.144137 0.000141 -0.004333 0.718918
1050.000000 1055.000000 0.144137 0.144584 0.000089 0.050267 0.721803
1055.000000 1060.000000 0.144584 0.145227 0.000129 0.008911 0.724527
1060.000000 1065.000000 0.145227 0.145740 0.000103 0.036471 0.727417
1065.000000 1070.000000 0.145740 0.146253 0.000103 0.036471 0.729982
1070.000000 1075.000000 0.146253 0.147028 0.000155 -0.019597 0.733202
1075.000000 1080.000000 0.147028 0.147542 0.000103 0.036518 0.736425
1080.000000 1085.000000 0.147542 0.148122 0.000116 0.022262 0.739160
1085.000000 1090.000000 0.148122 0.148768 0.000129 0.007940 0.742225
1090.000000 1095.000000 0.148768 0.149414 0.000129 0.007940 0.745455
1095.000000 1100.000000 0.149414 0.150061 0.000129 0.007721 0.748687
1100.000000 1105.000000 0.150061 0.150576 0.000103 0.036761 0.751592
1105.000000 1110.000000 0.150576 0.151289 0.000143 -0.006997 0.754663
1110.000000 1115.000000 0.151289 0.152003 0.000143 -0.007219 0.758230
1115.000000 1120.000000 0.152003 0.152520 0.000103 0.036712 0.761308
1120.000000 1125.000000 0.152520 0.153037 0.000103 0.036712 0.763892
1125.000000 1130.000000 0.153037 0.153687 0.000130 0.006787 0.766810
1130.000000 1135.000000 0.153687 0.154271 0.000117 0.021703 0.769895
1135.000000 1140.000000 0.154271 0.154789 0.000104 0.036685 0.772650
1140.000000 1145.000000 0.154789 0.155242 0.000091 0.051505 0.775077
1145.000000 1150.000000 0.155242 0.155893 0.000130 0.006163 0.777837
1150.000000 1155.000000 0.155893 0.156413 0.000104 0.036293 0.780765
1155.000000 1160.000000 0.156413 0.156933 0.000104 0.036293 0.783365
