#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
350.000000 355.000000 0.099700 0.101600 0.000380 -0.033300 0.503250
355.000000 360.000000 0.101600 0.103400 0.000360 -0.026200 0.512500
360.000000 365.000000 0.103400 0.105800 0.000480 -0.069400 0.523000
365.000000 370.000000 0.105800 0.107800 0.000400 -0.040200 0.534000
370.000000 375.000000 0.107800 0.109900 0.000420 -0.047600 0.544250
375.000000 380.000000 0.109900 0.111700 0.000360 -0.025100 0.554000
380.000000 385.000000 0.111700 0.113500 0.000360 -0.025100 0.563000
385.000000 390.000000 0.113500 0.115300 0.000360 -0.025100 0.572000
390.000000 395.000000 0.115300 0.117100 0.000360 -0.025100 0.581000
395.000000 400.000000 0.117100 0.118300 0.000240 0.022300 0.588500
400.000000 405.000000 0.118300 0.120200 0.000380 -0.033700 0.596250
405.000000 410.000000 0.120200 0.121900 0.000340 -0.017500 0.605250
410.000000 415.000000 0.121900 0.123400 0.000300 -0.001100 0.613250
415.000000 420.000000 0.123400 0.124600 0.000240 0.023800 0.620000
420.000000 425.000000 0.124600 0.126400 0.000360 -0.026600 0.627500
425.000000 430.000000 0.126400 0.127800 0.000280 0.007400 0.635500
430.000000 435.000000 0.127800 0.129300 0.000300 -0.001200 0.642750
435.000000 440.000000 0.129300 0.130600 0.000260 0.016200 0.649750
440.000000 445.000000 0.130600 0.132000 0.000280 0.007400 0.656500
445.000000 450.000000 0.132000 0.133300 0.000260 0.016300 0.663250
450.000000 455.000000 0.133300 0.135000 0.000340 -0.019700 0.670750
455.000000 460.000000 0.135000 0.136000 0.000200 0.044000 0.677500
460.000000 465.000000 0.136000 0.137300 0.000260 0.016400 0.683250
465.000000 470.000000 0.137300 0.138700 0.000280 0.007100 0.690000
470.000000 475.000000 0.138700 0.140300 0.000320 -0.011700 0.697500
475.000000 480.000000 0.140300 0.141700 0.000280 0.007300 0.705000
480.000000 485.000000 0.141700 0.142900 0.000240 0.026500 0.711500
485.000000 490.000000 0.142900 0.144000 0.000220 0.036200 0.717250
490.000000 495.000000 0.144000 0.145200 0.000240 0.026400 0.723000
495.000000 500.000000 0.145200 0.146400 0.000240 0.026400 0.729000
500.000000 505.000000 0.146400 0.147500 0.000220 0.036400 0.734750
505.000000 510.000000 0.147500 0.148700 0.000240 0.026300 0.740500
510.000000 515.000000 0.148700 0.150200 0.000300 -0.004300 0.747250
515.000000 520.000000 0.150200 0.151300 0.000220 0.036900 0.753750
520.000000 525.000000 0.151300 0.152400 0.000220 0.036900 0.759250
525.000000 530.000000 0.152400 0.153400 0.000200 0.047400 0.764500
530.000000 535.000000 0.153400 0.154700 0.000260 0.015600 0.770250
535.000000 540.000000 0.154700 0.155700 0.000200 0.047700 0.776000
540.000000 545.000000 0.155700 0.156800 0.000220 0.036900 0.781250
545.000000 550.000000 0.156800 0.157900 0.000220 0.036900 0.786750
550.000000 555.000000 0.157900 0.158900 0.000200 0.047900 0.792000
555.000000 560.000000 0.158900 0.160000 0.000220 0.036800 0.797250
560.000000 565.000000 0.160000 0.161000 0.000200 0.048000 0.802500
565.000000 570.000000 0.161000 0.162100 0.000220 0.036700 0.807750
570.000000 575.000000 0.162100 0.163000 0.000180 0.059500 0.812750
575.000000 580.000000 0.163000 0.164100 0.000220 0.036500 0.817750
580.000000 585.000000 0.164100 0.165000 0.000180 0.059700 0.822750
585.000000 590.000000 0.165000 0.166100 0.000220 0.036300 0.827750
590.000000 595.000000 0.166100 0.167000 0.000180 0.059900 0.832750
595.000000 600.000000 0.167000 0.168000 0.000200 0.048000 0.837500
600.000000 605.000000 0.168000 0.169100 0.000220 0.036000 0.842750
605.000000 610.000000 0.169100 0.170000 0.000180 0.060200 0.847750
610.000000 615.000000 0.170000 0.171000 0.000200 0.048000 0.852500
615.000000 620.000000 0.171000 0.172100 0.000220 0.035700 0.857750
620.000000 625.000000 0.172100 0.173100 0.000200 0.048100 0.863000
625.000000 630.000000 0.173100 0.174100 0.000200 0.048100 0.868000
630.000000 635.000000 0.174100 0.175000 0.000180 0.060700 0.872750
635.000000 640.000000 0.175000 0.175900 0.000180 0.060700 0.877250
640.000000 645.000000 0.175900 0.177000 0.000220 0.035100 0.882250
645.000000 650.000000 0.177000 0.177800 0.000160 0.073800 0.887000
650.000000 655.000000 0.177800 0.178800 0.000200 0.047800 0.891500
655.000000 660.000000 0.178800 0.179800 0.000200 0.047800 0.896500
660.000000 665.000000 0.179800 0.180800 0.000200 0.047800 0.901500
665.000000 670.000000 0.180800 0.181500 0.000140 0.087700 0.905750
670.000000 675.000000 0.181500 0.182400 0.000180 0.060900 0.909750
675.000000 680.000000 0.182400 0.183200 0.000160 0.074400 0.914000
680.000000 685.000000 0.183200 0.184200 0.000200 0.047200 0.918500
685.000000 690.000000 0.184200 0.185000 0.000160 0.074600 0.923000
690.000000 695.000000 0.185000 0.185800 0.000160 0.074600 0.927000
695.000000 700.000000 0.185800 0.186700 0.000180 0.060700 0.931250
700.000000 705.000000 0.186700 0.187600 0.000180 0.060700 0.935750
705.000000 710.000000 0.187600 0.188300 0.000140 0.088900 0.939750
710.000000 715.000000 0.188300 0.188900 0.000120 0.103100 0.943000
715.000000 720.000000 0.188900 0.189500 0.000120 0.103100 0.946000
720.000000 725.000000 0.189500 0.190300 0.000160 0.074300 0.949500
725.000000 730.000000 0.190300 0.191200 0.000180 0.059800 0.953750
730.000000 735.000000 0.191200 0.191900 0.000140 0.089000 0.957750
735.000000 740.000000 0.191900 0.192600 0.000140 0.089000 0.961250
740.000000 745.000000 0.192600 0.193500 0.000180 0.059400 0.965250
745.000000 750.000000 0.193500 0.194200 0.000140 0.089200 0.969250
750.000000 755.000000 0.194200 0.194900 0.000140 0.089200 0.972750
755.000000 760.000000 0.194900 0.195500 0.000120 0.104300 0.976000
760.000000 765.000000 0.195500 0.195800 0.000060 0.149900 0.978250
765.000000 770.000000 0.195800 0.196200 0.000080 0.134600 0.980000
770.000000 775.000000 0.196200 0.196500 0.000060 0.150000 0.981750
