#Disk Reflectance Results
#Wavelength		Reflectance
350.000000 0.079547
355.100000 0.076198
405.000000 0.105018
412.300000 0.105540
414.400000 0.098370
441.600000 0.105544
465.800000 0.106228
475.000000 0.111890
486.900000 0.114830
544.000000 0.125666
549.100000 0.129859
553.800000 0.127028
665.100000 0.157360
693.100000 0.153833
703.600000 0.151940
745.300000 0.158341
763.700000 0.161825
774.800000 0.166814
865.300000 0.175868
872.600000 0.171346
882.000000 0.176068
928.400000 0.177594
939.300000 0.169188
942.100000 0.184469
1059.500000 0.198992
1243.200000 0.212157
1538.700000 0.252556
1633.600000 0.256315
1981.500000 0.271404
2126.300000 0.209631
2250.900000 0.325261
2383.600000 0.312779
