#Wavelength,	QER1,	QEG1,	QEB1,	QER2,	QEG2,	QEB2,	Scout,	Telescope,	total 
3.750000000000000000e+02 4.700000000000000011e-02 2.000000000000000042e-02 2.500000000000000139e-02 8.699999999999999400e-02 3.300000000000000155e-02 5.299999999999999850e-02 -6.977028097000000033e-06 1.357999999999996987e-01 -1.639141118940594491e-07
3.800000000000000000e+02 4.399999999999999745e-02 2.000000000000000042e-02 4.499999999999999833e-02 8.999999999999999667e-02 3.599999999999999728e-02 8.699999999999999400e-02 2.932913485000000012e-06 2.012999999999989242e-01 1.257542382049958355e-07
3.850000000000000000e+02 4.100000000000000172e-02 2.100000000000000130e-02 7.900000000000000078e-02 8.899999999999999578e-02 3.899999999999999994e-02 1.290000000000000036e-01 -2.784196113000000150e-06 2.667999999999990379e-01 -1.909056453977381227e-07
3.900000000000000000e+02 3.699999999999999817e-02 2.299999999999999961e-02 1.219999999999999973e-01 8.200000000000000344e-02 4.100000000000000172e-02 1.729999999999999871e-01 -1.616614289000000047e-05 3.322999999999991516e-01 -1.590114747574707888e-06
3.950000000000000000e+02 3.400000000000000244e-02 2.299999999999999961e-02 1.640000000000000069e-01 7.299999999999999545e-02 4.200000000000000261e-02 2.099999999999999922e-01 -5.621589952999999970e-06 3.977999999999992653e-01 -7.267872570736035773e-07
4.000000000000000000e+02 3.200000000000000067e-02 2.400000000000000050e-02 1.910000000000000031e-01 6.700000000000000400e-02 4.299999999999999656e-02 2.330000000000000127e-01 1.769999999999999968e-08 4.632999999999993790e-01 2.812740629999996342e-09
4.050000000000000000e+02 2.999999999999999889e-02 2.500000000000000139e-02 2.240000000000000047e-01 5.800000000000000294e-02 4.299999999999999656e-02 2.580000000000000071e-01 -1.145867165000000037e-05 4.837000000000000188e-01 -1.989778852280695216e-06
4.100000000000000000e+02 2.800000000000000058e-02 2.699999999999999969e-02 2.510000000000000009e-01 4.900000000000000189e-02 4.499999999999999833e-02 2.770000000000000240e-01 1.919512404000000021e-05 5.040999999999999925e-01 3.589893212597244279e-06
4.150000000000000000e+02 2.699999999999999969e-02 2.900000000000000147e-02 2.660000000000000142e-01 4.100000000000000172e-02 4.700000000000000011e-02 2.889999999999999791e-01 1.459604595000000055e-05 5.244999999999999662e-01 2.886171039992174663e-06
4.200000000000000000e+02 2.599999999999999881e-02 3.200000000000000067e-02 2.790000000000000258e-01 3.500000000000000333e-02 4.900000000000000189e-02 2.969999999999999862e-01 -2.793524473000000175e-06 5.448999999999999400e-01 -5.799549559136637647e-07
4.250000000000000000e+02 2.500000000000000139e-02 3.400000000000000244e-02 2.979999999999999871e-01 2.900000000000000147e-02 4.900000000000000189e-02 3.119999999999999996e-01 -2.797196619000000294e-05 5.653000000000001357e-01 -6.166895470010732825e-06
4.300000000000000000e+02 2.400000000000000050e-02 3.799999999999999906e-02 3.099999999999999978e-01 2.500000000000000139e-02 4.800000000000000100e-02 3.220000000000000084e-01 5.462261847999999532e-05 5.857000000000001094e-01 1.263702471927572180e-05
4.350000000000000000e+02 2.400000000000000050e-02 4.299999999999999656e-02 3.280000000000000138e-01 2.100000000000000130e-02 5.000000000000000278e-02 3.330000000000000182e-01 7.302462588999999505e-05 6.061000000000000831e-01 1.788113120377931732e-05
4.400000000000000000e+02 2.400000000000000050e-02 4.900000000000000189e-02 3.469999999999999751e-01 1.899999999999999953e-02 5.700000000000000205e-02 3.449999999999999734e-01 7.984527946000000067e-04 6.265000000000000568e-01 2.105971145189149162e-04
4.450000000000000000e+02 2.400000000000000050e-02 5.299999999999999850e-02 3.619999999999999885e-01 1.600000000000000033e-02 6.600000000000000311e-02 3.569999999999999840e-01 7.498069762999999555e-02 6.469000000000000306e-01 2.129370083731583346e-02
4.500000000000000000e+02 2.299999999999999961e-02 5.800000000000000294e-02 3.719999999999999973e-01 1.400000000000000029e-02 7.499999999999999722e-02 3.619999999999999885e-01 8.835502624999999055e-01 6.673000000000000043e-01 2.659064836649787100e-01
4.550000000000000000e+02 2.400000000000000050e-02 6.700000000000000400e-02 3.760000000000000009e-01 1.200000000000000025e-02 8.000000000000000167e-02 3.659999999999999920e-01 9.839125061000000283e-01 6.755299999999999638e-01 3.044153861825456553e-01
4.600000000000000000e+02 2.599999999999999881e-02 8.000000000000000167e-02 3.790000000000000036e-01 1.000000000000000021e-02 8.100000000000000255e-02 3.649999999999999911e-01 9.859605408000000626e-01 6.837600000000000344e-01 3.074171329960980747e-01
4.650000000000000000e+02 2.900000000000000147e-02 9.700000000000000289e-02 3.790000000000000036e-01 1.000000000000000021e-02 8.599999999999999312e-02 3.639999999999999902e-01 9.883530426000000091e-01 6.919899999999999940e-01 3.146079940964360278e-01
