    #Thomas Stone's ROLO model results with
    #Wavelength  Adjusted     Scaling Factor
     350.100    0.0611353      1.00758
     355.200    0.0624194      1.07444
     405.000    0.0747432     0.926344
     412.400    0.0764477     0.945006
     414.400    0.0768159      1.01982
     441.700    0.0821225      1.01459
     465.800    0.0864396      1.04816
     475.000    0.0881092      1.01095
     486.900    0.0901852      1.01456
     544.100    0.0989872      1.01799
     549.100    0.0997555     0.987835
     553.800     0.100397      1.01720
     665.100     0.115209     0.933946
     693.100     0.118585     0.986584
     703.700     0.119797      1.00162
     745.300     0.124192     0.992257
     763.700     0.125824     0.999854
     774.900     0.126594     0.954203
     865.300     0.130480     0.940176
     872.600     0.130614     0.963646
     882.100     0.130815     0.943111
     928.400     0.132621     0.969210
     939.400     0.133339      1.03863
     942.100     0.133499     0.991529
     1059.50     0.146240     0.954080
     1243.30     0.166182      1.02197
     1538.70     0.194340      1.01964
     1633.60     0.200618      1.04093
     1981.60     0.219413      1.04647
     2126.30     0.230687      1.06824
     2251.00     0.240947     0.886473
     2383.60     0.252366     0.964692
