# Dr. Stone needs to work on his methods sections
# #Wavelength,	Model,	Reference,	Corrected
350.000000 355.000000 0.099700 0.061565
355.000000 360.000000 0.101600 0.062763
360.000000 365.000000 0.103400 0.063901
365.000000 370.000000 0.105800 0.065411
370.000000 375.000000 0.107800 0.066674
375.000000 380.000000 0.109900 0.068001
380.000000 385.000000 0.111700 0.069142
385.000000 390.000000 0.113500 0.070285
390.000000 395.000000 0.115300 0.071428
395.000000 400.000000 0.117100 0.072573
400.000000 405.000000 0.118300 0.073346
405.000000 410.000000 0.120200 0.074554
410.000000 415.000000 0.121900 0.075639
415.000000 420.000000 0.123400 0.076601
420.000000 425.000000 0.124600 0.077377
425.000000 430.000000 0.126400 0.078526
430.000000 435.000000 0.127800 0.079428
435.000000 440.000000 0.129300 0.080392
440.000000 445.000000 0.130600 0.081233
445.000000 450.000000 0.132000 0.082137
450.000000 455.000000 0.133300 0.082979
455.000000 460.000000 0.135000 0.084071
460.000000 465.000000 0.136000 0.084728
465.000000 470.000000 0.137300 0.085572
470.000000 475.000000 0.138700 0.086479
475.000000 480.000000 0.140300 0.087512
480.000000 485.000000 0.141700 0.088421
485.000000 490.000000 0.142900 0.089205
490.000000 495.000000 0.144000 0.089928
495.000000 500.000000 0.145200 0.090714
500.000000 505.000000 0.146400 0.091500
505.000000 510.000000 0.147500 0.092224
510.000000 515.000000 0.148700 0.093012
515.000000 520.000000 0.150200 0.093988
520.000000 525.000000 0.151300 0.094714
525.000000 530.000000 0.152400 0.095440
530.000000 535.000000 0.153400 0.096105
535.000000 540.000000 0.154700 0.096958
540.000000 545.000000 0.155700 0.097624
545.000000 550.000000 0.156800 0.098353
550.000000 555.000000 0.157900 0.099082
555.000000 560.000000 0.158900 0.099749
560.000000 565.000000 0.160000 0.100480
565.000000 570.000000 0.161000 0.101148
570.000000 575.000000 0.162100 0.101880
575.000000 580.000000 0.163000 0.102486
580.000000 585.000000 0.164100 0.103219
585.000000 590.000000 0.165000 0.103826
590.000000 595.000000 0.166100 0.104560
595.000000 600.000000 0.167000 0.105168
600.000000 605.000000 0.168000 0.105840
605.000000 610.000000 0.169100 0.106575
610.000000 615.000000 0.170000 0.107185
615.000000 620.000000 0.171000 0.107858
620.000000 625.000000 0.172100 0.108595
625.000000 630.000000 0.173100 0.109269
630.000000 635.000000 0.174100 0.109944
635.000000 640.000000 0.175000 0.110556
640.000000 645.000000 0.175900 0.111169
645.000000 650.000000 0.177000 0.111908
650.000000 655.000000 0.177800 0.112459
655.000000 660.000000 0.178800 0.113136
660.000000 665.000000 0.179800 0.113813
665.000000 670.000000 0.180800 0.114492
670.000000 675.000000 0.181500 0.114980
675.000000 680.000000 0.182400 0.115596
680.000000 685.000000 0.183200 0.116149
685.000000 690.000000 0.184200 0.116829
690.000000 695.000000 0.185000 0.117382
695.000000 700.000000 0.185800 0.117937
700.000000 705.000000 0.186700 0.118555
705.000000 710.000000 0.187600 0.119173
710.000000 715.000000 0.188300 0.119665
715.000000 720.000000 0.188900 0.120093
720.000000 725.000000 0.189500 0.120522
725.000000 730.000000 0.190300 0.121078
730.000000 735.000000 0.191200 0.121699
735.000000 740.000000 0.191900 0.122192
740.000000 745.000000 0.192600 0.122686
745.000000 750.000000 0.193500 0.123308
750.000000 755.000000 0.194200 0.123802
755.000000 760.000000 0.194900 0.124297
760.000000 765.000000 0.195500 0.124729
765.000000 770.000000 0.195800 0.124969
770.000000 775.000000 0.196200 0.125274
775.000000 780.000000 0.196500 0.125514
780.000000 785.000000 0.197000 0.125883
785.000000 790.000000 0.197600 0.126316
790.000000 795.000000 0.197900 0.126557
795.000000 800.000000 0.198500 0.126990
800.000000 805.000000 0.198900 0.127296
805.000000 810.000000 0.199200 0.127538
810.000000 815.000000 0.199500 0.127780
815.000000 820.000000 0.200000 0.128150
820.000000 825.000000 0.200000 0.128200
825.000000 830.000000 0.200300 0.128442
830.000000 835.000000 0.200700 0.128749
835.000000 840.000000 0.200700 0.128799
840.000000 845.000000 0.200900 0.128978
845.000000 850.000000 0.200800 0.128964
850.000000 855.000000 0.200900 0.129078
855.000000 860.000000 0.200900 0.129128
860.000000 865.000000 0.200800 0.129114
865.000000 870.000000 0.200900 0.129229
870.000000 875.000000 0.200900 0.129279
875.000000 880.000000 0.201200 0.129522
880.000000 885.000000 0.201100 0.129508
885.000000 890.000000 0.201400 0.129752
890.000000 895.000000 0.201400 0.129802
895.000000 900.000000 0.201100 0.129659
900.000000 905.000000 0.201500 0.129968
905.000000 910.000000 0.201800 0.130211
