#Disk Reflectance Results
#Wavelength		Reflectance
350.000000 0.018235
355.100000 0.017534
405.000000 0.025221
412.300000 0.025364
414.400000 0.023701
441.600000 0.026041
465.800000 0.026911
475.000000 0.028597
486.900000 0.029292
544.000000 0.032738
549.100000 0.034134
553.800000 0.033341
665.100000 0.043531
693.100000 0.042788
703.600000 0.042736
745.300000 0.045202
763.700000 0.046193
774.800000 0.048475
865.300000 0.051317
872.600000 0.050224
882.000000 0.051485
928.400000 0.051471
939.300000 0.048575
942.100000 0.050096
1059.500000 0.058727
1243.200000 0.064250
1538.700000 0.078349
1633.600000 0.080420
1981.500000 0.090332
2126.300000 0.089738
2250.900000 0.118493
2383.600000 0.115797
