#scaled trapazoidal data for 62231_avg_scaled_std_text.txt
# startwidth 		endwidth 		startheight 		endheight 		slope 			y-intercept 			area
3.000000000000000000e+02 3.050000000000000000e+02 5.610320678779999459e-02 5.888320678779999928e-02 5.560000000000009379e-04 -1.106967932122002868e-01 2.874660339389999986e-01
3.050000000000000000e+02 3.100000000000000000e+02 5.888320678779999928e-02 6.006320678779999978e-02 2.360000000000000986e-04 -1.309679321220003079e-02 2.973660339390000185e-01
3.100000000000000000e+02 3.150000000000000000e+02 6.006320678779999978e-02 6.141320678780000375e-02 2.700000000000008166e-04 -2.363679321220024665e-02 3.036910339389999880e-01
3.150000000000000000e+02 3.200000000000000000e+02 6.141320678780000375e-02 6.266320678780000486e-02 2.500000000000002220e-04 -1.733679321220006619e-02 3.101910339390000493e-01
3.200000000000000000e+02 3.250000000000000000e+02 6.266320678780000486e-02 6.420320678780000456e-02 3.079999999999999513e-04 -3.589679321219997610e-02 3.171660339390000583e-01
3.250000000000000000e+02 3.300000000000000000e+02 6.420320678780000456e-02 6.579320678779999876e-02 3.179999999999988392e-04 -3.914679321219961816e-02 3.249910339389999736e-01
3.300000000000000000e+02 3.350000000000000000e+02 6.579320678779999876e-02 6.692320678780000476e-02 2.260000000000012108e-04 -8.786793212200397218e-03 3.317910339390000019e-01
3.350000000000000000e+02 3.400000000000000000e+02 6.692320678780000476e-02 6.837320678779999772e-02 2.899999999999985922e-04 -3.022679321219952364e-02 3.382410339390000686e-01
3.400000000000000000e+02 3.450000000000000000e+02 6.837320678779999772e-02 7.004320678780000253e-02 3.340000000000009628e-04 -4.518679321220032963e-02 3.460410339389999868e-01
3.450000000000000000e+02 3.500000000000000000e+02 7.004320678780000253e-02 7.171320678780000735e-02 3.340000000000009628e-04 -4.518679321220032963e-02 3.543910339390000108e-01
3.500000000000000000e+02 3.550000000000000000e+02 7.171320678780000735e-02 7.310320678779999581e-02 2.779999999999977042e-04 -2.558679321219918534e-02 3.620410339390000010e-01
3.550000000000000000e+02 3.600000000000000000e+02 7.310320678779999581e-02 7.448320678780000204e-02 2.760000000000012335e-04 -2.487679321220044593e-02 3.689660339389999599e-01
3.600000000000000000e+02 3.650000000000000000e+02 7.448320678780000204e-02 7.638320678780000095e-02 3.799999999999998041e-04 -6.231679321219993350e-02 3.771660339389999450e-01
3.650000000000000000e+02 3.700000000000000000e+02 7.638320678780000095e-02 7.800320678779999739e-02 3.239999999999993103e-04 -4.187679321219975326e-02 3.859660339390000305e-01
3.700000000000000000e+02 3.750000000000000000e+02 7.800320678779999739e-02 7.961320678779999771e-02 3.220000000000000748e-04 -4.113679321220002627e-02 3.940410339389999739e-01
3.750000000000000000e+02 3.800000000000000000e+02 7.961320678779999771e-02 8.111320678779999904e-02 3.000000000000002448e-04 -3.288679321220008833e-02 4.018160339390000058e-01
3.800000000000000000e+02 3.850000000000000000e+02 8.111320678779999904e-02 8.270320678780000712e-02 3.180000000000016039e-04 -3.972679321220061455e-02 4.095410339389999876e-01
3.850000000000000000e+02 3.900000000000000000e+02 8.270320678780000712e-02 8.420320678779999457e-02 2.999999999999974801e-04 -3.279679321219902688e-02 4.172660339389999695e-01
3.900000000000000000e+02 3.950000000000000000e+02 8.420320678779999457e-02 8.577320678779999652e-02 3.140000000000003682e-04 -3.825679321220014362e-02 4.249410339390000124e-01
3.950000000000000000e+02 4.000000000000000000e+02 8.577320678779999652e-02 8.687320678780000027e-02 2.200000000000007397e-04 -1.126793212200299932e-03 4.316160339390000544e-01
4.000000000000000000e+02 4.050000000000000000e+02 8.687320678780000027e-02 8.867320678779999632e-02 3.599999999999992095e-04 -5.712679321219968354e-02 4.388660339389999776e-01
4.050000000000000000e+02 4.100000000000000000e+02 8.867320678779999632e-02 9.010320678779999704e-02 2.860000000000001213e-04 -2.715679321220004772e-02 4.469410339389999764e-01
4.100000000000000000e+02 4.150000000000000000e+02 9.010320678779999704e-02 9.152320678780000163e-02 2.840000000000009401e-04 -2.633679321220039338e-02 4.540660339390000244e-01
4.150000000000000000e+02 4.200000000000000000e+02 9.152320678780000163e-02 9.257320678779999701e-02 2.099999999999990871e-04 4.373206787800384965e-03 4.602410339390000105e-01
4.200000000000000000e+02 4.250000000000000000e+02 9.257320678779999701e-02 9.431320678780000244e-02 3.480000000000010862e-04 -5.358679321220047309e-02 4.672160339389999639e-01
4.250000000000000000e+02 4.300000000000000000e+02 9.431320678780000244e-02 9.568320678779999866e-02 2.739999999999992333e-04 -2.213679321219967633e-02 4.749910339389999958e-01
4.300000000000000000e+02 4.350000000000000000e+02 9.568320678779999866e-02 9.701320678779999651e-02 2.659999999999995810e-04 -1.869679321219981649e-02 4.817410339389999741e-01
4.350000000000000000e+02 4.400000000000000000e+02 9.701320678779999651e-02 9.828320678780000375e-02 2.540000000000014577e-04 -1.347679321220063287e-02 4.882410339390000353e-01
4.400000000000000000e+02 4.450000000000000000e+02 9.828320678780000375e-02 9.962320678779999772e-02 2.679999999999988164e-04 -1.963679321219947982e-02 4.947660339390000384e-01
4.450000000000000000e+02 4.500000000000000000e+02 9.962320678779999772e-02 1.009632067878000056e-01 2.680000000000015811e-04 -1.963679321220070106e-02 5.014660339390000221e-01
4.500000000000000000e+02 4.550000000000000000e+02 1.009632067878000056e-01 1.026932067878000010e-01 3.459999999999990861e-04 -5.473679321219956928e-02 5.091410339390000095e-01
4.550000000000000000e+02 4.600000000000000000e+02 1.026932067878000010e-01 1.036032067877999951e-01 1.819999999999988402e-04 1.988320678780053363e-02 5.157410339389999487e-01
4.600000000000000000e+02 4.650000000000000000e+02 1.036032067877999951e-01 1.048432067878000001e-01 2.480000000000009866e-04 -1.047679321220046367e-02 5.211160339389999674e-01
4.650000000000000000e+02 4.700000000000000000e+02 1.048432067878000001e-01 1.063032067878000031e-01 2.920000000000005924e-04 -3.093679321220027534e-02 5.278660339390000011e-01
4.700000000000000000e+02 4.750000000000000000e+02 1.063032067878000031e-01 1.078832067878000012e-01 3.159999999999996037e-04 -4.221679321219981573e-02 5.354660339390000523e-01
4.750000000000000000e+02 4.800000000000000000e+02 1.078832067878000012e-01 1.091832067878000107e-01 2.600000000000018746e-04 -1.561679321220088568e-02 5.426660339390000365e-01
4.800000000000000000e+02 4.850000000000000000e+02 1.091832067878000107e-01 1.104332067878000118e-01 2.500000000000002220e-04 -1.081679321220009593e-02 5.490410339390000560e-01
4.850000000000000000e+02 4.900000000000000000e+02 1.104332067878000118e-01 1.115432067878000116e-01 2.219999999999999751e-04 2.763206787800023823e-03 5.549410339390000724e-01
4.900000000000000000e+02 4.950000000000000000e+02 1.115432067878000116e-01 1.127532067878000005e-01 2.419999999999977779e-04 -7.036793212198896863e-03 5.607410339389999887e-01
4.950000000000000000e+02 5.000000000000000000e+02 1.127532067878000005e-01 1.140532067877999961e-01 2.599999999999991099e-04 -1.594679321219956425e-02 5.670160339390000193e-01
5.000000000000000000e+02 5.050000000000000000e+02 1.140532067877999961e-01 1.152032067878000082e-01 2.300000000000024193e-04 -9.467932122012162610e-04 5.731410339389999553e-01
5.050000000000000000e+02 5.100000000000000000e+02 1.152032067878000082e-01 1.162732067877999959e-01 2.139999999999975310e-04 7.133206787801257831e-03 5.786910339390000102e-01
5.100000000000000000e+02 5.150000000000000000e+02 1.162732067877999959e-01 1.177632067878000149e-01 2.980000000000038282e-04 -3.570679321220195102e-02 5.850910339390000825e-01
5.150000000000000000e+02 5.200000000000000000e+02 1.177632067878000149e-01 1.187932067877999903e-01 2.059999999999950868e-04 1.167320678780255083e-02 5.913910339390000548e-01
5.200000000000000000e+02 5.250000000000000000e+02 1.187932067877999903e-01 1.199232067878000102e-01 2.260000000000039755e-04 1.273206787797923067e-03 5.967910339390000152e-01
5.250000000000000000e+02 5.300000000000000000e+02 1.199232067878000102e-01 1.209532067878000133e-01 2.060000000000006162e-04 1.177320678779968099e-02 6.021910339390000866e-01
5.300000000000000000e+02 5.350000000000000000e+02 1.209532067878000133e-01 1.222532067878000089e-01 2.599999999999991099e-04 -1.684679321219952064e-02 6.080160339390000557e-01
5.350000000000000000e+02 5.400000000000000000e+02 1.222532067878000089e-01 1.232632067877999921e-01 2.019999999999966159e-04 1.418320678780181365e-02 6.137910339390000303e-01
5.400000000000000000e+02 5.450000000000000000e+02 1.232632067877999921e-01 1.244032067877999942e-01 2.280000000000004191e-04 1.432067877997628136e-04 6.191660339389999379e-01
5.450000000000000000e+02 5.500000000000000000e+02 1.244032067877999942e-01 1.255232067877999902e-01 2.239999999999992106e-04 2.323206787800430329e-03 6.248160339389998708e-01
5.500000000000000000e+02 5.550000000000000000e+02 1.255232067877999902e-01 1.265132067877999811e-01 1.979999999999981720e-04 1.662320678780099259e-02 6.300910339389999004e-01
5.550000000000000000e+02 5.600000000000000000e+02 1.265132067877999811e-01 1.276032067878000165e-01 2.180000000000070878e-04 5.523206787796053341e-03 6.352910339389999939e-01
5.600000000000000000e+02 5.650000000000000000e+02 1.276032067878000165e-01 1.286532067878000118e-01 2.099999999999990871e-04 1.000320678780053374e-02 6.406410339390000708e-01
5.650000000000000000e+02 5.700000000000000000e+02 1.286532067878000118e-01 1.297032067878000072e-01 2.099999999999990871e-04 1.000320678780053374e-02 6.458910339390000477e-01
5.700000000000000000e+02 5.750000000000000000e+02 1.297032067878000072e-01 1.306932067877999981e-01 1.979999999999981720e-04 1.684320678780104608e-02 6.509910339390000411e-01
