#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
375.000000 380.000000 -0.000000 0.000000 0.000000 -0.000031 0.000000
380.000000 385.000000 0.000000 -0.000000 -0.000000 0.000045 -0.000000
385.000000 390.000000 -0.000000 -0.000004 -0.000001 0.000257 -0.000010
390.000000 395.000000 -0.000004 -0.000002 0.000000 -0.000148 -0.000014
395.000000 400.000000 -0.000002 0.000000 0.000000 -0.000151 -0.000005
400.000000 405.000000 0.000000 -0.000006 -0.000001 0.000458 -0.000014
405.000000 410.000000 -0.000006 0.000011 0.000003 -0.001337 0.000013
410.000000 415.000000 0.000011 0.000009 -0.000000 0.000166 0.000049
415.000000 420.000000 0.000009 -0.000002 -0.000002 0.000893 0.000018
420.000000 425.000000 -0.000002 -0.000020 -0.000004 0.001504 -0.000054
425.000000 430.000000 -0.000020 0.000041 0.000012 -0.005195 0.000054
430.000000 435.000000 0.000041 0.000059 0.000004 -0.001494 0.000250
435.000000 440.000000 0.000059 0.000691 0.000126 -0.054923 0.001875
440.000000 445.000000 0.000691 0.069312 0.013724 -6.037977 0.175008
445.000000 450.000000 0.069312 0.853405 0.156818 -69.714908 2.306792
450.000000 455.000000 0.853405 0.971792 0.023678 -9.801510 4.562993
455.000000 460.000000 0.971792 0.983954 0.002432 -0.134881 4.889366
460.000000 465.000000 0.983954 0.996600 0.002529 -0.179460 4.951383
465.000000 470.000000 0.996600 1.000000 0.000680 0.680358 4.991499
470.000000 475.000000 1.000000 0.987791 -0.002442 2.147674 4.969477
475.000000 480.000000 0.987791 0.976964 -0.002165 2.016362 4.911886
480.000000 485.000000 0.976964 0.936626 -0.008068 4.849410 4.783973
485.000000 490.000000 0.936626 0.893855 -0.008554 5.085409 4.576201
490.000000 495.000000 0.893855 0.837069 -0.011357 6.458854 4.327309
495.000000 500.000000 0.837069 0.772395 -0.012935 7.239785 4.023660
500.000000 505.000000 0.772395 0.687065 -0.017066 9.305360 3.648651
505.000000 510.000000 0.687065 0.604237 -0.016566 9.052741 3.228256
510.000000 515.000000 0.604237 0.523997 -0.016048 8.788747 2.820584
515.000000 520.000000 0.523997 0.429643 -0.018871 10.242463 2.384098
520.000000 525.000000 0.429643 0.346984 -0.016532 9.026121 1.941567
525.000000 530.000000 0.346984 0.289920 -0.011413 6.338678 1.592262
530.000000 535.000000 0.289920 0.246190 -0.008746 4.925320 1.340277
535.000000 540.000000 0.246190 0.216185 -0.006001 3.456805 1.155937
540.000000 545.000000 0.216185 0.186067 -0.006024 3.468901 1.005628
545.000000 550.000000 0.186067 0.153873 -0.006439 3.695149 0.849850
550.000000 555.000000 0.153873 0.121006 -0.006574 3.769325 0.687197
555.000000 560.000000 0.121006 0.091942 -0.005813 3.347020 0.532370
560.000000 565.000000 0.091942 0.071460 -0.004096 2.385945 0.408507
565.000000 570.000000 0.071460 0.059511 -0.002390 1.421736 0.327428
570.000000 575.000000 0.059511 0.053376 -0.001227 0.758897 0.282217
575.000000 580.000000 0.053376 0.049797 -0.000716 0.464921 0.257933
580.000000 585.000000 0.049797 0.046141 -0.000731 0.473978 0.239845
585.000000 590.000000 0.046141 0.042463 -0.000735 0.476395 0.221509
590.000000 595.000000 0.042463 0.039248 -0.000643 0.421812 0.204279
595.000000 600.000000 0.039248 0.035759 -0.000698 0.454448 0.187519
600.000000 605.000000 0.035759 0.032577 -0.000636 0.417599 0.170841
605.000000 610.000000 0.032577 0.031384 -0.000239 0.176913 0.159904
610.000000 615.000000 0.031384 0.031186 -0.000040 0.055632 0.156425
615.000000 620.000000 0.031186 0.031681 0.000099 -0.029786 0.157168
620.000000 625.000000 0.031681 0.034541 0.000572 -0.322914 0.165556
625.000000 630.000000 0.034541 0.038018 0.000695 -0.400085 0.181398
630.000000 635.000000 0.038018 0.042402 0.000877 -0.514401 0.201051
635.000000 640.000000 0.042402 0.049000 0.001320 -0.795498 0.228506
640.000000 645.000000 0.049000 0.054898 0.001180 -0.705904 0.259744
645.000000 650.000000 0.054898 0.061654 0.001351 -0.816627 0.291378
650.000000 655.000000 0.061654 0.069768 0.001623 -0.993258 0.328555
655.000000 660.000000 0.069768 0.077867 0.001620 -0.991204 0.369089
660.000000 665.000000 0.077867 0.082554 0.000937 -0.540750 0.401053
665.000000 670.000000 0.082554 0.085217 0.000533 -0.271617 0.419427
670.000000 675.000000 0.085217 0.087830 0.000523 -0.264889 0.432616
675.000000 680.000000 0.087830 0.087020 -0.000162 0.197145 0.437123
680.000000 685.000000 0.087020 0.085842 -0.000236 0.247207 0.432154
685.000000 690.000000 0.085842 0.086487 0.000129 -0.002494 0.430822
690.000000 695.000000 0.086487 0.083705 -0.000556 0.470360 0.425479
695.000000 700.000000 0.083705 0.023809 -0.011979 8.409254 0.268785
700.000000 705.000000 0.023809 0.001280 -0.004506 3.177873 0.062722
705.000000 710.000000 0.001280 0.000099 -0.000236 0.167825 0.003447
710.000000 715.000000 0.000099 0.000013 -0.000017 0.012323 0.000279
715.000000 720.000000 0.000013 0.000001 -0.000002 0.001685 0.000034
720.000000 725.000000 0.000001 0.000001 -0.000000 0.000070 0.000004
725.000000 730.000000 0.000001 0.000000 -0.000000 0.000058 0.000002
730.000000 735.000000 0.000000 0.000000 -0.000000 0.000011 0.000001
735.000000 740.000000 0.000000 0.000000 -0.000000 0.000010 0.000000
740.000000 745.000000 0.000000 -0.000001 -0.000000 0.000079 -0.000001
745.000000 750.000000 -0.000001 0.000000 0.000000 -0.000145 -0.000000
750.000000 755.000000 0.000000 -0.000001 -0.000000 0.000145 -0.000000
755.000000 760.000000 -0.000001 0.000000 0.000000 -0.000089 -0.000001
760.000000 765.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
765.000000 770.000000 0.000000 -0.000000 -0.000000 0.000027 -0.000000
770.000000 775.000000 -0.000000 0.000000 0.000000 -0.000041 0.000000
775.000000 780.000000 0.000000 0.000000 0.000000 -0.000007 0.000001
780.000000 785.000000 0.000000 0.000000 -0.000000 0.000010 0.000001
785.000000 790.000000 0.000000 0.000000 0.000000 -0.000008 0.000001
790.000000 795.000000 0.000000 0.000001 0.000000 -0.000083 0.000002
795.000000 800.000000 0.000001 -0.000001 -0.000000 0.000236 -0.000000
800.000000 805.000000 -0.000001 0.000000 0.000000 -0.000127 -0.000002
805.000000 810.000000 0.000000 0.000004 0.000001 -0.000564 0.000009
810.000000 815.000000 0.000004 -0.000002 -0.000001 0.000891 0.000004
815.000000 820.000000 -0.000002 -0.000001 0.000000 -0.000167 -0.000007
820.000000 825.000000 -0.000001 -0.000001 0.000000 -0.000055 -0.000004
825.000000 830.000000 -0.000001 0.000001 0.000000 -0.000204 -0.000000
830.000000 835.000000 0.000001 -0.000001 -0.000000 0.000337 -0.000002
835.000000 840.000000 -0.000001 -0.000002 -0.000000 0.000023 -0.000007
840.000000 845.000000 -0.000002 -0.000002 -0.000000 0.000128 -0.000010
845.000000 850.000000 -0.000002 -0.000003 -0.000000 0.000138 -0.000014
850.000000 855.000000 -0.000003 -0.000001 0.000000 -0.000301 -0.000011
855.000000 860.000000 -0.000001 0.000002 0.000001 -0.000589 0.000001
860.000000 865.000000 0.000002 0.000001 -0.000000 0.000164 0.000008
865.000000 870.000000 0.000001 -0.000002 -0.000001 0.000492 -0.000002
870.000000 875.000000 -0.000002 0.000007 0.000002 -0.001555 0.000014
875.000000 880.000000 0.000007 0.000003 -0.000001 0.000705 0.000026
880.000000 885.000000 0.000003 0.000015 0.000002 -0.002089 0.000046
885.000000 890.000000 0.000015 -0.000006 -0.000004 0.003655 0.000024
890.000000 895.000000 -0.000006 0.000003 0.000002 -0.001431 -0.000007
895.000000 900.000000 0.000003 -0.000019 -0.000004 0.003806 -0.000041
900.000000 905.000000 -0.000019 -0.000001 0.000004 -0.003260 -0.000049
905.000000 910.000000 -0.000001 0.000001 0.000000 -0.000376 0.000002
910.000000 915.000000 0.000001 -0.000003 -0.000001 0.000786 -0.000004
915.000000 920.000000 -0.000003 0.000011 0.000003 -0.002590 0.000020
920.000000 925.000000 0.000011 0.000001 -0.000002 0.001860 0.000031
925.000000 930.000000 0.000001 0.000008 0.000001 -0.001363 0.000024
930.000000 935.000000 0.000008 -0.000000 -0.000002 0.001666 0.000020
935.000000 940.000000 -0.000000 0.000003 0.000001 -0.000676 0.000007
940.000000 945.000000 0.000003 0.000002 -0.000000 0.000142 0.000014
945.000000 950.000000 0.000002 -0.000000 -0.000001 0.000540 0.000005
