#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
375.000000 380.000000 -0.000000 0.000000 0.000000 -0.000033 0.000000
380.000000 385.000000 0.000000 -0.000000 -0.000000 0.000047 -0.000000
385.000000 390.000000 -0.000000 -0.000005 -0.000001 0.000322 -0.000012
390.000000 395.000000 -0.000005 -0.000002 0.000000 -0.000179 -0.000017
395.000000 400.000000 -0.000002 0.000000 0.000000 -0.000187 -0.000006
400.000000 405.000000 0.000000 -0.000009 -0.000002 0.000749 -0.000023
405.000000 410.000000 -0.000009 0.000017 0.000005 -0.002161 0.000020
410.000000 415.000000 0.000017 0.000015 -0.000000 0.000169 0.000081
415.000000 420.000000 0.000015 -0.000003 -0.000004 0.001550 0.000031
420.000000 425.000000 -0.000003 -0.000034 -0.000006 0.002608 -0.000093
425.000000 430.000000 -0.000034 0.000054 0.000018 -0.007512 0.000049
430.000000 435.000000 0.000054 0.000100 0.000009 -0.003940 0.000385
435.000000 440.000000 0.000100 0.001224 0.000225 -0.097645 0.003310
440.000000 445.000000 0.001224 0.131624 0.026080 -11.473989 0.332119
445.000000 450.000000 0.131624 1.781482 0.329972 -146.705753 4.782765
450.000000 455.000000 1.781482 1.951845 0.034073 -13.551207 9.333318
455.000000 460.000000 1.951845 1.993982 0.008427 -1.882626 9.864569
460.000000 465.000000 1.993982 2.004162 0.002036 1.057475 9.995360
465.000000 470.000000 2.004162 1.935500 -0.013732 8.389699 9.849154
470.000000 475.000000 1.935500 2.010648 0.015030 -5.128410 9.865370
475.000000 480.000000 2.010648 2.010103 -0.000109 2.062451 10.051877
480.000000 485.000000 2.010103 1.780994 -0.045822 24.004567 9.477741
485.000000 490.000000 1.780994 1.774749 -0.001249 2.386776 8.889355
490.000000 495.000000 1.774749 1.669116 -0.021127 12.126776 8.609660
495.000000 500.000000 1.669116 1.479523 -0.037919 20.438800 7.871596
500.000000 505.000000 1.479523 1.328098 -0.030285 16.622052 7.019051
505.000000 510.000000 1.328098 1.168292 -0.031961 17.468435 6.240974
510.000000 515.000000 1.168292 0.989830 -0.035692 19.371464 5.395305
515.000000 520.000000 0.989830 0.786890 -0.040588 21.892571 4.441800
520.000000 525.000000 0.786890 0.675231 -0.022332 12.399452 3.655304
525.000000 530.000000 0.675231 0.561576 -0.022731 12.609043 3.092018
530.000000 535.000000 0.561576 0.474162 -0.017483 9.827403 2.589346
535.000000 540.000000 0.474162 0.389781 -0.016876 9.503010 2.159858
540.000000 545.000000 0.389781 0.352038 -0.007548 4.465955 1.854547
545.000000 550.000000 0.352038 0.289359 -0.012536 7.184103 1.603493
550.000000 555.000000 0.289359 0.229850 -0.011902 6.835315 1.298022
555.000000 560.000000 0.229850 0.168025 -0.012365 7.092468 0.994687
560.000000 565.000000 0.168025 0.130629 -0.007479 4.356313 0.746635
565.000000 570.000000 0.130629 0.108131 -0.004500 2.672905 0.596901
570.000000 575.000000 0.108131 0.098772 -0.001872 1.175073 0.517259
575.000000 580.000000 0.098772 0.091378 -0.001479 0.949099 0.475375
580.000000 585.000000 0.091378 0.084160 -0.001444 0.928625 0.438846
585.000000 590.000000 0.084160 0.072803 -0.002271 1.412961 0.392409
590.000000 595.000000 0.072803 0.069882 -0.000584 0.417530 0.356712
595.000000 600.000000 0.069882 0.063026 -0.001371 0.885740 0.332268
600.000000 605.000000 0.063026 0.057743 -0.001056 0.696925 0.301922
605.000000 610.000000 0.057743 0.054154 -0.000718 0.492062 0.279743
610.000000 615.000000 0.054154 0.053483 -0.000134 0.135941 0.269093
615.000000 620.000000 0.053483 0.054571 0.000218 -0.080308 0.270136
620.000000 625.000000 0.054571 0.056855 0.000457 -0.228564 0.278564
625.000000 630.000000 0.056855 0.063351 0.001299 -0.755170 0.300513
630.000000 635.000000 0.063351 0.070303 0.001390 -0.812641 0.334134
635.000000 640.000000 0.070303 0.080090 0.001957 -1.172695 0.375984
640.000000 645.000000 0.080090 0.089428 0.001868 -1.115152 0.423797
645.000000 650.000000 0.089428 0.097659 0.001646 -0.972386 0.467719
650.000000 655.000000 0.097659 0.107025 0.001873 -1.119827 0.511710
655.000000 660.000000 0.107025 0.121629 0.002921 -1.806125 0.571634
660.000000 665.000000 0.121629 0.128949 0.001464 -0.844652 0.626445
665.000000 670.000000 0.128949 0.130637 0.000338 -0.095584 0.648966
670.000000 675.000000 0.130637 0.132798 0.000432 -0.158922 0.658589
675.000000 680.000000 0.132798 0.130269 -0.000506 0.474298 0.657667
680.000000 685.000000 0.130269 0.125072 -0.001039 0.837048 0.638351
685.000000 690.000000 0.125072 0.125968 0.000179 0.002291 0.627599
690.000000 695.000000 0.125968 0.120368 -0.001120 0.898779 0.615839
695.000000 700.000000 0.120368 0.033511 -0.017371 12.193446 0.384697
700.000000 705.000000 0.033511 0.001814 -0.006339 4.471154 0.088312
705.000000 710.000000 0.001814 0.000137 -0.000335 0.238233 0.004877
710.000000 715.000000 0.000137 0.000017 -0.000024 0.017119 0.000386
715.000000 720.000000 0.000017 0.000001 -0.000003 0.002311 0.000047
720.000000 725.000000 0.000001 0.000001 -0.000000 0.000091 0.000005
725.000000 730.000000 0.000001 0.000000 -0.000000 0.000079 0.000002
730.000000 735.000000 0.000000 0.000000 -0.000000 0.000015 0.000001
735.000000 740.000000 0.000000 0.000000 -0.000000 0.000013 0.000000
740.000000 745.000000 0.000000 -0.000001 -0.000000 0.000102 -0.000002
745.000000 750.000000 -0.000001 0.000001 0.000000 -0.000185 -0.000000
750.000000 755.000000 0.000001 -0.000001 -0.000000 0.000183 -0.000000
755.000000 760.000000 -0.000001 0.000000 0.000000 -0.000112 -0.000002
760.000000 765.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
765.000000 770.000000 0.000000 -0.000000 -0.000000 0.000033 -0.000000
770.000000 775.000000 -0.000000 0.000000 0.000000 -0.000049 0.000000
775.000000 780.000000 0.000000 0.000000 0.000000 -0.000008 0.000001
780.000000 785.000000 0.000000 0.000000 -0.000000 0.000012 0.000001
785.000000 790.000000 0.000000 0.000000 0.000000 -0.000008 0.000001
790.000000 795.000000 0.000000 0.000001 0.000000 -0.000093 0.000002
795.000000 800.000000 0.000001 -0.000001 -0.000000 0.000268 -0.000000
800.000000 805.000000 -0.000001 0.000000 0.000000 -0.000145 -0.000002
805.000000 810.000000 0.000000 0.000004 0.000001 -0.000624 0.000010
810.000000 815.000000 0.000004 -0.000002 -0.000001 0.000985 0.000004
815.000000 820.000000 -0.000002 -0.000001 0.000000 -0.000190 -0.000008
820.000000 825.000000 -0.000001 -0.000001 0.000000 -0.000058 -0.000004
825.000000 830.000000 -0.000001 0.000001 0.000000 -0.000219 -0.000000
830.000000 835.000000 0.000001 -0.000001 -0.000000 0.000357 -0.000002
835.000000 840.000000 -0.000001 -0.000002 -0.000000 0.000022 -0.000008
840.000000 845.000000 -0.000002 -0.000002 -0.000000 0.000130 -0.000010
845.000000 850.000000 -0.000002 -0.000003 -0.000000 0.000118 -0.000014
850.000000 855.000000 -0.000003 -0.000001 0.000000 -0.000324 -0.000011
855.000000 860.000000 -0.000001 0.000002 0.000001 -0.000558 0.000002
860.000000 865.000000 0.000002 0.000001 -0.000000 0.000168 0.000008
865.000000 870.000000 0.000001 -0.000002 -0.000001 0.000479 -0.000002
870.000000 875.000000 -0.000002 0.000007 0.000002 -0.001524 0.000013
875.000000 880.000000 0.000007 0.000003 -0.000001 0.000704 0.000025
880.000000 885.000000 0.000003 0.000015 0.000002 -0.002013 0.000044
885.000000 890.000000 0.000015 -0.000005 -0.000004 0.003503 0.000023
890.000000 895.000000 -0.000005 0.000002 0.000002 -0.001350 -0.000007
895.000000 900.000000 0.000002 -0.000017 -0.000004 0.003469 -0.000037
900.000000 905.000000 -0.000017 -0.000001 0.000003 -0.002963 -0.000044
905.000000 910.000000 -0.000001 0.000001 0.000000 -0.000329 0.000001
