#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
375.000000 380.000000 -0.000000 0.000000 0.000000 -0.000015 -0.000000
380.000000 385.000000 0.000000 -0.000000 -0.000000 0.000014 -0.000000
385.000000 390.000000 -0.000000 -0.000001 -0.000000 0.000055 -0.000002
390.000000 395.000000 -0.000001 -0.000000 0.000000 -0.000037 -0.000003
395.000000 400.000000 -0.000000 0.000000 0.000000 -0.000028 -0.000001
400.000000 405.000000 0.000000 -0.000001 -0.000000 0.000072 -0.000002
405.000000 410.000000 -0.000001 0.000002 0.000001 -0.000204 0.000002
410.000000 415.000000 0.000002 0.000001 -0.000000 0.000024 0.000007
415.000000 420.000000 0.000001 -0.000000 -0.000000 0.000136 0.000003
420.000000 425.000000 -0.000000 -0.000003 -0.000001 0.000219 -0.000008
425.000000 430.000000 -0.000003 0.000006 0.000002 -0.000736 0.000007
430.000000 435.000000 0.000006 0.000008 0.000001 -0.000216 0.000035
435.000000 440.000000 0.000008 0.000106 0.000020 -0.008494 0.000286
440.000000 445.000000 0.000106 0.011901 0.002359 -1.037853 0.030018
445.000000 450.000000 0.011901 0.164523 0.030524 -13.571496 0.441061
450.000000 455.000000 0.164523 0.198742 0.006844 -2.915169 0.908164
455.000000 460.000000 0.198742 0.205288 0.001309 -0.396896 1.010075
460.000000 465.000000 0.205288 0.219745 0.002891 -1.124769 1.062582
465.000000 470.000000 0.219745 0.254381 0.006927 -3.001445 1.185316
470.000000 475.000000 0.254381 0.311870 0.011498 -5.149509 1.415627
475.000000 480.000000 0.311870 0.384203 0.014467 -6.559832 1.740182
480.000000 485.000000 0.384203 0.453318 0.013823 -6.250803 2.093803
485.000000 490.000000 0.453318 0.534618 0.016260 -7.432799 2.469840
490.000000 495.000000 0.534618 0.617296 0.016536 -7.567849 2.879786
495.000000 500.000000 0.617296 0.698368 0.016214 -7.408849 3.289162
500.000000 505.000000 0.698368 0.757215 0.011769 -5.186311 3.638959
505.000000 510.000000 0.757215 0.827289 0.014015 -6.320202 3.961260
510.000000 515.000000 0.827289 0.903533 0.015249 -6.949593 4.327053
515.000000 520.000000 0.903533 0.952658 0.009825 -4.156407 4.640477
520.000000 525.000000 0.952658 0.982351 0.005939 -2.135411 4.837524
525.000000 530.000000 0.982351 0.995836 0.002697 -0.433507 4.945467
530.000000 535.000000 0.995836 0.986654 -0.001836 1.969067 4.956225
535.000000 540.000000 0.986654 1.000000 0.002669 -0.441348 4.966635
540.000000 545.000000 1.000000 0.982584 -0.003483 2.880979 4.956459
545.000000 550.000000 0.982584 0.953150 -0.005887 4.190829 4.839334
550.000000 555.000000 0.953150 0.915940 -0.007442 5.046222 4.672726
555.000000 560.000000 0.915940 0.869915 -0.009205 6.024804 4.464637
560.000000 565.000000 0.869915 0.815301 -0.010923 6.986622 4.213039
565.000000 570.000000 0.815301 0.761821 -0.010696 6.858572 3.942805
570.000000 575.000000 0.761821 0.707096 -0.010945 7.000435 3.672292
575.000000 580.000000 0.707096 0.638151 -0.013789 8.635813 3.363117
580.000000 585.000000 0.638151 0.564719 -0.014686 9.156177 3.007176
585.000000 590.000000 0.564719 0.488785 -0.015187 9.449102 2.633760
590.000000 595.000000 0.488785 0.408837 -0.015990 9.922652 2.244053
595.000000 600.000000 0.408837 0.327544 -0.016259 10.082656 1.840951
600.000000 605.000000 0.327544 0.249671 -0.015575 9.672266 1.443038
605.000000 610.000000 0.249671 0.195377 -0.010859 6.819311 1.112620
610.000000 615.000000 0.195377 0.156526 -0.007770 4.935165 0.879757
615.000000 620.000000 0.156526 0.129534 -0.005398 3.476559 0.715150
620.000000 625.000000 0.129534 0.115416 -0.002824 1.880200 0.612374
625.000000 630.000000 0.115416 0.105665 -0.001950 1.334184 0.552703
630.000000 635.000000 0.105665 0.099034 -0.001326 0.941235 0.511749
635.000000 640.000000 0.099034 0.094959 -0.000815 0.616610 0.484981
640.000000 645.000000 0.094959 0.088378 -0.001316 0.937302 0.458341
645.000000 650.000000 0.088378 0.082323 -0.001211 0.869381 0.426753
650.000000 655.000000 0.082323 0.082181 -0.000028 0.100797 0.411262
655.000000 660.000000 0.082181 0.087207 0.001005 -0.576211 0.423472
660.000000 665.000000 0.087207 0.095201 0.001599 -0.968004 0.456021
665.000000 670.000000 0.095201 0.106198 0.002199 -1.367416 0.503499
670.000000 675.000000 0.106198 0.121321 0.003025 -1.920276 0.568799
675.000000 680.000000 0.121321 0.134733 0.002682 -1.689298 0.640137
680.000000 685.000000 0.134733 0.147533 0.002560 -1.606009 0.705666
685.000000 690.000000 0.147533 0.163656 0.003225 -2.061303 0.777972
690.000000 695.000000 0.163656 0.171825 0.001634 -0.963654 0.838701
695.000000 700.000000 0.171825 0.052848 -0.023795 16.709598 0.561682
700.000000 705.000000 0.052848 0.003061 -0.009957 7.023018 0.139772
705.000000 710.000000 0.003061 0.000257 -0.000561 0.398396 0.008296
710.000000 715.000000 0.000257 0.000036 -0.000044 0.031631 0.000734
715.000000 720.000000 0.000036 0.000003 -0.000007 0.004768 0.000099
720.000000 725.000000 0.000003 0.000002 -0.000000 0.000199 0.000012
725.000000 730.000000 0.000002 0.000001 -0.000000 0.000190 0.000006
730.000000 735.000000 0.000001 0.000000 -0.000000 0.000038 0.000002
735.000000 740.000000 0.000000 0.000000 -0.000000 0.000038 0.000001
740.000000 745.000000 0.000000 -0.000002 -0.000000 0.000364 -0.000006
745.000000 750.000000 -0.000002 0.000002 0.000001 -0.000694 -0.000001
750.000000 755.000000 0.000002 -0.000003 -0.000001 0.000769 -0.000002
755.000000 760.000000 -0.000003 0.000000 0.000001 -0.000490 -0.000007
760.000000 765.000000 0.000000 0.000000 0.000000 -0.000000 0.000002
765.000000 770.000000 0.000000 -0.000001 -0.000000 0.000143 -0.000001
770.000000 775.000000 -0.000001 0.000001 0.000000 -0.000191 -0.000000
775.000000 780.000000 0.000001 0.000001 0.000000 -0.000001 0.000003
780.000000 785.000000 0.000001 0.000000 -0.000000 0.000050 0.000002
785.000000 790.000000 0.000000 0.000000 -0.000000 0.000001 0.000001
790.000000 795.000000 0.000000 0.000001 0.000000 -0.000098 0.000003
795.000000 800.000000 0.000001 -0.000001 -0.000000 0.000285 0.000000
800.000000 805.000000 -0.000001 0.000000 0.000000 -0.000141 -0.000002
805.000000 810.000000 0.000000 0.000003 0.000001 -0.000518 0.000008
810.000000 815.000000 0.000003 -0.000002 -0.000001 0.000809 0.000004
815.000000 820.000000 -0.000002 -0.000001 0.000000 -0.000151 -0.000006
820.000000 825.000000 -0.000001 -0.000001 0.000000 -0.000048 -0.000003
825.000000 830.000000 -0.000001 0.000001 0.000000 -0.000181 -0.000000
830.000000 835.000000 0.000001 -0.000001 -0.000000 0.000304 -0.000002
835.000000 840.000000 -0.000001 -0.000001 -0.000000 0.000023 -0.000007
840.000000 845.000000 -0.000001 -0.000002 -0.000000 0.000123 -0.000009
845.000000 850.000000 -0.000002 -0.000003 -0.000000 0.000135 -0.000013
850.000000 855.000000 -0.000003 -0.000001 0.000000 -0.000282 -0.000011
855.000000 860.000000 -0.000001 0.000002 0.000001 -0.000556 0.000001
860.000000 865.000000 0.000002 0.000001 -0.000000 0.000155 0.000007
865.000000 870.000000 0.000001 -0.000002 -0.000001 0.000462 -0.000002
870.000000 875.000000 -0.000002 0.000007 0.000002 -0.001451 0.000013
875.000000 880.000000 0.000007 0.000003 -0.000001 0.000660 0.000024
880.000000 885.000000 0.000003 0.000014 0.000002 -0.001928 0.000042
885.000000 890.000000 0.000014 -0.000005 -0.000004 0.003380 0.000022
890.000000 895.000000 -0.000005 0.000002 0.000001 -0.001332 -0.000007
895.000000 900.000000 0.000002 -0.000018 -0.000004 0.003565 -0.000038
900.000000 905.000000 -0.000018 -0.000001 0.000003 -0.003053 -0.000046
905.000000 910.000000 -0.000001 0.000001 0.000000 -0.000354 0.000001
910.000000 915.000000 0.000001 -0.000003 -0.000001 0.000746 -0.000004
915.000000 920.000000 -0.000003 0.000011 0.000003 -0.002467 0.000020
920.000000 925.000000 0.000011 0.000001 -0.000002 0.001773 0.000029
925.000000 930.000000 0.000001 0.000008 0.000001 -0.001296 0.000023
930.000000 935.000000 0.000008 -0.000000 -0.000002 0.001584 0.000019
935.000000 940.000000 -0.000000 0.000003 0.000001 -0.000640 0.000007
940.000000 945.000000 0.000003 0.000002 -0.000000 0.000137 0.000013
945.000000 950.000000 0.000002 -0.000000 -0.000001 0.000508 0.000005
