#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
375.000000 380.000000 -0.000000 0.000000 0.000000 -0.000016 -0.000000
380.000000 385.000000 0.000000 -0.000000 -0.000000 0.000015 -0.000000
385.000000 390.000000 -0.000000 -0.000001 -0.000000 0.000069 -0.000003
390.000000 395.000000 -0.000001 -0.000000 0.000000 -0.000045 -0.000004
395.000000 400.000000 -0.000000 0.000000 0.000000 -0.000035 -0.000001
400.000000 405.000000 0.000000 -0.000001 -0.000000 0.000117 -0.000004
405.000000 410.000000 -0.000001 0.000003 0.000001 -0.000330 0.000003
410.000000 415.000000 0.000003 0.000002 -0.000000 0.000023 0.000012
415.000000 420.000000 0.000002 -0.000000 -0.000001 0.000236 0.000005
420.000000 425.000000 -0.000000 -0.000005 -0.000001 0.000379 -0.000014
425.000000 430.000000 -0.000005 0.000008 0.000003 -0.001068 0.000006
430.000000 435.000000 0.000008 0.000014 0.000001 -0.000563 0.000054
435.000000 440.000000 0.000014 0.000188 0.000035 -0.015096 0.000505
440.000000 445.000000 0.000188 0.022600 0.004482 -1.972091 0.056970
445.000000 450.000000 0.022600 0.343443 0.064169 -28.532398 0.915107
450.000000 455.000000 0.343443 0.399174 0.011146 -4.672357 1.856542
455.000000 460.000000 0.399174 0.416016 0.003368 -1.133426 2.037974
460.000000 465.000000 0.416016 0.441907 0.005178 -1.965988 2.144806
465.000000 470.000000 0.441907 0.492355 0.010090 -4.249767 2.335655
470.000000 475.000000 0.492355 0.634810 0.028491 -12.898448 2.817914
475.000000 480.000000 0.634810 0.790498 0.031138 -14.155523 3.563271
480.000000 485.000000 0.790498 0.861984 0.014297 -6.072139 4.131205
485.000000 490.000000 0.861984 1.061484 0.039900 -18.489536 4.808670
490.000000 495.000000 1.061484 1.230889 0.033881 -15.540172 5.730932
495.000000 500.000000 1.230889 1.337725 0.021367 -9.345875 6.421534
500.000000 505.000000 1.337725 1.463697 0.025194 -11.259506 7.003555
505.000000 510.000000 1.463697 1.599563 0.027173 -12.258728 7.658150
510.000000 515.000000 1.599563 1.706773 0.021442 -9.335904 8.265840
515.000000 520.000000 1.706773 1.744794 0.007604 -2.209335 8.628917
520.000000 525.000000 1.744794 1.911656 0.033372 -15.608845 9.141123
525.000000 530.000000 1.911656 1.928934 0.003456 0.097461 9.601473
530.000000 535.000000 1.928934 1.900296 -0.005728 4.964522 9.573074
535.000000 540.000000 1.900296 1.803000 -0.019459 12.310964 9.258240
540.000000 545.000000 1.803000 1.859048 0.011210 -4.250188 9.155120
545.000000 550.000000 1.859048 1.792399 -0.013330 9.123821 9.128617
550.000000 555.000000 1.792399 1.739829 -0.010514 7.575106 8.830569
555.000000 560.000000 1.739829 1.589769 -0.030012 18.396471 8.323994
560.000000 565.000000 1.589769 1.490370 -0.019880 12.722395 7.700348
565.000000 570.000000 1.490370 1.384228 -0.021228 13.484413 7.186497
570.000000 575.000000 1.384228 1.308481 -0.015149 10.019389 6.731774
575.000000 580.000000 1.308481 1.171007 -0.027495 17.118076 6.198720
580.000000 585.000000 1.171007 1.030048 -0.028192 17.522167 5.502638
585.000000 590.000000 1.030048 0.838021 -0.038405 23.497226 4.670174
590.000000 595.000000 0.838021 0.727934 -0.022018 13.828367 3.914887
595.000000 600.000000 0.727934 0.577296 -0.030127 18.653769 3.263074
600.000000 605.000000 0.577296 0.442542 -0.026951 16.747763 2.549597
605.000000 610.000000 0.442542 0.337123 -0.021084 13.198337 1.949162
610.000000 615.000000 0.337123 0.268442 -0.013736 8.716137 1.513912
615.000000 620.000000 0.268442 0.223122 -0.009064 5.842804 1.228911
620.000000 625.000000 0.223122 0.189974 -0.006630 4.333477 1.032741
625.000000 630.000000 0.189974 0.176074 -0.002780 1.927500 0.915120
630.000000 635.000000 0.176074 0.164198 -0.002375 1.672397 0.850680
635.000000 640.000000 0.164198 0.155210 -0.001798 1.305743 0.798520
640.000000 645.000000 0.155210 0.143967 -0.002248 1.594237 0.747943
645.000000 650.000000 0.143967 0.130400 -0.002713 1.894109 0.685919
650.000000 655.000000 0.130400 0.126066 -0.000867 0.693842 0.641166
655.000000 660.000000 0.126066 0.136218 0.002030 -1.203784 0.655710
660.000000 665.000000 0.136218 0.148704 0.002497 -1.512022 0.712305
665.000000 670.000000 0.148704 0.162802 0.002820 -1.726296 0.778766
670.000000 675.000000 0.162802 0.183438 0.004127 -2.602385 0.865600
675.000000 680.000000 0.183438 0.201696 0.003652 -2.281383 0.962834
680.000000 685.000000 0.201696 0.214955 0.002652 -1.601616 1.041628
685.000000 690.000000 0.214955 0.238365 0.004682 -2.992108 1.133300
690.000000 695.000000 0.238365 0.247084 0.001744 -0.964894 1.213622
695.000000 700.000000 0.247084 0.074383 -0.034540 24.252450 0.803668
700.000000 705.000000 0.074383 0.004337 -0.014009 9.880827 0.196802
705.000000 710.000000 0.004337 0.000357 -0.000796 0.565634 0.011735
710.000000 715.000000 0.000357 0.000050 -0.000061 0.043952 0.001016
715.000000 720.000000 0.000050 0.000004 -0.000009 0.006539 0.000135
720.000000 725.000000 0.000004 0.000002 -0.000000 0.000259 0.000017
725.000000 730.000000 0.000002 0.000001 -0.000000 0.000258 0.000008
730.000000 735.000000 0.000001 0.000000 -0.000000 0.000050 0.000003
735.000000 740.000000 0.000000 0.000000 -0.000000 0.000050 0.000001
740.000000 745.000000 0.000000 -0.000003 -0.000001 0.000466 -0.000008
745.000000 750.000000 -0.000003 0.000003 0.000001 -0.000884 -0.000001
750.000000 755.000000 0.000003 -0.000004 -0.000001 0.000969 -0.000002
755.000000 760.000000 -0.000004 0.000000 0.000001 -0.000615 -0.000008
760.000000 765.000000 0.000000 0.000000 -0.000000 0.000001 0.000002
765.000000 770.000000 0.000000 -0.000001 -0.000000 0.000173 -0.000001
770.000000 775.000000 -0.000001 0.000001 0.000000 -0.000228 -0.000000
775.000000 780.000000 0.000001 0.000001 0.000000 -0.000001 0.000004
780.000000 785.000000 0.000001 0.000000 -0.000000 0.000060 0.000003
785.000000 790.000000 0.000000 0.000000 -0.000000 0.000002 0.000002
790.000000 795.000000 0.000000 0.000001 0.000000 -0.000110 0.000003
795.000000 800.000000 0.000001 -0.000001 -0.000000 0.000324 0.000000
800.000000 805.000000 -0.000001 0.000000 0.000000 -0.000161 -0.000002
805.000000 810.000000 0.000000 0.000004 0.000001 -0.000572 0.000009
810.000000 815.000000 0.000004 -0.000002 -0.000001 0.000895 0.000004
815.000000 820.000000 -0.000002 -0.000001 0.000000 -0.000172 -0.000007
820.000000 825.000000 -0.000001 -0.000001 0.000000 -0.000051 -0.000004
825.000000 830.000000 -0.000001 0.000001 0.000000 -0.000194 -0.000000
830.000000 835.000000 0.000001 -0.000001 -0.000000 0.000321 -0.000002
835.000000 840.000000 -0.000001 -0.000001 -0.000000 0.000022 -0.000007
840.000000 845.000000 -0.000001 -0.000002 -0.000000 0.000124 -0.000009
845.000000 850.000000 -0.000002 -0.000003 -0.000000 0.000117 -0.000013
850.000000 855.000000 -0.000003 -0.000001 0.000000 -0.000304 -0.000010
855.000000 860.000000 -0.000001 0.000002 0.000001 -0.000526 0.000002
860.000000 865.000000 0.000002 0.000001 -0.000000 0.000159 0.000007
865.000000 870.000000 0.000001 -0.000002 -0.000001 0.000450 -0.000002
870.000000 875.000000 -0.000002 0.000007 0.000002 -0.001422 0.000012
875.000000 880.000000 0.000007 0.000003 -0.000001 0.000659 0.000023
880.000000 885.000000 0.000003 0.000013 0.000002 -0.001858 0.000041
885.000000 890.000000 0.000013 -0.000005 -0.000004 0.003240 0.000021
890.000000 895.000000 -0.000005 0.000002 0.000001 -0.001256 -0.000007
895.000000 900.000000 0.000002 -0.000016 -0.000004 0.003250 -0.000034
900.000000 905.000000 -0.000016 -0.000001 0.000003 -0.002775 -0.000041
905.000000 910.000000 -0.000001 0.000001 0.000000 -0.000310 0.000001
910.000000 915.000000 0.000001 -0.000002 -0.000001 0.000646 -0.000003
915.000000 920.000000 -0.000002 0.000009 0.000002 -0.002094 0.000016
920.000000 925.000000 0.000009 0.000001 -0.000002 0.001501 0.000025
925.000000 930.000000 0.000001 0.000007 0.000001 -0.001076 0.000019
930.000000 935.000000 0.000007 -0.000000 -0.000001 0.001312 0.000016
935.000000 940.000000 -0.000000 0.000002 0.000001 -0.000516 0.000005
940.000000 945.000000 0.000002 0.000002 -0.000000 0.000112 0.000011
945.000000 950.000000 0.000002 -0.000000 -0.000000 0.000405 0.000004
