#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
375.000000 380.000000 -0.000001 0.000001 0.000000 -0.000110 -0.000001
380.000000 385.000000 0.000001 -0.000001 -0.000000 0.000102 -0.000000
385.000000 390.000000 -0.000001 -0.000006 -0.000001 0.000382 -0.000016
390.000000 395.000000 -0.000006 -0.000002 0.000001 -0.000261 -0.000021
395.000000 400.000000 -0.000002 0.000000 0.000000 -0.000198 -0.000006
400.000000 405.000000 0.000000 -0.000006 -0.000001 0.000519 -0.000016
405.000000 410.000000 -0.000006 0.000011 0.000004 -0.001460 0.000012
410.000000 415.000000 0.000011 0.000009 -0.000000 0.000198 0.000052
415.000000 420.000000 0.000009 -0.000002 -0.000002 0.000925 0.000018
420.000000 425.000000 -0.000002 -0.000019 -0.000004 0.001472 -0.000053
425.000000 430.000000 -0.000019 0.000040 0.000012 -0.005027 0.000050
430.000000 435.000000 0.000040 0.000055 0.000003 -0.001300 0.000237
435.000000 440.000000 0.000055 0.000634 0.000116 -0.050295 0.001722
440.000000 445.000000 0.000634 0.062187 0.012311 -5.416014 0.157051
445.000000 450.000000 0.062187 0.767402 0.141043 -62.702007 2.073972
450.000000 455.000000 0.767402 0.878483 0.022216 -9.229890 4.114714
455.000000 460.000000 0.878483 0.897657 0.003835 -0.866345 4.440351
460.000000 465.000000 0.897657 0.918320 0.004133 -1.003350 4.539944
465.000000 470.000000 0.918320 0.925210 0.001378 0.277543 4.608827
470.000000 475.000000 0.925210 0.947343 0.004426 -1.155225 4.681383
475.000000 480.000000 0.947343 0.972626 0.005057 -1.454565 4.799922
480.000000 485.000000 0.972626 0.982212 0.001917 0.052333 4.887096
485.000000 490.000000 0.982212 0.996695 0.002897 -0.422630 4.947269
490.000000 495.000000 0.996695 0.995532 -0.000233 1.110732 4.980567
495.000000 500.000000 0.995532 1.000000 0.000894 0.553167 4.988829
500.000000 505.000000 1.000000 0.989132 -0.002174 2.086814 4.972830
505.000000 510.000000 0.989132 0.977795 -0.002267 2.134151 4.917317
510.000000 515.000000 0.977795 0.995297 0.003500 -0.807454 4.932731
515.000000 520.000000 0.995297 0.987415 -0.001576 1.807169 4.956782
520.000000 525.000000 0.987415 0.972523 -0.002978 2.536211 4.899845
525.000000 530.000000 0.972523 0.975029 0.000501 0.709430 4.868879
530.000000 535.000000 0.975029 0.961521 -0.002702 2.406846 4.841374
535.000000 540.000000 0.961521 0.967076 0.001111 0.367150 4.821492
540.000000 545.000000 0.967076 0.975244 0.001634 0.084906 4.855799
545.000000 550.000000 0.975244 0.954956 -0.004058 3.186603 4.825501
