#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
375.000000 380.000000 -0.000001 0.000001 0.000000 -0.000117 -0.000001
380.000000 385.000000 0.000001 -0.000001 -0.000000 0.000108 -0.000000
385.000000 390.000000 -0.000001 -0.000007 -0.000001 0.000482 -0.000019
390.000000 395.000000 -0.000007 -0.000003 0.000001 -0.000317 -0.000025
395.000000 400.000000 -0.000003 0.000000 0.000001 -0.000246 -0.000008
400.000000 405.000000 0.000000 -0.000011 -0.000002 0.000849 -0.000026
405.000000 410.000000 -0.000011 0.000018 0.000006 -0.002359 0.000019
410.000000 415.000000 0.000018 0.000016 -0.000000 0.000217 0.000086
415.000000 420.000000 0.000016 -0.000003 -0.000004 0.001606 0.000032
420.000000 425.000000 -0.000003 -0.000034 -0.000006 0.002552 -0.000092
425.000000 430.000000 -0.000034 0.000052 0.000017 -0.007280 0.000045
430.000000 435.000000 0.000052 0.000094 0.000008 -0.003556 0.000363
435.000000 440.000000 0.000094 0.001123 0.000206 -0.089423 0.003040
440.000000 445.000000 0.001123 0.118092 0.023394 -10.292231 0.298037
445.000000 450.000000 0.118092 1.601952 0.296772 -131.945436 4.300112
450.000000 455.000000 1.601952 1.764434 0.032496 -13.021378 8.415965
455.000000 460.000000 1.764434 1.819102 0.010934 -3.210417 8.958841
460.000000 465.000000 1.819102 1.846742 0.005528 -0.723763 9.164612
465.000000 470.000000 1.846742 1.790745 -0.011199 7.054504 9.093718
470.000000 475.000000 1.790745 1.928316 0.027514 -11.140961 9.297653
475.000000 480.000000 1.928316 2.001178 0.014572 -4.993555 9.823736
480.000000 485.000000 2.001178 1.867677 -0.026700 14.817287 9.672137
485.000000 490.000000 1.867677 1.978939 0.022252 -8.924705 9.616538
490.000000 495.000000 1.978939 1.985090 0.001230 1.376080 9.910072
495.000000 500.000000 1.985090 1.915500 -0.013918 8.874515 9.751475
500.000000 505.000000 1.915500 1.911992 -0.000702 2.266312 9.568730
505.000000 510.000000 1.911992 1.890567 -0.004285 4.075935 9.506396
510.000000 515.000000 1.890567 1.880117 -0.002090 2.956444 9.426709
515.000000 520.000000 1.880117 1.808451 -0.014333 9.261710 9.221420
520.000000 525.000000 1.808451 1.892530 0.016816 -6.935732 9.252452
525.000000 530.000000 1.892530 1.888630 -0.000780 2.301952 9.452900
530.000000 535.000000 1.888630 1.851889 -0.007348 5.783195 9.351299
535.000000 540.000000 1.851889 1.743638 -0.021650 13.434814 8.988817
540.000000 545.000000 1.743638 1.845162 0.020305 -9.220961 8.971998
545.000000 550.000000 1.845162 1.795795 -0.009873 7.226090 9.102392
550.000000 555.000000 1.795795 1.767309 -0.005697 4.929266 8.907761
555.000000 560.000000 1.767309 1.680803 -0.017301 11.369513 8.620280
560.000000 565.000000 1.680803 1.628929 -0.010375 7.490629 8.274331
565.000000 570.000000 1.628929 1.584907 -0.008804 6.603457 8.034591
570.000000 575.000000 1.584907 1.609277 0.004874 -1.193222 7.985459
575.000000 580.000000 1.609277 1.585890 -0.004677 4.298722 7.987917
580.000000 585.000000 1.585890 1.529049 -0.011368 8.179439 7.787348
585.000000 590.000000 1.529049 1.376460 -0.030518 19.381964 7.263774
590.000000 595.000000 1.376460 1.430748 0.010858 -5.029501 7.018021
595.000000 600.000000 1.430748 1.416725 -0.002805 3.099523 7.118682
600.000000 605.000000 1.416725 1.348739 -0.013597 9.574956 6.913660
605.000000 610.000000 1.348739 1.276962 -0.014355 10.033773 6.564254
610.000000 615.000000 1.276962 1.257868 -0.003819 3.606470 6.337076
615.000000 620.000000 1.257868 1.227315 -0.006111 5.015884 6.212957
620.000000 625.000000 1.227315 1.156709 -0.014121 9.982501 5.960059
625.000000 630.000000 1.156709 1.142919 -0.002758 2.880461 5.749068
630.000000 635.000000 1.142919 1.095455 -0.009493 7.123392 5.595933
635.000000 640.000000 1.095455 1.073796 -0.004332 3.846035 5.423128
640.000000 645.000000 1.073796 1.055821 -0.003595 3.374668 5.324043
645.000000 650.000000 1.055821 0.971811 -0.016802 11.893057 5.069081
650.000000 655.000000 0.971811 0.911515 -0.012059 8.810287 4.708317
655.000000 660.000000 0.911515 0.919219 0.001541 -0.097607 4.576835
660.000000 665.000000 0.919219 0.892810 -0.005282 4.405183 4.530071
665.000000 670.000000 0.892810 0.843114 -0.009939 7.502367 4.339809
670.000000 675.000000 0.843114 0.803474 -0.007928 6.154793 4.116471
675.000000 680.000000 0.803474 0.781760 -0.004343 3.734882 3.963087
680.000000 685.000000 0.781760 0.753086 -0.005735 4.681516 3.837115
685.000000 690.000000 0.753086 0.728556 -0.004906 4.113580 3.704105
690.000000 695.000000 0.728556 0.662343 -0.013243 9.865996 3.477249
695.000000 700.000000 0.662343 0.181093 -0.096250 67.556101 2.108591
700.000000 705.000000 0.181093 0.010095 -0.034200 24.120863 0.477970
705.000000 710.000000 0.010095 0.000794 -0.001860 1.321537 0.027221
710.000000 715.000000 0.000794 0.000106 -0.000138 0.098450 0.002249
715.000000 720.000000 0.000106 0.000009 -0.000019 0.013979 0.000287
720.000000 725.000000 0.000009 0.000005 -0.000001 0.000530 0.000036
725.000000 730.000000 0.000005 0.000002 -0.000001 0.000565 0.000017
730.000000 735.000000 0.000002 0.000001 -0.000000 0.000114 0.000006
735.000000 740.000000 0.000001 0.000000 -0.000000 0.000107 0.000002
740.000000 745.000000 0.000000 -0.000006 -0.000001 0.000867 -0.000015
745.000000 750.000000 -0.000006 0.000005 0.000002 -0.001581 -0.000003
750.000000 755.000000 0.000005 -0.000006 -0.000002 0.001581 -0.000003
755.000000 760.000000 -0.000006 0.000001 0.000001 -0.000963 -0.000013
760.000000 765.000000 0.000001 0.000001 -0.000000 0.000004 0.000003
765.000000 770.000000 0.000001 -0.000001 -0.000000 0.000245 -0.000001
770.000000 775.000000 -0.000001 0.000001 0.000000 -0.000318 -0.000000
775.000000 780.000000 0.000001 0.000001 -0.000000 0.000002 0.000005
780.000000 785.000000 0.000001 0.000000 -0.000000 0.000084 0.000004
785.000000 790.000000 0.000000 0.000000 -0.000000 0.000006 0.000002
790.000000 795.000000 0.000000 0.000001 0.000000 -0.000126 0.000004
795.000000 800.000000 0.000001 -0.000001 -0.000000 0.000372 0.000000
800.000000 805.000000 -0.000001 0.000000 0.000000 -0.000181 -0.000003
805.000000 810.000000 0.000000 0.000004 0.000001 -0.000617 0.000010
810.000000 815.000000 0.000004 -0.000002 -0.000001 0.000954 0.000005
815.000000 820.000000 -0.000002 -0.000001 0.000000 -0.000188 -0.000007
820.000000 825.000000 -0.000001 -0.000001 0.000000 -0.000055 -0.000004
825.000000 830.000000 -0.000001 0.000001 0.000000 -0.000181 -0.000000
830.000000 835.000000 0.000001 -0.000001 -0.000000 0.000305 -0.000002
835.000000 840.000000 -0.000001 -0.000001 -0.000000 0.000022 -0.000007
840.000000 845.000000 -0.000001 -0.000002 -0.000000 0.000114 -0.000009
845.000000 850.000000 -0.000002 -0.000003 -0.000000 0.000105 -0.000012
850.000000 855.000000 -0.000003 -0.000001 0.000000 -0.000291 -0.000010
855.000000 860.000000 -0.000001 0.000002 0.000001 -0.000469 0.000002
860.000000 865.000000 0.000002 0.000001 -0.000000 0.000140 0.000006
865.000000 870.000000 0.000001 -0.000001 -0.000000 0.000407 -0.000001
870.000000 875.000000 -0.000001 0.000006 0.000001 -0.001303 0.000011
875.000000 880.000000 0.000006 0.000003 -0.000001 0.000609 0.000021
880.000000 885.000000 0.000003 0.000012 0.000002 -0.001686 0.000037
885.000000 890.000000 0.000012 -0.000004 -0.000003 0.002910 0.000020
890.000000 895.000000 -0.000004 0.000002 0.000001 -0.001086 -0.000006
895.000000 900.000000 0.000002 -0.000013 -0.000003 0.002747 -0.000029
900.000000 905.000000 -0.000013 -0.000001 0.000003 -0.002342 -0.000035
905.000000 910.000000 -0.000001 0.000001 0.000000 -0.000272 0.000001
910.000000 915.000000 0.000001 -0.000002 -0.000001 0.000579 -0.000003
915.000000 920.000000 -0.000002 0.000008 0.000002 -0.001871 0.000014
920.000000 925.000000 0.000008 0.000001 -0.000001 0.001338 0.000022
925.000000 930.000000 0.000001 0.000006 0.000001 -0.000950 0.000017
930.000000 935.000000 0.000006 -0.000000 -0.000001 0.001160 0.000014
935.000000 940.000000 -0.000000 0.000002 0.000000 -0.000455 0.000005
940.000000 945.000000 0.000002 0.000002 -0.000000 0.000095 0.000009
945.000000 950.000000 0.000002 -0.000000 -0.000000 0.000361 0.000003
