#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
375.000000 380.000000 -0.000000 0.000000 0.000000 -0.000045 -0.000000
380.000000 385.000000 0.000000 -0.000000 -0.000000 0.000040 -0.000000
385.000000 390.000000 -0.000000 -0.000002 -0.000000 0.000127 -0.000006
390.000000 395.000000 -0.000002 -0.000001 0.000000 -0.000098 -0.000007
395.000000 400.000000 -0.000001 0.000000 0.000000 -0.000057 -0.000002
400.000000 405.000000 0.000000 -0.000001 -0.000000 0.000113 -0.000004
405.000000 410.000000 -0.000001 0.000002 0.000001 -0.000285 0.000002
410.000000 415.000000 0.000002 0.000001 -0.000000 0.000059 0.000009
415.000000 420.000000 0.000001 -0.000000 -0.000000 0.000137 0.000003
420.000000 425.000000 -0.000000 -0.000002 -0.000000 0.000152 -0.000006
425.000000 430.000000 -0.000002 0.000004 0.000001 -0.000475 0.000004
430.000000 435.000000 0.000004 0.000004 0.000000 -0.000053 0.000019
435.000000 440.000000 0.000004 0.000041 0.000007 -0.003196 0.000113
440.000000 445.000000 0.000041 0.003424 0.000677 -0.297695 0.008663
445.000000 450.000000 0.003424 0.035106 0.006336 -2.816254 0.096326
450.000000 455.000000 0.035106 0.034131 -0.000195 0.122836 0.173094
455.000000 460.000000 0.034131 0.030937 -0.000639 0.324775 0.162672
460.000000 465.000000 0.030937 0.029579 -0.000272 0.155956 0.151290
465.000000 470.000000 0.029579 0.029700 0.000024 0.018268 0.148197
470.000000 475.000000 0.029700 0.031874 0.000435 -0.174656 0.153936
475.000000 480.000000 0.031874 0.033333 0.000292 -0.106671 0.163017
480.000000 485.000000 0.033333 0.032139 -0.000239 0.147907 0.163679
485.000000 490.000000 0.032139 0.029388 -0.000550 0.298990 0.153818
490.000000 495.000000 0.029388 0.027822 -0.000313 0.182853 0.143025
495.000000 500.000000 0.027822 0.026969 -0.000171 0.112256 0.136978
500.000000 505.000000 0.026969 0.025722 -0.000250 0.151720 0.131727
505.000000 510.000000 0.025722 0.027072 0.000270 -0.110652 0.131984
510.000000 515.000000 0.027072 0.034748 0.001535 -0.755922 0.154551
515.000000 520.000000 0.034748 0.047188 0.002488 -1.246570 0.204842
520.000000 525.000000 0.047188 0.058969 0.002356 -1.178051 0.265394
525.000000 530.000000 0.058969 0.060739 0.000354 -0.126793 0.299270
530.000000 535.000000 0.060739 0.048067 -0.002534 1.403884 0.272015
535.000000 540.000000 0.048067 0.032098 -0.003194 1.756745 0.200415
540.000000 545.000000 0.032098 0.019912 -0.002437 1.348203 0.130027
545.000000 550.000000 0.019912 0.014293 -0.001124 0.632467 0.085512
550.000000 555.000000 0.014293 0.012943 -0.000270 0.162748 0.068089
555.000000 560.000000 0.012943 0.015582 0.000528 -0.279953 0.071312
560.000000 565.000000 0.015582 0.025529 0.001989 -1.098523 0.102777
565.000000 570.000000 0.025529 0.056490 0.006192 -3.473104 0.205049
570.000000 575.000000 0.056490 0.162096 0.021121 -11.982573 0.546466
575.000000 580.000000 0.162096 0.427903 0.053161 -30.405710 1.474999
580.000000 585.000000 0.427903 0.736740 0.061767 -35.397143 2.911608
585.000000 590.000000 0.736740 0.906738 0.034000 -19.153090 4.108695
590.000000 595.000000 0.906738 0.977402 0.014133 -7.431590 4.710351
595.000000 600.000000 0.977402 0.995791 0.003678 -1.210913 4.932984
600.000000 605.000000 0.995791 0.996489 0.000139 0.912122 4.980700
605.000000 610.000000 0.996489 1.000000 0.000702 0.571611 4.991222
610.000000 615.000000 1.000000 0.969342 -0.006132 4.740327 4.923354
615.000000 620.000000 0.969342 0.932567 -0.007355 5.492610 4.754772
620.000000 625.000000 0.932567 0.933289 0.000144 0.843042 4.664640
625.000000 630.000000 0.933289 0.913695 -0.003919 3.382586 4.617459
630.000000 635.000000 0.913695 0.884236 -0.005892 4.625489 4.494827
635.000000 640.000000 0.884236 0.878263 -0.001195 1.642764 4.406248
640.000000 645.000000 0.878263 0.850956 -0.005461 4.373586 4.323048
645.000000 650.000000 0.850956 0.808405 -0.008510 6.340012 4.148403
650.000000 655.000000 0.808405 0.799899 -0.001701 1.914203 4.020761
655.000000 660.000000 0.799899 0.790931 -0.001794 1.974745 3.977075
660.000000 665.000000 0.790931 0.756950 -0.006796 5.276376 3.869703
665.000000 670.000000 0.756950 0.734639 -0.004462 3.724328 3.728973
670.000000 675.000000 0.734639 0.722825 -0.002363 2.317700 3.643661
675.000000 680.000000 0.722825 0.692703 -0.006024 4.789258 3.538822
680.000000 685.000000 0.692703 0.661054 -0.006330 4.996974 3.384395
685.000000 690.000000 0.661054 0.646578 -0.002895 2.644255 3.269082
690.000000 695.000000 0.646578 0.613603 -0.006595 5.197179 3.150454
695.000000 700.000000 0.613603 0.172950 -0.088131 61.864420 1.966382
700.000000 705.000000 0.172950 0.009322 -0.032726 23.080889 0.455679
705.000000 710.000000 0.009322 0.000742 -0.001716 1.219046 0.025159
710.000000 715.000000 0.000742 0.000103 -0.000128 0.091475 0.002113
715.000000 720.000000 0.000103 0.000009 -0.000019 0.013529 0.000281
720.000000 725.000000 0.000009 0.000005 -0.000001 0.000554 0.000036
725.000000 730.000000 0.000005 0.000002 -0.000001 0.000564 0.000017
730.000000 735.000000 0.000002 0.000001 -0.000000 0.000116 0.000006
735.000000 740.000000 0.000001 0.000000 -0.000000 0.000110 0.000002
740.000000 745.000000 0.000000 -0.000006 -0.000001 0.000922 -0.000016
745.000000 750.000000 -0.000006 0.000005 0.000002 -0.001703 -0.000003
750.000000 755.000000 0.000005 -0.000006 -0.000002 0.001746 -0.000003
755.000000 760.000000 -0.000006 0.000001 0.000001 -0.001073 -0.000015
760.000000 765.000000 0.000001 0.000001 -0.000000 0.000004 0.000003
765.000000 770.000000 0.000001 -0.000001 -0.000000 0.000278 -0.000001
770.000000 775.000000 -0.000001 0.000001 0.000000 -0.000360 -0.000000
775.000000 780.000000 0.000001 0.000001 -0.000000 0.000004 0.000006
780.000000 785.000000 0.000001 0.000001 -0.000000 0.000094 0.000004
785.000000 790.000000 0.000001 0.000000 -0.000000 0.000004 0.000003
790.000000 795.000000 0.000000 0.000001 0.000000 -0.000156 0.000005
795.000000 800.000000 0.000001 -0.000001 -0.000001 0.000450 0.000000
800.000000 805.000000 -0.000001 0.000000 0.000000 -0.000217 -0.000003
805.000000 810.000000 0.000000 0.000005 0.000001 -0.000740 0.000012
810.000000 815.000000 0.000005 -0.000002 -0.000001 0.001144 0.000005
815.000000 820.000000 -0.000002 -0.000001 0.000000 -0.000214 -0.000009
820.000000 825.000000 -0.000001 -0.000001 0.000000 -0.000068 -0.000005
825.000000 830.000000 -0.000001 0.000001 0.000000 -0.000234 -0.000000
830.000000 835.000000 0.000001 -0.000002 -0.000000 0.000383 -0.000002
835.000000 840.000000 -0.000002 -0.000002 -0.000000 0.000029 -0.000009
840.000000 845.000000 -0.000002 -0.000003 -0.000000 0.000150 -0.000011
845.000000 850.000000 -0.000003 -0.000004 -0.000000 0.000155 -0.000016
850.000000 855.000000 -0.000004 -0.000002 0.000000 -0.000348 -0.000013
855.000000 860.000000 -0.000002 0.000002 0.000001 -0.000666 0.000002
860.000000 865.000000 0.000002 0.000001 -0.000000 0.000185 0.000009
865.000000 870.000000 0.000001 -0.000002 -0.000001 0.000551 -0.000002
870.000000 875.000000 -0.000002 0.000008 0.000002 -0.001709 0.000015
875.000000 880.000000 0.000008 0.000003 -0.000001 0.000775 0.000028
880.000000 885.000000 0.000003 0.000016 0.000003 -0.002267 0.000050
885.000000 890.000000 0.000016 -0.000006 -0.000004 0.003970 0.000026
890.000000 895.000000 -0.000006 0.000003 0.000002 -0.001558 -0.000008
895.000000 900.000000 0.000003 -0.000021 -0.000005 0.004177 -0.000045
900.000000 905.000000 -0.000021 -0.000001 0.000004 -0.003577 -0.000053
905.000000 910.000000 -0.000001 0.000001 0.000000 -0.000420 0.000002
910.000000 915.000000 0.000001 -0.000003 -0.000001 0.000881 -0.000005
915.000000 920.000000 -0.000003 0.000012 0.000003 -0.002896 0.000023
920.000000 925.000000 0.000012 0.000001 -0.000002 0.002082 0.000034
925.000000 930.000000 0.000001 0.000009 0.000002 -0.001491 0.000026
930.000000 935.000000 0.000009 -0.000000 -0.000002 0.001825 0.000022
935.000000 940.000000 -0.000000 0.000003 0.000001 -0.000732 0.000007
940.000000 945.000000 0.000003 0.000003 -0.000000 0.000155 0.000015
945.000000 950.000000 0.000003 -0.000000 -0.000001 0.000584 0.000006
