#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
375.000000 380.000000 -0.000000 0.000000 0.000000 -0.000048 -0.000000
380.000000 385.000000 0.000000 -0.000000 -0.000000 0.000042 -0.000000
385.000000 390.000000 -0.000000 -0.000002 -0.000000 0.000161 -0.000007
390.000000 395.000000 -0.000002 -0.000001 0.000000 -0.000119 -0.000008
395.000000 400.000000 -0.000001 0.000000 0.000000 -0.000071 -0.000002
400.000000 405.000000 0.000000 -0.000002 -0.000000 0.000185 -0.000006
405.000000 410.000000 -0.000002 0.000003 0.000001 -0.000460 0.000003
410.000000 415.000000 0.000003 0.000002 -0.000000 0.000079 0.000014
415.000000 420.000000 0.000002 -0.000000 -0.000001 0.000237 0.000005
420.000000 425.000000 -0.000000 -0.000004 -0.000001 0.000264 -0.000010
425.000000 430.000000 -0.000004 0.000005 0.000002 -0.000695 0.000003
430.000000 435.000000 0.000005 0.000007 0.000000 -0.000210 0.000029
435.000000 440.000000 0.000007 0.000073 0.000013 -0.005687 0.000199
440.000000 445.000000 0.000073 0.006503 0.001286 -0.565789 0.016438
445.000000 450.000000 0.006503 0.073284 0.013356 -5.937024 0.199467
450.000000 455.000000 0.073284 0.068553 -0.000946 0.499093 0.354592
455.000000 460.000000 0.068553 0.062695 -0.001172 0.601634 0.328119
460.000000 465.000000 0.062695 0.059482 -0.000642 0.358223 0.305443
465.000000 470.000000 0.059482 0.057485 -0.000400 0.245277 0.292418
470.000000 475.000000 0.057485 0.064880 0.001479 -0.637664 0.305911
475.000000 480.000000 0.064880 0.068582 0.000740 -0.286793 0.333654
480.000000 485.000000 0.068582 0.061112 -0.001494 0.785633 0.324235
485.000000 490.000000 0.061112 0.058350 -0.000553 0.329076 0.298656
490.000000 495.000000 0.058350 0.055477 -0.000575 0.339878 0.284568
495.000000 500.000000 0.055477 0.051659 -0.000764 0.433430 0.267841
500.000000 505.000000 0.051659 0.049720 -0.000388 0.245607 0.253449
505.000000 510.000000 0.049720 0.052344 0.000525 -0.215258 0.255159
510.000000 515.000000 0.052344 0.065640 0.002659 -1.303853 0.294958
515.000000 520.000000 0.065640 0.086425 0.004157 -2.075298 0.380162
520.000000 525.000000 0.086425 0.114755 0.005666 -2.859809 0.502950
525.000000 530.000000 0.114755 0.117651 0.000579 -0.189340 0.581013
530.000000 535.000000 0.117651 0.092578 -0.005015 2.775369 0.525571
535.000000 540.000000 0.092578 0.057874 -0.006941 3.805939 0.376129
540.000000 545.000000 0.057874 0.037674 -0.004040 2.239413 0.238869
545.000000 550.000000 0.037674 0.026877 -0.002159 1.214544 0.161378
550.000000 555.000000 0.026877 0.024585 -0.000458 0.278997 0.128656
555.000000 560.000000 0.024585 0.028475 0.000778 -0.407242 0.132652
560.000000 565.000000 0.028475 0.046667 0.003638 -2.008981 0.187856
565.000000 570.000000 0.046667 0.102643 0.011195 -6.278617 0.373275
570.000000 575.000000 0.102643 0.299959 0.039463 -22.391380 1.006505
575.000000 580.000000 0.299959 0.785202 0.097049 -55.503029 2.712904
580.000000 585.000000 0.785202 1.343813 0.111722 -64.013678 5.322540
585.000000 590.000000 1.343813 1.554603 0.042158 -23.318558 7.246041
590.000000 595.000000 1.554603 1.740265 0.037132 -20.353469 8.237169
595.000000 600.000000 1.740265 1.755082 0.002964 -0.023046 8.738367
600.000000 605.000000 1.755082 1.766276 0.002239 0.411828 8.803396
605.000000 610.000000 1.766276 1.725500 -0.008155 6.700181 8.729440
610.000000 615.000000 1.725500 1.662421 -0.012616 9.421161 8.469802
615.000000 620.000000 1.662421 1.606347 -0.011215 8.559533 8.171919
620.000000 625.000000 1.606347 1.536194 -0.014031 10.305319 7.856351
625.000000 630.000000 1.536194 1.522520 -0.002735 3.245429 7.646784
630.000000 635.000000 1.522520 1.466063 -0.011291 8.636055 7.471458
635.000000 640.000000 1.466063 1.435521 -0.006108 5.344880 7.253961
640.000000 645.000000 1.435521 1.386207 -0.009863 7.747700 7.054322
645.000000 650.000000 1.386207 1.280514 -0.021139 15.020672 6.666803
650.000000 655.000000 1.280514 1.227045 -0.010694 8.231442 6.268898
655.000000 660.000000 1.227045 1.235434 0.001678 0.128125 6.156198
660.000000 665.000000 1.235434 1.182356 -0.010616 8.241700 6.044475
665.000000 670.000000 1.182356 1.126202 -0.011231 8.650904 5.771395
670.000000 675.000000 1.126202 1.092912 -0.006658 5.587064 5.547783
675.000000 680.000000 1.092912 1.036977 -0.011187 8.644083 5.324722
680.000000 685.000000 1.036977 0.963156 -0.014764 11.076606 5.000333
685.000000 690.000000 0.963156 0.941742 -0.004283 3.896971 4.762245
690.000000 695.000000 0.941742 0.882361 -0.011876 9.136219 4.560257
695.000000 700.000000 0.882361 0.243427 -0.127787 89.694256 2.814470
700.000000 705.000000 0.243427 0.013209 -0.046044 32.473954 0.641589
705.000000 710.000000 0.013209 0.001029 -0.002436 1.730579 0.035594
710.000000 715.000000 0.001029 0.000141 -0.000178 0.127100 0.002925
715.000000 720.000000 0.000141 0.000012 -0.000026 0.018557 0.000383
720.000000 725.000000 0.000012 0.000007 -0.000001 0.000722 0.000049
725.000000 730.000000 0.000007 0.000002 -0.000001 0.000769 0.000023
730.000000 735.000000 0.000002 0.000001 -0.000000 0.000155 0.000008
735.000000 740.000000 0.000001 0.000000 -0.000000 0.000144 0.000002
740.000000 745.000000 0.000000 -0.000008 -0.000002 0.001180 -0.000020
745.000000 750.000000 -0.000008 0.000007 0.000003 -0.002170 -0.000004
750.000000 755.000000 0.000007 -0.000008 -0.000003 0.002201 -0.000004
755.000000 760.000000 -0.000008 0.000001 0.000002 -0.001346 -0.000018
760.000000 765.000000 0.000001 0.000001 -0.000000 0.000006 0.000004
765.000000 770.000000 0.000001 -0.000001 -0.000000 0.000337 -0.000002
770.000000 775.000000 -0.000001 0.000001 0.000001 -0.000431 -0.000000
775.000000 780.000000 0.000001 0.000001 -0.000000 0.000005 0.000007
780.000000 785.000000 0.000001 0.000001 -0.000000 0.000112 0.000005
785.000000 790.000000 0.000001 0.000001 -0.000000 0.000005 0.000003
790.000000 795.000000 0.000001 0.000002 0.000000 -0.000175 0.000006
795.000000 800.000000 0.000002 -0.000002 -0.000001 0.000512 0.000000
800.000000 805.000000 -0.000002 0.000000 0.000000 -0.000247 -0.000004
805.000000 810.000000 0.000000 0.000005 0.000001 -0.000818 0.000013
810.000000 815.000000 0.000005 -0.000003 -0.000002 0.001266 0.000006
815.000000 820.000000 -0.000003 -0.000001 0.000000 -0.000244 -0.000010
820.000000 825.000000 -0.000001 -0.000001 0.000000 -0.000072 -0.000005
825.000000 830.000000 -0.000001 0.000001 0.000000 -0.000251 -0.000000
830.000000 835.000000 0.000001 -0.000002 -0.000000 0.000406 -0.000002
835.000000 840.000000 -0.000002 -0.000002 -0.000000 0.000028 -0.000009
840.000000 845.000000 -0.000002 -0.000003 -0.000000 0.000152 -0.000012
845.000000 850.000000 -0.000003 -0.000004 -0.000000 0.000132 -0.000016
850.000000 855.000000 -0.000004 -0.000001 0.000000 -0.000373 -0.000013
855.000000 860.000000 -0.000001 0.000002 0.000001 -0.000631 0.000002
860.000000 865.000000 0.000002 0.000001 -0.000000 0.000190 0.000009
865.000000 870.000000 0.000001 -0.000002 -0.000001 0.000537 -0.000002
870.000000 875.000000 -0.000002 0.000008 0.000002 -0.001676 0.000014
875.000000 880.000000 0.000008 0.000003 -0.000001 0.000774 0.000028
