#scaled trapazoidal data for referencedata.txt.txt
# startwidth 		endwidth 		startheight 		endheight 		slope 			y-intercept 			area
3.000000000000000000e+02 3.050000000000000000e+02 5.610320678784002507e-02 5.888320678784002976e-02 5.560000000000009379e-04 -1.106967932121602494e-01 2.874660339392001163e-01
3.050000000000000000e+02 3.100000000000000000e+02 5.888320678784002976e-02 6.006320678784003025e-02 2.360000000000000986e-04 -1.309679321216000031e-02 2.973660339392001362e-01
3.100000000000000000e+02 3.150000000000000000e+02 6.006320678784003025e-02 6.141320678784003423e-02 2.700000000000008166e-04 -2.363679321216021617e-02 3.036910339392001612e-01
3.150000000000000000e+02 3.200000000000000000e+02 6.141320678784003423e-02 6.266320678784004228e-02 2.500000000000016315e-04 -1.733679321216047287e-02 3.101910339392002225e-01
3.200000000000000000e+02 3.250000000000000000e+02 6.266320678784004228e-02 6.420320678784002810e-02 3.079999999999971866e-04 -3.589679321215906438e-02 3.171660339392001760e-01
3.250000000000000000e+02 3.300000000000000000e+02 6.420320678784002810e-02 6.579320678784003618e-02 3.180000000000016039e-04 -3.914679321216049668e-02 3.249910339392001468e-01
3.300000000000000000e+02 3.350000000000000000e+02 6.579320678784003618e-02 6.692320678784002830e-02 2.259999999999984190e-04 -8.786793212159443867e-03 3.317910339392001751e-01
3.350000000000000000e+02 3.400000000000000000e+02 6.692320678784002830e-02 6.837320678784003514e-02 2.900000000000013570e-04 -3.022679321216042991e-02 3.382410339392001308e-01
3.400000000000000000e+02 3.450000000000000000e+02 6.837320678784003514e-02 7.004320678784003995e-02 3.340000000000009628e-04 -4.518679321216029221e-02 3.460410339392001600e-01
3.450000000000000000e+02 3.500000000000000000e+02 7.004320678784003995e-02 7.171320678784004476e-02 3.340000000000009628e-04 -4.518679321216029221e-02 3.543910339392002395e-01
3.500000000000000000e+02 3.550000000000000000e+02 7.171320678784004476e-02 7.310320678784001935e-02 2.779999999999949395e-04 -2.558679321215819036e-02 3.620410339392001742e-01
3.550000000000000000e+02 3.600000000000000000e+02 7.310320678784001935e-02 7.448320678784003945e-02 2.760000000000039982e-04 -2.487679321216139383e-02 3.689660339392001331e-01
3.600000000000000000e+02 3.650000000000000000e+02 7.448320678784003945e-02 7.638320678784002449e-02 3.799999999999969852e-04 -6.231679321215888301e-02 3.771660339392001737e-01
3.650000000000000000e+02 3.700000000000000000e+02 7.638320678784002449e-02 7.800320678784003481e-02 3.240000000000020750e-04 -4.187679321216072892e-02 3.859660339392001482e-01
3.700000000000000000e+02 3.750000000000000000e+02 7.800320678784003481e-02 7.961320678784003513e-02 3.220000000000000748e-04 -4.113679321215998885e-02 3.940410339392002026e-01
3.750000000000000000e+02 3.800000000000000000e+02 7.961320678784003513e-02 8.111320678784003646e-02 3.000000000000002448e-04 -3.288679321216005091e-02 4.018160339392001790e-01
3.800000000000000000e+02 3.850000000000000000e+02 8.111320678784003646e-02 8.270320678784004453e-02 3.180000000000016039e-04 -3.972679321216057713e-02 4.095410339392002164e-01
3.850000000000000000e+02 3.900000000000000000e+02 8.270320678784004453e-02 8.420320678784001811e-02 2.999999999999947153e-04 -3.279679321215792087e-02 4.172660339392001427e-01
3.900000000000000000e+02 3.950000000000000000e+02 8.420320678784001811e-02 8.577320678784003394e-02 3.140000000000031872e-04 -3.825679321216123030e-02 4.249410339392001301e-01
3.950000000000000000e+02 4.000000000000000000e+02 8.577320678784003394e-02 8.687320678784002381e-02 2.199999999999979750e-04 -1.126793212159166169e-03 4.316160339392001166e-01
4.000000000000000000e+02 4.050000000000000000e+02 8.687320678784002381e-02 8.867320678784001986e-02 3.599999999999992095e-04 -5.712679321215966000e-02 4.388660339392000953e-01
4.050000000000000000e+02 4.100000000000000000e+02 8.867320678784001986e-02 9.010320678784003445e-02 2.860000000000029402e-04 -2.715679321216117603e-02 4.469410339392001497e-01
4.100000000000000000e+02 4.150000000000000000e+02 9.010320678784003445e-02 9.152320678784003904e-02 2.840000000000009401e-04 -2.633679321216035596e-02 4.540660339392001976e-01
4.150000000000000000e+02 4.200000000000000000e+02 9.152320678784003904e-02 9.257320678784003443e-02 2.099999999999990871e-04 4.373206787840422383e-03 4.602410339392001837e-01
4.200000000000000000e+02 4.250000000000000000e+02 9.257320678784003443e-02 9.431320678784002598e-02 3.479999999999983215e-04 -5.358679321215925606e-02 4.672160339392001371e-01
4.250000000000000000e+02 4.300000000000000000e+02 9.431320678784002598e-02 9.568320678784003608e-02 2.740000000000019980e-04 -2.213679321216081852e-02 4.749910339392001690e-01
4.300000000000000000e+02 4.350000000000000000e+02 9.568320678784003608e-02 9.701320678784003393e-02 2.659999999999995810e-04 -1.869679321215977907e-02 4.817410339392002028e-01
4.350000000000000000e+02 4.400000000000000000e+02 9.701320678784003393e-02 9.828320678784002729e-02 2.539999999999986930e-04 -1.347679321215940196e-02 4.882410339392001530e-01
4.400000000000000000e+02 4.450000000000000000e+02 9.828320678784002729e-02 9.962320678784003514e-02 2.680000000000015811e-04 -1.963679321216066365e-02 4.947660339392001561e-01
4.450000000000000000e+02 4.500000000000000000e+02 9.962320678784003514e-02 1.009632067878400430e-01 2.680000000000015811e-04 -1.963679321216066365e-02 5.014660339392001953e-01
4.500000000000000000e+02 4.550000000000000000e+02 1.009632067878400430e-01 1.026932067878400245e-01 3.459999999999963213e-04 -5.473679321215829674e-02 5.091410339392001827e-01
4.550000000000000000e+02 4.600000000000000000e+02 1.026932067878400245e-01 1.036032067878400187e-01 1.819999999999988402e-04 1.988320678784055717e-02 5.157410339392001219e-01
4.600000000000000000e+02 4.650000000000000000e+02 1.036032067878400187e-01 1.048432067878400376e-01 2.480000000000037513e-04 -1.047679321216170301e-02 5.211160339392001406e-01
4.650000000000000000e+02 4.700000000000000000e+02 1.048432067878400376e-01 1.063032067878400266e-01 2.919999999999978277e-04 -3.093679321215894729e-02 5.278660339392001744e-01
4.700000000000000000e+02 4.750000000000000000e+02 1.063032067878400266e-01 1.078832067878400247e-01 3.159999999999996037e-04 -4.221679321215979219e-02 5.354660339392001145e-01
4.750000000000000000e+02 4.800000000000000000e+02 1.078832067878400247e-01 1.091832067878400481e-01 2.600000000000046935e-04 -1.561679321216220828e-02 5.426660339392002097e-01
4.800000000000000000e+02 4.850000000000000000e+02 1.091832067878400481e-01 1.104332067878400492e-01 2.500000000000002220e-04 -1.081679321216005851e-02 5.490410339392002292e-01
4.850000000000000000e+02 4.900000000000000000e+02 1.104332067878400492e-01 1.115432067878400491e-01 2.219999999999999751e-04 2.763206787840061240e-03 5.549410339392002456e-01
4.900000000000000000e+02 4.950000000000000000e+02 1.115432067878400491e-01 1.127532067878400379e-01 2.419999999999977779e-04 -7.036793212158859445e-03 5.607410339392002729e-01
4.950000000000000000e+02 5.000000000000000000e+02 1.127532067878400379e-01 1.140532067878400335e-01 2.599999999999991099e-04 -1.594679321215952683e-02 5.670160339392001925e-01
5.000000000000000000e+02 5.050000000000000000e+02 1.140532067878400335e-01 1.152032067878400456e-01 2.300000000000024193e-04 -9.467932121611788432e-04 5.731410339392002395e-01
5.050000000000000000e+02 5.100000000000000000e+02 1.152032067878400456e-01 1.162732067878400333e-01 2.139999999999975310e-04 7.133206787841295249e-03 5.786910339392001834e-01
