#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -4.436199853965310063e-07 3.495365229043646651e-07 1.586313016601791131e-07 -5.993035810796369677e-05 9.499999988909501099e+02
3.800000000000000000e+02 3.850000000000000000e+02 3.495365229043646651e-07 -4.253117412388590069e-07 -1.549696528286447344e-07 5.923800459778936421e-05 9.625000008738413726e+02
3.850000000000000000e+02 3.900000000000000000e+02 -4.253117412388590069e-07 -4.154205667092298942e-06 -7.457787851706879765e-07 2.866995205494759884e-04 9.749999989367206581e+02
3.900000000000000000e+02 3.950000000000000000e+02 -4.154205667092298942e-06 -1.857198143082244696e-06 4.594015048020108703e-07 -1.833207925398765538e-04 9.874999896144857985e+02
3.950000000000000000e+02 4.000000000000000000e+02 -1.857198143082244696e-06 9.468458751267588745e-09 3.733333203667024746e-07 -1.493238596879297375e-04 9.999999953570046500e+02
4.000000000000000000e+02 4.050000000000000000e+02 9.468458751267588745e-09 -6.578138883113783926e-06 -1.317521468373010268e-06 5.270180558079553450e-04 1.012500000023671191e+03
4.050000000000000000e+02 4.100000000000000000e+02 -6.578138883113783926e-06 1.152180967951478895e-05 3.619989712525714829e-06 -1.472673972456028327e-03 1.024999983554652772e+03
4.100000000000000000e+02 4.150000000000000000e+02 1.152180967951478895e-05 1.002239448928725490e-05 -2.998830380455068102e-07 1.344738552781725828e-04 1.037500028804524163e+03
4.150000000000000000e+02 4.200000000000000000e+02 1.002239448928725490e-05 -2.004931278659532276e-06 -2.405465153589357265e-06 1.008290433228870540e-03 1.050000025055986043e+03
4.200000000000000000e+02 4.250000000000000000e+02 -2.004931278659532276e-06 -2.124192663226018302e-05 -3.847399070720130487e-06 1.613902678423795181e-03 1.062499994987671926e+03
4.250000000000000000e+02 4.300000000000000000e+02 -2.124192663226018302e-05 3.268490637488583115e-05 1.078536660142920216e-05 -4.605022732239671089e-03 1.074999946895183484e+03
4.300000000000000000e+02 4.350000000000000000e+02 3.268490637488583115e-05 5.979272990209552369e-05 5.421564705441938677e-06 -2.298587916965147415e-03 1.087500081712265910e+03
4.350000000000000000e+02 4.400000000000000000e+02 5.979272990209552369e-05 7.247351885779593520e-04 1.329884917351727711e-04 -5.779020117489806069e-02 1.100000149481824792e+03
4.400000000000000000e+02 4.450000000000000000e+02 7.247351885779593520e-04 7.746997358186175076e-02 1.534904767865675687e-02 -6.752856243420394478e+00 1.112501811837971445e+03
4.450000000000000000e+02 4.500000000000000000e+02 7.746997358186175076e-02 1.056362368886478276e+00 1.957784790609232994e-01 -8.704395320852900397e+01 1.125193674933954753e+03
4.500000000000000000e+02 4.550000000000000000e+02 1.056362368886478276e+00 1.163750636650495052e+00 2.147765355280335450e-02 -8.608581729875032451e+00 1.140140905922216234e+03
4.550000000000000000e+02 4.600000000000000000e+02 1.163750636650495052e+00 1.194606707962081016e+00 6.171214262317192660e-03 -1.644151852703827688e+00 1.152909376591626142e+03
4.600000000000000000e+02 4.650000000000000000e+02 1.194606707962081016e+00 1.212015957690123491e+00 3.481849945608495121e-03 -4.070442670178266997e-01 1.165486516769905165e+03
4.650000000000000000e+02 4.700000000000000000e+02 1.212015957690123491e+00 1.190323628970230363e+00 -4.338465743978625784e-03 3.229402528640184400e+00 1.178030039894225411e+03
