#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -1.160100004946204339e-07 7.920460481442350857e-08 3.904292106180878717e-08 -1.475710539867291603e-05 9.499999997099748725e+02
3.800000000000000000e+02 3.850000000000000000e+02 7.920460481442350857e-08 -1.082997431391639045e-07 -3.750086959071748262e-08 1.432953504928706811e-05 9.625000001980115485e+02
3.850000000000000000e+02 3.900000000000000000e+02 -1.082997431391639045e-07 -8.209289128006862726e-07 -1.425258339323044604e-07 5.476414632079805412e-05 9.749999997292507032e+02
3.900000000000000000e+02 3.950000000000000000e+02 -8.209289128006862726e-07 -3.495463262266119820e-07 9.427651731481485546e-08 -3.758877066557847924e-05 9.874999979476776844e+02
3.950000000000000000e+02 4.000000000000000000e+02 -3.495463262266119820e-07 1.309191600770822107e-09 7.017110356547655181e-08 -2.806713223458984918e-05 9.999999991261341847e+02
4.000000000000000000e+02 4.050000000000000000e+02 1.309191600770822107e-09 -8.992263333868885704e-07 -1.801071049975318748e-07 7.204415119061351256e-05 1.012500000003273044e+03
4.050000000000000000e+02 4.100000000000000000e+02 -8.992263333868885704e-07 1.618926717863927344e-06 5.036306102501631406e-07 -2.048696234847029597e-04 1.024999997751934188e+03
4.100000000000000000e+02 4.150000000000000000e+02 1.618926717863927344e-06 1.350130233655937528e-06 -5.375929684159796057e-08 2.366023842291908993e-05 1.037500004047316907e+03
4.150000000000000000e+02 4.200000000000000000e+02 1.350130233655937528e-06 -2.796526197127156146e-07 -3.259565706737306286e-07 1.366221070632541302e-04 1.050000003375325605e+03
4.200000000000000000e+02 4.250000000000000000e+02 -2.796526197127156146e-07 -2.898505595807621710e-06 -5.237705952189812296e-07 2.197039973722594007e-04 1.062499999300868467e+03
4.250000000000000000e+02 4.300000000000000000e+02 -2.898505595807621710e-06 5.767051548303159251e-06 1.733111428822155938e-06 -7.394708628452239738e-04 1.074999992753736024e+03
4.300000000000000000e+02 4.350000000000000000e+02 5.767051548303159251e-06 8.355708521152881179e-06 5.177313945699444279e-07 -2.168574481167729240e-04 1.087500014417628790e+03
4.350000000000000000e+02 4.400000000000000000e+02 8.355708521152881179e-06 1.064946443388471302e-04 1.962778716353884981e-05 -8.529731707618247449e-03 1.100000020889271354e+03
4.400000000000000000e+02 4.450000000000000000e+02 1.064946443388471302e-04 1.195080725322163542e-02 2.368862521776557949e-03 -1.042193014937346618e+00 1.112500266236610969e+03
4.450000000000000000e+02 4.500000000000000000e+02 1.195080725322163542e-02 1.652114773253747781e-01 3.065213401443062785e-02 -1.362824882916840785e+01 1.125029877018132993e+03
4.500000000000000000e+02 4.550000000000000000e+02 1.652114773253747781e-01 1.995733766459676928e-01 6.872379864118582753e-03 -2.927359461527987428e+00 1.137913028693313436e+03
4.550000000000000000e+02 4.600000000000000000e+02 1.995733766459676928e-01 2.061462211899467434e-01 1.314568908795810207e-03 -3.985554768561259120e-01 1.150498933441615009e+03
