#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -2.068968781304553663e-07 2.107311920128161026e-07 8.352561402865429643e-08 -3.152900213887581675e-05 9.499999994827578575e+02
3.800000000000000000e+02 3.850000000000000000e+02 2.107311920128161026e-07 -3.948481745526103420e-07 -1.211158733130852942e-07 4.623476305098522923e-05 9.625000005268279892e+02
3.850000000000000000e+02 3.900000000000000000e+02 -3.948481745526103420e-07 -3.831349470395952482e-06 -6.873002591686684598e-07 2.642157516053847454e-04 9.749999990128794707e+02
3.900000000000000000e+02 3.950000000000000000e+02 -3.831349470395952482e-06 -1.933599146398979281e-06 3.795500647993946508e-07 -1.518558747421598664e-04 9.874999904216263076e+02
3.950000000000000000e+02 4.000000000000000000e+02 -1.933599146398979281e-06 7.865718375669385887e-09 3.882929729549296709e-07 -1.553093234635961992e-04 9.999999951660021225e+02
4.000000000000000000e+02 4.050000000000000000e+02 7.865718375669385887e-09 -5.878841971232412541e-06 -1.177341537921616259e-06 4.709444808870222017e-04 1.012500000019664299e+03
4.050000000000000000e+02 4.100000000000000000e+02 -5.878841971232412541e-06 1.103868387955954440e-05 3.383505170158391558e-06 -1.376198435885380876e-03 1.024999985302895084e+03
4.100000000000000000e+02 4.150000000000000000e+02 1.103868387955954440e-05 9.096178858047268258e-06 -3.885010043024552496e-07 1.703240956435661914e-04 1.037500027596709515e+03
4.150000000000000000e+02 4.200000000000000000e+02 9.096178858047268258e-06 -1.863184693564543716e-06 -2.191872710322362564e-06 9.187233536418277146e-04 1.050000022740447093e+03
4.200000000000000000e+02 4.250000000000000000e+02 -1.863184693564543716e-06 -2.031140792720061689e-05 -3.689644646727214805e-06 1.547787566931865724e-03 1.062499995342038346e+03
4.250000000000000000e+02 4.300000000000000000e+02 -2.031140792720061689e-05 4.233891410319788688e-05 1.253006440607969940e-05 -5.345588780511072516e-03 1.074999949221480165e+03
4.300000000000000000e+02 4.350000000000000000e+02 4.233891410319788688e-05 6.070161319495020688e-05 3.672539818350463916e-06 -1.536853207787501749e-03 1.087500105847285340e+03
4.350000000000000000e+02 4.400000000000000000e+02 6.070161319495020688e-05 7.110235017825213217e-04 1.300643777175142148e-04 -5.651730269392372941e-02 1.100000151754033141e+03
4.400000000000000000e+02 4.450000000000000000e+02 7.110235017825213217e-04 7.132406618050964042e-02 1.412260853574542376e-02 -6.213236732226204317e+00 1.112501777558754384e+03
4.450000000000000000e+02 4.500000000000000000e+02 7.132406618050964042e-02 8.781757058633535840e-01 1.613703279365687748e-01 -7.173847186559258660e+01 1.125178310165451421e+03
4.500000000000000000e+02 4.550000000000000000e+02 8.781757058633535840e-01 1.000000000000000000e+00 2.436485882732928460e-02 -1.008601076643482486e+01 1.139695439264658262e+03
4.550000000000000000e+02 4.600000000000000000e+02 1.000000000000000000e+00 1.012514247710023518e+00 2.502849542004703838e-03 -1.387965416121401674e-01 1.152500000000000000e+03
4.600000000000000000e+02 4.650000000000000000e+02 1.012514247710023518e+00 1.025527111231185673e+00 2.602572704232431096e-03 -1.846691962368947060e-01 1.165031285619275195e+03
4.650000000000000000e+02 4.700000000000000000e+02 1.025527111231185673e+00 1.029026264727590068e+00 6.998306992808788884e-04 7.001058360655769697e-01 1.177563817778077919e+03
4.700000000000000000e+02 4.750000000000000000e+02 1.029026264727590068e+00 1.016462577329603878e+00 -2.512737479597237922e-03 2.210012880138291891e+00 1.190072565661818999e+03
4.750000000000000000e+02 4.800000000000000000e+02 1.016462577329603878e+00 1.005321242408510951e+00 -2.228266984218585552e-03 2.074889394833431933e+00 1.202541156443324098e+03
4.800000000000000000e+02 4.850000000000000000e+02 1.005321242408510951e+00 9.638123987973497009e-01 -8.301768722232250736e-03 4.990170229079991415e+00 1.215013303106021340e+03
4.850000000000000000e+02 4.900000000000000000e+02 9.638123987973497009e-01 9.197999604695088482e-01 -8.802487665568171221e-03 5.233018916597912629e+00 1.227409530996993453e+03
4.900000000000000000e+02 4.950000000000000000e+02 9.197999604695088482e-01 8.613659765742085472e-01 -1.168679677906006055e-02 6.646330382208938126e+00 1.239799499901173704e+03
4.950000000000000000e+02 5.000000000000000000e+02 8.613659765742085472e-01 7.948148347672175928e-01 -1.331022836139819122e-02 7.449929015466313587e+00 1.252153414941435585e+03
5.000000000000000000e+02 5.050000000000000000e+02 7.948148347672175928e-01 7.070083897959910102e-01 -1.756128899424531584e-02 9.575459331889875969e+00 1.264487037086918008e+03
5.050000000000000000e+02 5.100000000000000000e+02 7.070083897959910102e-01 6.217757147486698832e-01 -1.704653500946422609e-02 9.315508569575426279e+00 1.276767520974490026e+03
5.100000000000000000e+02 5.150000000000000000e+02 6.217757147486698832e-01 5.392063411916299120e-01 -1.651387471140799285e-02 9.043851817566746831e+00 1.289054439286871684e+03
5.150000000000000000e+02 5.200000000000000000e+02 5.392063411916299120e-01 4.421135524071856948e-01 -1.941855775688884275e-02 1.053976358598938390e+01 1.301348015852979188e+03
5.200000000000000000e+02 5.250000000000000000e+02 4.421135524071856948e-01 3.570558445526318958e-01 -1.701154157091076119e-02 9.288115169280780847e+00 1.313605283881017840e+03
5.250000000000000000e+02 5.300000000000000000e+02 3.570558445526318958e-01 2.983357445184302570e-01 -1.174402000684032776e-02 6.522666348143804527e+00 1.325892639611381583e+03
5.300000000000000000e+02 5.350000000000000000e+02 2.983357445184302570e-01 2.533362325516292368e-01 -8.999902393360204381e-03 5.068284012999338728e+00 1.338245839361296021e+03
5.350000000000000000e+02 5.400000000000000000e+02 2.533362325516292368e-01 2.224595360074090866e-01 -6.175339308844030387e-03 3.557142762783185752e+00 1.350633340581379116e+03
5.400000000000000000e+02 5.450000000000000000e+02 2.224595360074090866e-01 1.914675843712901060e-01 -6.198390327223796473e-03 3.569590312708259550e+00 1.363056148840018523e+03
5.450000000000000000e+02 5.500000000000000000e+02 1.914675843712901060e-01 1.583397101674870744e-01 -6.625574840760606495e-03 3.802405872585820745e+00 1.375478668960928189e+03
5.500000000000000000e+02 5.550000000000000000e+02 1.583397101674870744e-01 1.245179362219779734e-01 -6.764354789101820545e-03 3.878734844173488572e+00 1.387895849275418868e+03
5.550000000000000000e+02 5.600000000000000000e+02 1.245179362219779734e-01 9.461114591041519528e-02 -5.981358062312555277e-03 3.444171660805446233e+00 1.400311294840555092e+03
5.600000000000000000e+02 5.650000000000000000e+02 9.461114591041519528e-02 7.353445592761347072e-02 -4.215337996560345087e-03 2.455200423984208236e+00 1.412736527864776235e+03
5.650000000000000000e+02 5.700000000000000000e+02 7.353445592761347072e-02 6.123826900987366928e-02 -2.459237383547960287e-03 1.463003577632211005e+00 1.425183836139819050e+03
5.700000000000000000e+02 5.750000000000000000e+02 6.123826900987366928e-02 5.492522740288136029e-02 -1.262608321398461797e-03 7.809250122069968381e-01 1.437653095672524614e+03
5.750000000000000000e+02 5.800000000000000000e+02 5.492522740288136029e-02 5.124270384193371775e-02 -7.365047121895285098e-04 4.784154369118602812e-01 1.450137313068507410e+03
5.800000000000000000e+02 5.850000000000000000e+02 5.124270384193371775e-02 4.747983212960798366e-02 -7.525743424651468389e-04 4.877358224717188717e-01 1.462628106759604862e+03
5.850000000000000000e+02 5.900000000000000000e+02 4.747983212960798366e-02 4.369570222864185144e-02 -7.568259801932264224e-04 4.902230305426454327e-01 1.475118699580324119e+03
5.900000000000000000e+02 5.950000000000000000e+02 4.369570222864185144e-02 4.038757156016725691e-02 -6.616261336949188620e-04 4.340551211086439709e-01 1.487609239255571538e+03
5.950000000000000000e+02 6.000000000000000000e+02 4.038757156016725691e-02 3.679722716051374298e-02 -7.180688799307028292e-04 4.676385551189354284e-01 1.500100968928900329e+03
6.000000000000000000e+02 6.050000000000000000e+02 3.679722716051374298e-02 3.352287114334489421e-02 -6.548712034337697335e-04 4.297199492207756100e-01 1.512591993067901285e+03
6.050000000000000000e+02 6.100000000000000000e+02 3.352287114334489421e-02 3.229538922171045628e-02 -2.454963843268875845e-04 1.820481836611118898e-01 1.525083807177858262e+03
6.100000000000000000e+02 6.150000000000000000e+02 3.229538922171045628e-02 3.209087218727075391e-02 -4.090340688794047306e-05 5.724646742335414568e-02 1.537580738473054453e+03
6.150000000000000000e+02 6.200000000000000000e+02 3.209087218727075391e-02 3.260096175741677288e-02 1.020179140292037879e-04 -3.065014494068957901e-02 1.550080227180468228e+03
6.200000000000000000e+02 6.250000000000000000e+02 3.260096175741677288e-02 3.554361014979394440e-02 5.885296784754343253e-04 -3.322874388973525162e-01 1.562581502404393632e+03
6.250000000000000000e+02 6.300000000000000000e+02 3.554361014979394440e-02 3.912154538088463696e-02 7.155870462181385333e-04 -4.116982937365426531e-01 1.575088859025374632e+03
6.300000000000000000e+02 6.350000000000000000e+02 3.912154538088463696e-02 4.363308171974764754e-02 9.023072677726021390e-04 -5.293320333158546553e-01 1.587597803863452327e+03
6.350000000000000000e+02 6.400000000000000000e+02 4.363308171974764754e-02 5.042222557528527882e-02 1.357828771107526299e-03 -8.185881879335314970e-01 1.600109082704299453e+03
6.400000000000000000e+02 6.450000000000000000e+02 5.042222557528527882e-02 5.649109882550470280e-02 1.213774650043884752e-03 -7.263935504528009623e-01 1.612626055563938280e+03
6.450000000000000000e+02 6.500000000000000000e+02 5.649109882550470280e-02 6.344320625709468087e-02 1.390421486317995614e-03 -8.403307598496024822e-01 1.625141227747063795e+03
6.500000000000000000e+02 6.550000000000000000e+02 6.344320625709468087e-02 7.179345426309870215e-02 1.670049601200804257e-03 -1.022089034523428142e+00 1.637658608015642812e+03
6.550000000000000000e+02 6.600000000000000000e+02 7.179345426309870215e-02 8.012756487057376420e-02 1.666822121495012497e-03 -1.019975035316134537e+00 1.650179483635657789e+03
6.600000000000000000e+02 6.650000000000000000e+02 8.012756487057376420e-02 8.495009203763079220e-02 9.645054334114055560e-04 -5.564460211809538759e-01 1.662700318912176499e+03
6.650000000000000000e+02 6.700000000000000000e+02 8.495009203763079220e-02 8.769032255265174491e-02 5.480461030041905218e-04 -2.795005664601559192e-01 1.675212375230094040e+03
6.700000000000000000e+02 6.750000000000000000e+02 8.769032255265174491e-02 9.037888663219297014e-02 5.377128159082450237e-04 -2.725772641058724077e-01 1.687719225806381701e+03
6.750000000000000000e+02 6.800000000000000000e+02 9.037888663219297014e-02 8.954564212683105429e-02 -1.666489010723831655e-04 2.028668948560516105e-01 1.700225947216580380e+03
6.800000000000000000e+02 6.850000000000000000e+02 8.954564212683105429e-02 8.833360993064683087e-02 -2.424064392368446732e-04 2.543820208078854117e-01 1.712723864105317034e+03
6.850000000000000000e+02 6.900000000000000000e+02 8.833360993064683087e-02 8.899711182865074899e-02 1.327003796007836136e-04 -2.566150095889938032e-03 1.725220834024826445e+03
6.900000000000000000e+02 6.950000000000000000e+02 8.899711182865074899e-02 8.613467684793871260e-02 -5.724869961424072567e-04 4.840131391669117988e-01 1.737722492779571667e+03
6.950000000000000000e+02 7.000000000000000000e+02 8.613467684793871260e-02 2.450008185350082898e-02 -1.232691899888757603e-02 8.653343381074805052e+00 1.750215336692119763e+03
7.000000000000000000e+02 7.050000000000000000e+02 2.450008185350082898e-02 1.317116668078306121e-03 -4.636593037084505223e-03 3.270115207812654301e+00 1.762561250204633780e+03
7.050000000000000000e+02 7.100000000000000000e+02 1.317116668078306121e-03 1.016582817681082977e-04 -2.430916772620395484e-04 1.726967491378161856e-01 1.775003292791670447e+03
7.100000000000000000e+02 7.150000000000000000e+02 1.016582817681082977e-04 1.307715367731487382e-05 -1.771622561815868512e-05 1.268017847066077453e-02 1.787500254145704503e+03
7.150000000000000000e+02 7.200000000000000000e+02 1.307715367731487382e-05 1.042014898487592800e-06 -2.407027755765456035e-06 1.734101999049615867e-03 1.800000032692884133e+03
7.200000000000000000e+02 7.250000000000000000e+02 1.042014898487592800e-06 5.522841746606850304e-07 -9.794614476538155388e-08 7.156323912956230821e-05 1.812500002605037253e+03
7.250000000000000000e+02 7.300000000000000000e+02 5.522841746606850304e-07 1.467070810113720996e-07 -8.111541872986257822e-08 5.936096275381105478e-05 1.825000001380710501e+03
7.300000000000000000e+02 7.350000000000000000e+02 1.467070810113720996e-07 6.955838369396961323e-08 -1.542973946348049662e-08 1.141041688935213512e-05 1.837500000366767608e+03
7.350000000000000000e+02 7.400000000000000000e+02 6.955838369396961323e-08 8.064244900001816044e-10 -1.375039184079388581e-08 1.017609638667747568e-05 1.850000000173895842e+03
7.400000000000000000e+02 7.450000000000000000e+02 8.064244900001816044e-10 -5.512694487696065607e-07 -1.104151746519213387e-07 8.170803566691179091e-05 1.862500000002015895e+03
7.450000000000000000e+02 7.500000000000000000e+02 -5.512694487696065607e-07 4.451578255302196446e-07 1.992854548599652675e-07 -1.490189333194437318e-04 1.874999998621826535e+03
7.500000000000000000e+02 7.550000000000000000e+02 4.451578255302196446e-07 -5.484568601305863488e-07 -1.987229371321611828e-07 1.494873606746511293e-04 1.887500001112894552e+03
7.550000000000000000e+02 7.600000000000000000e+02 -5.484568601305863488e-07 5.404602257036865365e-08 1.205005765401909992e-07 -9.152639214797479565e-05 1.899999998628857611e+03
7.600000000000000000e+02 7.650000000000000000e+02 5.404602257036865365e-08 5.571029802960989908e-08 3.328550918482490753e-10 -1.989238472343006316e-07 1.912500000135114988e+03
7.650000000000000000e+02 7.700000000000000000e+02 5.571029802960989908e-08 -1.254486277540990573e-07 -3.623178515674178995e-08 2.777302594293707866e-05 1.925000000139275699e+03
7.700000000000000000e+02 7.750000000000000000e+02 -1.254486277540990573e-07 1.453954723832588018e-07 5.416882002747156387e-08 -4.183544004890719996e-05 1.937499999686378487e+03
7.750000000000000000e+02 7.800000000000000000e+02 1.453954723832588018e-07 1.916557539812176930e-07 9.252056319591778245e-09 -7.024948175300369973e-06 1.950000000363488653e+03
7.800000000000000000e+02 7.850000000000000000e+02 1.916557539812176930e-07 1.262554065081453932e-07 -1.308006949461445962e-08 1.039410995978049550e-05 1.962500000479139544e+03
7.850000000000000000e+02 7.900000000000000000e+02 1.262554065081453932e-07 1.762339085650815124e-07 9.995700411387224170e-09 -7.720369416430824500e-06 1.975000000315638317e+03
7.900000000000000000e+02 7.950000000000000000e+02 1.762339085650815124e-07 7.159296410322731734e-07 1.079391464934383401e-07 -8.509569182125121709e-05 1.987500000440584699e+03
