#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -8.967455117420210331e-07 5.846353680375425700e-07 2.962761759559126783e-07 -1.120003114952092770e-04 9.499999977581362600e+02
3.800000000000000000e+02 3.850000000000000000e+02 5.846353680375425700e-07 -7.754114362662788897e-07 -2.720093608607642708e-07 1.039481924951279662e-04 9.625000014615884538e+02
3.850000000000000000e+02 3.900000000000000000e+02 -7.754114362662788897e-07 -5.841530665874132557e-06 -1.013223845921570670e-06 3.893157692435384376e-04 9.749999980614713877e+02
3.900000000000000000e+02 3.950000000000000000e+02 -5.841530665874132557e-06 -2.509033169571622695e-06 6.664994992605019935e-07 -2.657763353774698933e-04 9.874999853961733152e+02
3.950000000000000000e+02 4.000000000000000000e+02 -2.509033169571622695e-06 9.481746005108044002e-09 5.037029831153461528e-07 -2.014717115001333559e-04 9.999999937274171771e+02
4.000000000000000000e+02 4.050000000000000000e+02 9.481746005108044002e-09 -6.592838132564663979e-06 -1.320463975713954304e-06 5.281950720315868250e-04 1.012500000023704388e+03
4.050000000000000000e+02 4.100000000000000000e+02 -6.592838132564663979e-06 1.167161568578692349e-05 3.652890763670317579e-06 -1.486013597419043276e-03 1.024999983517904639e+03
4.100000000000000000e+02 4.150000000000000000e+02 1.167161568578692349e-05 9.353340435573459218e-06 -4.636550500426928439e-07 2.017701862032909735e-04 1.037500029179039302e+03
4.150000000000000000e+02 4.200000000000000000e+02 9.353340435573459218e-06 -1.875170027986212181e-06 -2.245702092711934491e-06 9.413197089110262672e-04 1.050000023383351163e+03
4.200000000000000000e+02 4.250000000000000000e+02 -1.875170027986212181e-06 -1.974159728086084074e-05 -3.573285450574925839e-06 1.498904719213482728e-03 1.062499995312075043e+03
4.250000000000000000e+02 4.300000000000000000e+02 -1.974159728086084074e-05 4.023989607249159003e-05 1.199629867067048615e-05 -5.118168532315817490e-03 1.074999950646006710e+03
4.300000000000000000e+02 4.350000000000000000e+02 4.023989607249159003e-05 5.609834902777342965e-05 3.171690591056367840e-06 -1.323587058081746645e-03 1.087500100599740108e+03
4.350000000000000000e+02 4.400000000000000000e+02 5.609834902777342965e-05 6.453112131775328927e-04 1.178425728299518899e-04 -5.120542083200129574e-02 1.100000140245872672e+03
4.400000000000000000e+02 4.450000000000000000e+02 6.453112131775328927e-04 6.331283043749341699e-02 1.253350384486317734e-02 -5.514096380526620322e+00 1.112501613278032892e+03
4.450000000000000000e+02 4.500000000000000000e+02 6.331283043749341699e-02 7.812997614986995076e-01 1.435973862122412181e-01 -6.383752403400984576e+01 1.125158282076093656e+03
4.500000000000000000e+02 4.550000000000000000e+02 7.812997614986995076e-01 8.943924326223994248e-01 2.261853422473998274e-02 -9.397040639634292702e+00 1.139453249403746668e+03
4.550000000000000000e+02 4.600000000000000000e+02 8.943924326223994248e-01 9.139136064864940012e-01 3.904234772818915115e-03 -8.820343890102070317e-01 1.152235981081556019e+03
