#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -3.627183236057031090e-07 2.344978381442407983e-07 1.194432323499887868e-07 -4.515393045485149886e-05 9.499999990932042238e+02
3.800000000000000000e+02 3.850000000000000000e+02 2.344978381442407983e-07 -2.908053542079018838e-07 -1.050606384704285470e-07 4.015754045690708745e-05 9.625000005862445960e+02
3.850000000000000000e+02 3.900000000000000000e+02 -2.908053542079018838e-07 -1.953731555719274797e-06 -3.325852403022745933e-07 1.277545121621678163e-04 9.749999992729865426e+02
3.900000000000000000e+02 3.950000000000000000e+02 -1.953731555719274797e-06 -7.181256034830197675e-07 2.471211904472510059e-07 -9.833099583014717326e-05 9.874999951156711404e+02
3.950000000000000000e+02 4.000000000000000000e+02 -7.181256034830197675e-07 2.433675431902974832e-09 1.441118557829845414e-07 -5.764230863776191485e-05 9.999999982046859941e+02
4.000000000000000000e+02 4.050000000000000000e+02 2.433675431902974832e-09 -1.411937291191593184e-06 -2.828741933246992353e-07 1.131521110053115950e-04 1.012500000006084292e+03
4.050000000000000000e+02 4.100000000000000000e+02 -1.411937291191593184e-06 2.095913703522527390e-06 7.015701989428240937e-07 -2.855478678630353245e-04 1.024999996470156702e+03
4.100000000000000000e+02 4.150000000000000000e+02 2.095913703522527390e-06 1.401431527128773946e-06 -1.388964352787506994e-07 5.904345216781031194e-05 1.037500005239784286e+03
4.150000000000000000e+02 4.200000000000000000e+02 1.401431527128773946e-06 -2.344515698593717412e-07 -3.271766193976291480e-07 1.371797285771448455e-04 1.050000003503578682e+03
4.200000000000000000e+02 4.250000000000000000e+02 -2.344515698593717412e-07 -2.054614670809211072e-06 -3.640326201899678768e-07 1.526592489099271239e-04 1.062499999413871137e+03
4.250000000000000000e+02 4.300000000000000000e+02 -2.054614670809211072e-06 3.523520898509568685e-06 1.115627113863755867e-06 -4.761961380629054744e-04 1.074999994863463144e+03
4.300000000000000000e+02 4.350000000000000000e+02 3.523520898509568685e-06 4.184133026519554384e-06 1.321224256019971450e-07 -5.328912211034920055e-05 1.087500008808802249e+03
4.350000000000000000e+02 4.400000000000000000e+02 4.184133026519554384e-06 4.109895549645872700e-05 7.382964493987834523e-06 -3.207405421858188551e-03 1.100000010460332533e+03
4.400000000000000000e+02 4.450000000000000000e+02 4.109895549645872700e-05 3.436380331665654739e-03 6.790562752338392309e-04 -2.987436621473927856e-01 1.112500102747388610e+03
4.450000000000000000e+02 4.500000000000000000e+02 3.436380331665654739e-03 3.522979783704548173e-02 6.358683501075964965e-03 -2.826177777647138623e+00 1.125008590950829102e+03
4.500000000000000000e+02 4.550000000000000000e+02 3.522979783704548173e-02 3.425159073693059136e-02 -1.956414200229780742e-04 1.232684368473856151e-01 1.137588074494592547e+03
4.550000000000000000e+02 4.600000000000000000e+02 3.425159073693059136e-02 3.104645504437675979e-02 -6.410271385107662928e-04 3.259189387593292575e-01 1.150085628976842372e+03
4.600000000000000000e+02 4.650000000000000000e+02 3.104645504437675979e-02 2.968277391221459810e-02 -2.727362264324323599e-04 1.565051192032956562e-01 1.162577616137610903e+03
4.650000000000000000e+02 4.700000000000000000e+02 2.968277391221459810e-02 2.980481791534829103e-02 2.440880062673858597e-05 1.833268162078115562e-02 1.175074206934780477e+03
4.700000000000000000e+02 4.750000000000000000e+02 2.980481791534829103e-02 3.198648248203684458e-02 4.363329133377106877e-04 -1.752716513533757459e-01 1.187574512044788435e+03
4.750000000000000000e+02 4.800000000000000000e+02 3.198648248203684458e-02 3.344998914796475792e-02 2.927013331855826683e-04 -1.070466507811149159e-01 1.200079966206204972e+03
4.800000000000000000e+02 4.850000000000000000e+02 3.344998914796475792e-02 3.225229825950547136e-02 -2.395381776918573179e-04 1.484283144400562748e-01 1.212583624972869984e+03
