#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
350.000000 355.100000 0.060675 0.058095 -0.000506 0.237734 0.302864
355.100000 405.000000 0.058095 0.080686 0.000453 -0.102668 3.462586
405.000000 412.300000 0.080686 0.080896 0.000029 0.069035 0.589774
412.300000 414.400000 0.080896 0.075323 -0.002654 1.175062 0.164030
414.400000 441.600000 0.075323 0.080942 0.000207 -0.010284 2.125204
441.600000 465.800000 0.080942 0.082468 0.000063 0.053096 1.977261
465.800000 475.000000 0.082468 0.087155 0.000509 -0.154837 0.780266
475.000000 486.900000 0.087155 0.088891 0.000146 0.017861 1.047474
486.900000 544.000000 0.088891 0.097238 0.000146 0.017715 5.313983
544.000000 549.100000 0.097238 0.100984 0.000735 -0.302335 0.505466
549.100000 553.800000 0.100984 0.098699 -0.000486 0.367940 0.469255
553.800000 665.100000 0.098699 0.123357 0.000222 -0.023993 12.357416
665.100000 693.100000 0.123357 0.120198 -0.000113 0.198395 3.409770
693.100000 703.600000 0.120198 0.119603 -0.000057 0.159474 1.258955
703.600000 745.300000 0.119603 0.125162 0.000133 0.025807 5.103350
745.300000 763.700000 0.125162 0.125842 0.000037 0.097618 2.309237
763.700000 774.800000 0.125842 0.132670 0.000615 -0.343937 1.434742
774.800000 865.300000 0.132670 0.138783 0.000068 0.080335 12.283248
865.300000 872.600000 0.138783 0.135542 -0.000444 0.522952 1.001286
872.600000 882.000000 0.135542 0.138706 0.000337 -0.158171 1.288966
882.000000 928.400000 0.138706 0.136835 -0.000040 0.174271 6.392551
928.400000 939.300000 0.136835 0.128379 -0.000776 0.857069 1.445416
939.300000 942.100000 0.128379 0.134639 0.002236 -1.971627 0.368225
942.100000 1059.500000 0.134639 0.153279 0.000159 -0.014941 16.900787
1059.500000 1243.200000 0.153279 0.162611 0.000051 0.099456 29.014497
1243.200000 1538.700000 0.162611 0.190598 0.000095 0.044867 52.186630
1538.700000 1633.600000 0.190598 0.192730 0.000022 0.156030 18.188914
1633.600000 1981.500000 0.192730 0.209670 0.000049 0.113186 69.997480
1981.500000 2126.300000 0.209670 0.215952 0.000043 0.123705 30.815033
2126.300000 2250.900000 0.215952 0.271805 0.000448 -0.737180 30.387261
2250.900000 2383.600000 0.271805 0.261601 -0.000077 0.444889 35.391488
