#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.000000000000000000e+02 3.050000000000000000e+02 7.253999999999999337e-02 7.531999999999999806e-02 5.560000000000009379e-04 -9.426000000000028800e-02 3.696499999999999786e-01
3.050000000000000000e+02 3.100000000000000000e+02 7.531999999999999806e-02 7.649999999999999856e-02 2.360000000000000986e-04 3.339999999999967994e-03 3.795500000000000540e-01
3.100000000000000000e+02 3.150000000000000000e+02 7.649999999999999856e-02 7.785000000000000253e-02 2.700000000000008166e-04 -7.200000000000247868e-03 3.858749999999999680e-01
3.150000000000000000e+02 3.200000000000000000e+02 7.785000000000000253e-02 7.910000000000000364e-02 2.500000000000002220e-04 -9.000000000000674127e-04 3.923750000000000293e-01
3.200000000000000000e+02 3.250000000000000000e+02 7.910000000000000364e-02 8.064000000000000334e-02 3.079999999999999513e-04 -1.945999999999997732e-02 3.993499999999999828e-01
3.250000000000000000e+02 3.300000000000000000e+02 8.064000000000000334e-02 8.222999999999999754e-02 3.179999999999988392e-04 -2.270999999999961938e-02 4.071750000000000647e-01
3.300000000000000000e+02 3.350000000000000000e+02 8.222999999999999754e-02 8.336000000000000354e-02 2.260000000000012108e-04 7.649999999999601563e-03 4.139750000000000374e-01
3.350000000000000000e+02 3.400000000000000000e+02 8.336000000000000354e-02 8.480999999999999650e-02 2.899999999999985922e-04 -1.378999999999952486e-02 4.204249999999999376e-01
3.400000000000000000e+02 3.450000000000000000e+02 8.480999999999999650e-02 8.648000000000000131e-02 3.340000000000009628e-04 -2.875000000000033085e-02 4.282249999999999668e-01
3.450000000000000000e+02 3.500000000000000000e+02 8.648000000000000131e-02 8.815000000000000613e-02 3.340000000000009628e-04 -2.875000000000033085e-02 4.365750000000000464e-01
3.500000000000000000e+02 3.550000000000000000e+02 8.815000000000000613e-02 8.953999999999999460e-02 2.779999999999977042e-04 -9.149999999999186562e-03 4.442250000000000365e-01
3.550000000000000000e+02 3.600000000000000000e+02 8.953999999999999460e-02 9.092000000000000082e-02 2.760000000000012335e-04 -8.440000000000447145e-03 4.511500000000000510e-01
3.600000000000000000e+02 3.650000000000000000e+02 9.092000000000000082e-02 9.281999999999999973e-02 3.799999999999998041e-04 -4.587999999999993472e-02 4.593500000000000361e-01
3.650000000000000000e+02 3.700000000000000000e+02 9.281999999999999973e-02 9.443999999999999617e-02 3.239999999999993103e-04 -2.543999999999975448e-02 4.681499999999999551e-01
3.700000000000000000e+02 3.750000000000000000e+02 9.443999999999999617e-02 9.604999999999999649e-02 3.220000000000000748e-04 -2.470000000000002749e-02 4.762250000000000094e-01
3.750000000000000000e+02 3.800000000000000000e+02 9.604999999999999649e-02 9.754999999999999782e-02 3.000000000000002448e-04 -1.645000000000008955e-02 4.839999999999999858e-01
3.800000000000000000e+02 3.850000000000000000e+02 9.754999999999999782e-02 9.914000000000000590e-02 3.180000000000016039e-04 -2.329000000000061577e-02 4.917250000000000232e-01
3.850000000000000000e+02 3.900000000000000000e+02 9.914000000000000590e-02 1.006399999999999934e-01 2.999999999999974801e-04 -1.635999999999902810e-02 4.994500000000000606e-01
3.900000000000000000e+02 3.950000000000000000e+02 1.006399999999999934e-01 1.022099999999999953e-01 3.140000000000003682e-04 -2.182000000000014484e-02 5.071249999999999369e-01
3.950000000000000000e+02 4.000000000000000000e+02 1.022099999999999953e-01 1.033099999999999991e-01 2.200000000000007397e-04 1.530999999999969885e-02 5.137999999999999234e-01
