#KAI-29050 Quantum Efficiency for DPS (002)
#Monochrome with Mircrolens
Wavelength (nm)	Monochrome - Microlens
300	0.010425
305	0.004580
310	0.004577
315	0.013093
320	0.037207
325	0.075737
330	0.117072
335	0.153742
340	0.184120
345	0.211013
350	0.235580
355	0.248168
360	0.256826
365	0.267471
370	0.275668
375	0.291561
380	0.305052
385	0.321572
390	0.334975
395	0.345630
400	0.356194
405	0.366432
410	0.371577
415	0.376374
420	0.379486
425	0.384597
430	0.387465
435	0.390446
440	0.397399
445	0.402102
450	0.408225
455	0.414529
460	0.417613
465	0.421123
470	0.419103
475	0.425719
480	0.430053
485	0.431423
490	0.430979
495	0.426043
500	0.423559
505	0.422806
510	0.414076
515	0.413441
520	0.408114
525	0.401378
530	0.398011
535	0.394560
540	0.391604
545	0.394404
550	0.383002
555	0.373338
560	0.368522
565	0.356782
570	0.350423
575	0.346815
580	0.346349
585	0.335003
590	0.320631
595	0.320497
600	0.320018
605	0.305582
610	0.295479
615	0.292938
620	0.287178
625	0.280974
630	0.274952
635	0.267568
640	0.263186
645	0.259902
650	0.248637
655	0.239625
660	0.236139
665	0.231359
670	0.223428
675	0.214093
680	0.211220
685	0.210188
690	0.202551
695	0.193330
700	0.187491
705	0.187310
710	0.183021
715	0.174745
720	0.168791
725	0.164773
730	0.158323
735	0.152303
740	0.147320
745	0.143157
750	0.137230
755	0.131639
760	0.126936
765	0.122995
770	0.122566
775	0.118816
780	0.114796
785	0.110038
790	0.103432
795	0.098683
800	0.095203
805	0.092141
810	0.089975
815	0.086428
820	0.080051
825	0.073222
830	0.072554
835	0.071438
840	0.069288
845	0.066705
850	0.064102
855	0.060615
860	0.056767
865	0.053949
870	0.051938
875	0.049847
880	0.045721
885	0.043461
890	0.040484
895	0.037106
900	0.035553
905	0.033117
910	0.032089
915	0.029458
920	0.028059
925	0.026271
930	0.024635
935	0.023420
940	0.021945
945	0.020658
950	0.018849
955	0.017658
960	0.016308
965	0.014812
970	0.013722
975	0.012823
980	0.011563
985	0.010824
990	0.009466
995	0.008759
1000	0.007693
1005	0.006790
1010	0.005979
1015	0.005467
1020	0.004878
1025	0.004378
1030	0.003898
1035	0.003374
1040	0.002984
1045	0.002580
1050	0.002177
