#KAI-29050 Quantum Efficiency for DPS (002)
#Sparse CFA with Mircolens
Wavelength (nm)	Gen1 Red	Gen1 Green	Gen1 Blue	Gen1 Pan	Gen2 Red	Gen2 Green	Gen2 Blue	Gen2 Pan
300				0.01043	0.00294	0.00364	0.00469	0.01043
305				0.00458	0.00126	0.00157	0.00199	0.00458
310				0.00458	0.00088	0.00113	0.00124	0.00458
315				0.01309	0.00118	0.00179	0.00107	0.01309
320				0.03721	0.00254	0.00390	0.00114	0.03721
325				0.07574	0.00633	0.00759	0.00123	0.07574
330				0.11707	0.01106	0.01246	0.00136	0.11707
335				0.15374	0.01257	0.01751	0.00152	0.15374
340				0.18412	0.02590	0.02147	0.00184	0.18412
345				0.21101	0.05562	0.02445	0.00243	0.21101
350				0.23558	0.07642	0.02634	0.00348	0.23558
355				0.24817	0.08373	0.02693	0.00532	0.24817
360				0.25683	0.08555	0.02739	0.00903	0.25683
365				0.26747	0.08522	0.02846	0.01675	0.26747
370	0.04775	0.02177	0.01765	0.27567	0.08267	0.02969	0.03010	0.27567
375	0.04697	0.01994	0.02454	0.29156	0.08662	0.03261	0.05306	0.29156
380	0.04375	0.02016	0.04506	0.30505	0.08987	0.03573	0.08673	0.30505
385	0.04052	0.02146	0.07946	0.32157	0.08858	0.03883	0.12916	0.32157
390	0.03709	0.02264	0.12235	0.33498	0.08229	0.04070	0.17330	0.33498
395	0.03377	0.02340	0.16387	0.34563	0.07266	0.04163	0.21010	0.34563
400	0.03245	0.02437	0.19106	0.35619	0.06715	0.04252	0.23307	0.35619
405	0.03007	0.02549	0.22367	0.36643	0.05764	0.04321	0.25773	0.36643
410	0.02825	0.02714	0.25066	0.37158	0.04901	0.04456	0.27720	0.37158
415	0.02658	0.02892	0.26615	0.37637	0.04142	0.04697	0.28871	0.37637
420	0.02552	0.03160	0.27875	0.37949	0.03485	0.04893	0.29742	0.37949
425	0.02463	0.03436	0.29795	0.38460	0.02940	0.04882	0.31212	0.38460
430	0.02412	0.03767	0.30998	0.38747	0.02492	0.04801	0.32157	0.38747
435	0.02431	0.04290	0.32803	0.39045	0.02139	0.05028	0.33325	0.39045
440	0.02427	0.04856	0.34724	0.39740	0.01859	0.05670	0.34538	0.39740
