#20160627 KE throughput estimate
#Throughput for on-axis field

Surface	Wavelengths -->	370	400	450	500	550	600	650	700	750	800	850	900	950	1000
PM	Reflectance	0.8726	0.9191	0.9712	0.9838	0.9880	0.9893	0.9896	0.9894	0.9889	0.9883	0.9874	0.9865	0.9855	0.9845
SM	Reflectance	0.8726	0.9191	0.9712	0.9838	0.9880	0.9893	0.9896	0.9894	0.9889	0.9883	0.9874	0.9865	0.9855	0.9845
C1S1	Transmittance	0.9435	0.9583	0.9784	0.9907	0.9966	0.9982	0.9970	0.9943	0.9908	0.9871	0.9833	0.9796	0.9761	0.9728
C1 	Absorption	0.8009	0.9511	0.9839	0.9943	0.9962	0.9943	0.9962	0.9962	0.9962	0.9962	0.9962	0.9962	0.9952	0.9943
C1S2	Transmittance	0.9435	0.9583	0.9784	0.9907	0.9966	0.9982	0.9970	0.9943	0.9908	0.9871	0.9833	0.9796	0.9761	0.9728
C2S1	Transmittance	0.9566	0.9668	0.9803	0.9883	0.9920	0.9930	0.9922	0.9905	0.9882	0.9858	0.9834	0.9810	0.9788	0.9767
C2 	Absorption	0.6716	0.9577	0.9891	0.9939	0.9976	0.9964	0.9952	0.9964	0.9976	0.9988	0.9982	0.9976	0.9976	0.9976
C2S2	Transmittance	0.9566	0.9668	0.9803	0.9883	0.9920	0.9930	0.9922	0.9905	0.9882	0.9858	0.9834	0.9810	0.9788	0.9767
C3S1	Transmittance	0.9431	0.9587	0.9787	0.9906	0.9961	0.9974	0.9963	0.9938	0.9906	0.9871	0.9836	0.9802	0.9770	0.9740
C3 	Absorption	0.2817	0.9071	0.9805	0.9901	0.9954	0.9954	0.9931	0.9947	0.9966	0.9985	0.9989	0.9992	0.9989	0.9985
C3S2	Transmittance	0.9431	0.9587	0.9787	0.9906	0.9961	0.9974	0.9963	0.9938	0.9906	0.9871	0.9836	0.9802	0.9770	0.9740
Total		0.0836	0.5506	0.7930	0.8907	0.9363	0.9433	0.9366	0.9258	0.9113	0.8951	0.8758	0.8574	0.8392	0.8221
% Obstruction		15.85	15.85	15.85	15.85	15.85	15.85	15.85	15.85	15.85	15.85	15.85	15.85	15.85	15.85
Aperture transmission		0.8415	0.8415	0.8415	0.8415	0.8415	0.8415	0.8415	0.8415	0.8415	0.8415	0.8415	0.8415	0.8415	0.8415
Throughput		0.0703	0.4633	0.6673	0.7496	0.7879	0.7938	0.7881	0.7791	0.7669	0.7533	0.7370	0.7215	0.7062	0.6918
