#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
199.500000 200.500000 0.005498 0.007034 0.001536 -0.300934 0.006266
200.500000 201.500000 0.007034 0.007176 0.000142 -0.021437 0.007105
201.500000 202.500000 0.007176 0.007875 0.000699 -0.133672 0.007526
202.500000 203.500000 0.007875 0.008704 0.000829 -0.159997 0.008289
203.500000 204.500000 0.008704 0.009467 0.000763 -0.146566 0.009085
204.500000 205.500000 0.009467 0.009556 0.000089 -0.008734 0.009511
205.500000 206.500000 0.009556 0.010180 0.000624 -0.118676 0.009868
206.500000 207.500000 0.010180 0.011470 0.001290 -0.256205 0.010825
207.500000 208.500000 0.011470 0.014560 0.003090 -0.629705 0.013015
208.500000 209.500000 0.014560 0.024240 0.009680 -2.003720 0.019400
209.500000 210.500000 0.024240 0.027510 0.003270 -0.660825 0.025875
210.500000 211.500000 0.027510 0.033860 0.006350 -1.309165 0.030685
211.500000 212.500000 0.033860 0.030150 -0.003710 0.818525 0.032005
212.500000 213.500000 0.030150 0.031870 0.001720 -0.335350 0.031010
213.500000 214.500000 0.031870 0.040960 0.009090 -1.908845 0.036415
214.500000 215.500000 0.040960 0.036910 -0.004050 0.909685 0.038935
215.500000 216.500000 0.036910 0.034170 -0.002740 0.627380 0.035540
216.500000 217.500000 0.034170 0.036110 0.001940 -0.385840 0.035140
217.500000 218.500000 0.036110 0.044940 0.008830 -1.884415 0.040525
218.500000 219.500000 0.044940 0.047620 0.002680 -0.540640 0.046280
219.500000 220.500000 0.047620 0.048130 0.000510 -0.064325 0.047875
220.500000 221.500000 0.048130 0.039310 -0.008820 1.992940 0.043720
221.500000 222.500000 0.039310 0.050640 0.011330 -2.470285 0.044975
222.500000 223.500000 0.050640 0.065850 0.015210 -3.333585 0.058245
223.500000 224.500000 0.065850 0.057870 -0.007980 1.849380 0.061860
224.500000 225.500000 0.057870 0.053920 -0.003950 0.944645 0.055895
225.500000 226.500000 0.053920 0.040980 -0.012940 2.971890 0.047450
226.500000 227.500000 0.040980 0.040890 -0.000090 0.061365 0.040935
227.500000 228.500000 0.040890 0.053990 0.013100 -2.939360 0.047440
228.500000 229.500000 0.053990 0.047790 -0.006200 1.470690 0.050890
229.500000 230.500000 0.047790 0.056280 0.008490 -1.900665 0.052035
230.500000 231.500000 0.056280 0.049950 -0.006330 1.515345 0.053115
231.500000 232.500000 0.049950 0.054860 0.004910 -1.086715 0.052405
232.500000 233.500000 0.054860 0.045870 -0.008990 2.145035 0.050365
233.500000 234.500000 0.045870 0.039330 -0.006540 1.572960 0.042600
234.500000 235.500000 0.039330 0.056940 0.017610 -4.090215 0.048135
235.500000 236.500000 0.056940 0.049230 -0.007710 1.872645 0.053085
236.500000 237.500000 0.049230 0.053280 0.004050 -0.908595 0.051255
237.500000 238.500000 0.053280 0.041920 -0.011360 2.751280 0.047600
238.500000 239.500000 0.041920 0.046460 0.004540 -1.040870 0.044190
239.500000 240.500000 0.046460 0.043050 -0.003410 0.863155 0.044755
240.500000 241.500000 0.043050 0.052480 0.009430 -2.224865 0.047765
241.500000 242.500000 0.052480 0.072470 0.019990 -4.775105 0.062475
242.500000 243.500000 0.072470 0.065410 -0.007060 1.784520 0.068940
243.500000 244.500000 0.065410 0.062390 -0.003020 0.800780 0.063900
244.500000 245.500000 0.062390 0.051140 -0.011250 2.813015 0.056765
245.500000 246.500000 0.051140 0.051500 0.000360 -0.037240 0.051320
246.500000 247.500000 0.051500 0.057140 0.005640 -1.338760 0.054320
247.500000 248.500000 0.057140 0.045180 -0.011960 3.017240 0.051160
248.500000 249.500000 0.045180 0.058430 0.013250 -3.247445 0.051805
249.500000 250.500000 0.058430 0.059230 0.000800 -0.141170 0.058830
250.500000 251.500000 0.059230 0.046610 -0.012620 3.220540 0.052920
251.500000 252.500000 0.046610 0.043990 -0.002620 0.705540 0.045300
252.500000 253.500000 0.043990 0.055480 0.011490 -2.857235 0.049735
253.500000 254.500000 0.055480 0.060790 0.005310 -1.290605 0.058135
254.500000 255.500000 0.060790 0.088500 0.027710 -6.991405 0.074645
255.500000 256.500000 0.088500 0.106700 0.018200 -4.561600 0.097600
256.500000 257.500000 0.106700 0.129400 0.022700 -5.715850 0.118050
257.500000 258.500000 0.129400 0.134300 0.004900 -1.132350 0.131850
258.500000 259.500000 0.134300 0.107800 -0.026500 6.984550 0.121050
259.500000 260.500000 0.107800 0.102000 -0.005800 1.612900 0.104900
260.500000 261.500000 0.102000 0.103200 0.001200 -0.210600 0.102600
261.500000 262.500000 0.103200 0.120900 0.017700 -4.525350 0.112050
262.500000 263.500000 0.120900 0.175400 0.054500 -14.185350 0.148150
263.500000 264.500000 0.175400 0.273700 0.098300 -25.726650 0.224550
264.500000 265.500000 0.273700 0.280200 0.006500 -1.445550 0.276950
265.500000 266.500000 0.280200 0.260500 -0.019700 5.510550 0.270350
266.500000 267.500000 0.260500 0.269900 0.009400 -2.244600 0.265200
267.500000 268.500000 0.269900 0.260000 -0.009900 2.918150 0.264950
268.500000 269.500000 0.260000 0.252400 -0.007600 2.300600 0.256200
269.500000 270.500000 0.252400 0.293300 0.040900 -10.770150 0.272850
270.500000 271.500000 0.293300 0.232300 -0.061000 16.793800 0.262800
271.500000 272.500000 0.232300 0.214700 -0.017600 5.010700 0.223500
272.500000 273.500000 0.214700 0.203800 -0.010900 3.184950 0.209250
273.500000 274.500000 0.203800 0.137300 -0.066500 18.391550 0.170550
274.500000 275.500000 0.137300 0.200200 0.062900 -17.128750 0.168750
275.500000 276.500000 0.200200 0.258300 0.058100 -15.806350 0.229250
276.500000 277.500000 0.258300 0.240200 -0.018100 5.262950 0.249250
277.500000 278.500000 0.240200 0.165900 -0.074300 20.858450 0.203050
278.500000 279.500000 0.165900 0.089420 -0.076480 21.465580 0.127660
279.500000 280.500000 0.089420 0.112400 0.022980 -6.333490 0.100910
280.500000 281.500000 0.112400 0.231100 0.118700 -33.182950 0.171750
281.500000 282.500000 0.231100 0.306800 0.075700 -21.078450 0.268950
282.500000 283.500000 0.306800 0.329500 0.022700 -6.105950 0.318150
283.500000 284.500000 0.329500 0.244000 -0.085500 24.568750 0.286750
284.500000 285.500000 0.244000 0.141000 -0.103000 29.547500 0.192500
285.500000 286.500000 0.141000 0.319900 0.178900 -50.934950 0.230450
286.500000 287.500000 0.319900 0.371200 0.051300 -14.377550 0.345550
287.500000 288.500000 0.371200 0.306600 -0.064600 18.943700 0.338900
288.500000 289.500000 0.306600 0.455600 0.149000 -42.679900 0.381100
289.500000 290.500000 0.455600 0.622700 0.167100 -47.919850 0.539150
290.500000 291.500000 0.622700 0.600200 -0.022500 7.158950 0.611450
291.500000 292.500000 0.600200 0.545200 -0.055000 16.632700 0.572700
292.500000 293.500000 0.545200 0.545400 0.000200 0.486700 0.545300
