#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -2.010608331607807295e-07 2.047869906105867270e-07 8.116956475427348070e-08 -3.063964761601333615e-05 9.315393624514993756e-09
3.800000000000000000e+02 3.850000000000000000e+02 2.047869906105867270e-07 -3.837104922264902813e-07 -1.176994965674154070e-07 4.493059568622844433e-05 -4.473087540397589123e-07
3.850000000000000000e+02 3.900000000000000000e+02 -3.837104922264902813e-07 -3.723276656510035401e-06 -6.679132328567089499e-07 2.567628841576064555e-04 -1.026746787184131503e-05
3.900000000000000000e+02 3.950000000000000000e+02 -3.723276656510035401e-06 -1.879057136516192763e-06 3.688439039987685065e-07 -1.475723992160297298e-04 -1.400583448256556999e-05
3.950000000000000000e+02 4.000000000000000000e+02 -1.879057136516192763e-06 7.643846075932420130e-09 3.773401965184250188e-07 -1.509284347612940662e-04 -4.678533226100650604e-06
4.000000000000000000e+02 4.050000000000000000e+02 7.643846075932420130e-09 -5.713014499963899304e-06 -1.144131669207966263e-06 4.576603115292624349e-04 -1.426342663471991823e-05
4.050000000000000000e+02 4.100000000000000000e+02 -5.713014499963899304e-06 1.072731013574446383e-05 3.288064927141672456e-06 -1.337379309992341343e-03 1.253573908945141173e-05
4.100000000000000000e+02 4.150000000000000000e+02 1.072731013574446383e-05 8.839598336642323647e-06 -3.775423598204280249e-07 1.655196776621199533e-04 4.891727118096697038e-05
4.150000000000000000e+02 4.200000000000000000e+02 8.839598336642323647e-06 -1.810628899795650007e-06 -2.130045447287594943e-06 8.928084589609942444e-04 1.757242359211668527e-05
4.200000000000000000e+02 4.250000000000000000e+02 -1.810628899795650007e-06 -1.973847376245306214e-05 -3.585568972531482809e-06 1.504128339563427048e-03 -5.387275665562177328e-05
4.250000000000000000e+02 4.300000000000000000e+02 -1.973847376245306214e-05 4.114463892173450711e-05 1.217662253683751317e-05 -5.194803051918395372e-03 5.351541289820361581e-05
4.300000000000000000e+02 4.350000000000000000e+02 4.114463892173450711e-05 5.898937206526938223e-05 3.568946628706975192e-06 -1.493502411422264814e-03 2.503350274675096793e-04
4.350000000000000000e+02 4.400000000000000000e+02 5.898937206526938223e-05 6.909673019577859373e-04 1.263955859785033083e-04 -5.492309052858367069e-02 1.874891685057638278e-03
4.400000000000000000e+02 4.450000000000000000e+02 6.909673019577859373e-04 6.931219214253094008e-02 1.372424496811463016e-02 -6.037976818668479240e+00 1.750078986112218460e-01
4.450000000000000000e+02 4.500000000000000000e+02 6.931219214253094008e-02 8.534045592080484743e-01 1.568184734131035096e-01 -6.971490847668853519e+01 2.306791878376448501e+00
4.500000000000000000e+02 4.550000000000000000e+02 8.534045592080484743e-01 9.717924938142621372e-01 2.367758692124273187e-02 -9.801509555351181291e+00 4.562992632555777028e+00
4.550000000000000000e+02 4.600000000000000000e+02 9.717924938142621372e-01 9.839537458045954921e-01 2.432250398066671156e-03 -1.348814373060731597e-01 4.889365599047144073e+00
4.600000000000000000e+02 4.650000000000000000e+02 9.839537458045954921e-01 9.965995488974902505e-01 2.529160618578951865e-03 -1.794601387417223970e-01 4.951383236755214412e+00
4.650000000000000000e+02 4.700000000000000000e+02 9.965995488974902505e-01 1.000000000000000000e+00 6.800902205019498719e-04 6.803575963640835500e-01 4.991498872243726126e+00
4.700000000000000000e+02 4.750000000000000000e+02 1.000000000000000000e+00 9.877907028920080990e-01 -2.441859421598380122e-03 2.147673928151238698e+00 4.969476757230020247e+00
4.750000000000000000e+02 4.800000000000000000e+02 9.877907028920080990e-01 9.769636372446194317e-01 -2.165413129477733369e-03 2.016361939393931380e+00 4.911885850341568549e+00
4.800000000000000000e+02 4.850000000000000000e+02 9.769636372446194317e-01 9.366256545963824731e-01 -8.067596529647391712e-03 4.849409971475367342e+00 4.783973229602505484e+00
4.850000000000000000e+02 4.900000000000000000e+02 9.366256545963824731e-01 8.938546973949238472e-01 -8.554191440291725873e-03 5.085408503137870184e+00 4.576200879978266300e+00
4.900000000000000000e+02 4.950000000000000000e+02 8.938546973949238472e-01 8.370689904618073829e-01 -1.135714138662329356e-02 6.458853976840337907e+00 4.327309219641827909e+00
4.950000000000000000e+02 5.000000000000000000e+02 8.370689904618073829e-01 7.723950903990050021e-01 -1.293478001256047685e-02 7.239785096679243637e+00 4.023660202152030685e+00
5.000000000000000000e+02 5.050000000000000000e+02 7.723950903990050021e-01 6.870654462674519181e-01 -1.706592882631061819e-02 9.305359503554313960e+00 3.648651341666142578e+00
5.050000000000000000e+02 5.100000000000000000e+02 6.870654462674519181e-01 6.042369724287552923e-01 -1.656569476773932584e-02 9.052741303975810894e+00 3.228256046740518137e+00
5.100000000000000000e+02 5.150000000000000000e+02 6.042369724287552923e-01 5.239966749870779150e-01 -1.604805948833547616e-02 8.788747311479848889e+00 2.820584118539582796e+00
5.150000000000000000e+02 5.200000000000000000e+02 5.239966749870779150e-01 4.296426316428614833e-01 -1.887080866884328564e-02 1.024246313944137121e+01 2.384098266574848246e+00
5.200000000000000000e+02 5.250000000000000000e+02 4.296426316428614833e-01 3.469841896087597632e-01 -1.653168840682034402e-02 9.026120603189440317e+00 1.941567053129052978e+00
5.250000000000000000e+02 5.300000000000000000e+02 3.469841896087597632e-01 2.899204371594998886e-01 -1.141275048985197424e-02 6.338678196781046381e+00 1.592261566920649241e+00
