#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -2.029508049924947944e-07 2.343377533556946459e-07 8.745771166963788276e-08 -3.299959268110670073e-05 7.846737090799962853e-08
3.800000000000000000e+02 3.850000000000000000e+02 2.343377533556946459e-07 -3.800076859765057905e-07 -1.228690878664400979e-07 4.692459114260292641e-05 -3.641748315520278485e-07
3.850000000000000000e+02 3.900000000000000000e+02 -3.800076859765057905e-07 -4.561013904224793727e-06 -8.362012436496576402e-07 3.215574711191416754e-04 -1.235255397550324824e-05
3.900000000000000000e+02 3.950000000000000000e+02 -4.561013904224793727e-06 -2.329091320711806814e-06 4.463845167025973931e-07 -1.786509754182377771e-04 -1.722526306234150093e-05
3.950000000000000000e+02 4.000000000000000000e+02 -2.329091320711806814e-06 1.262763371744035844e-08 4.683437908858494041e-07 -1.873248887206223194e-04 -5.791159217485916864e-06
4.000000000000000000e+02 4.050000000000000000e+02 1.262763371744035844e-08 -9.352204736440906306e-06 -1.872966474031669122e-06 7.491992172463850328e-04 -2.334894275680866559e-05
4.050000000000000000e+02 4.100000000000000000e+02 -9.352204736440906306e-06 1.720660545773411025e-05 5.311762038835003650e-06 -2.160615830464617491e-03 1.963600180323301156e-05
4.100000000000000000e+02 4.150000000000000000e+02 1.720660545773411025e-05 1.535880210991603494e-05 -3.695606695636150614e-07 1.687264799788162786e-04 8.141351891912536299e-05
4.150000000000000000e+02 4.200000000000000000e+02 1.535880210991603494e-05 -3.135103939996175389e-06 -3.698781209982442151e-06 1.550353004252629473e-03 3.055924542479964741e-05
4.200000000000000000e+02 4.250000000000000000e+02 -3.135103939996175389e-06 -3.421664426721244103e-05 -6.216308065443253213e-06 2.607714283546170176e-03 -9.337937051802153914e-05
4.250000000000000000e+02 4.300000000000000000e+02 -3.421664426721244103e-05 5.375547075124612663e-05 1.759442300369171353e-05 -7.511846420836190523e-03 4.884706621008421063e-05
