#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -1.155268903945687760e-07 7.887476648675086603e-08 3.888033137626393106e-08 -1.469565115649354325e-05 -9.163030976954477496e-08
3.800000000000000000e+02 3.850000000000000000e+02 7.887476648675086603e-08 -1.078487415055077296e-07 -3.734470159845171516e-08 1.426986137389840371e-05 -7.243493754689215229e-08
3.850000000000000000e+02 3.900000000000000000e+02 -1.078487415055077296e-07 -8.175102502068798827e-07 -1.419323017402744333e-07 5.453608742850014337e-05 -2.313397479280968892e-06
3.900000000000000000e+02 3.950000000000000000e+02 -8.175102502068798827e-07 -3.480906813691338590e-07 9.388391376754919945e-08 -3.743223661955107079e-05 -2.914002328940034142e-06
3.950000000000000000e+02 4.000000000000000000e+02 -3.480906813691338590e-07 1.303739625229588500e-09 6.987888419887268457e-08 -2.795024993992384493e-05 -8.669673543597606980e-07
4.000000000000000000e+02 4.050000000000000000e+02 1.303739625229588500e-09 -8.954816103281919541e-07 -1.793570699906843036e-07 7.174413173589894610e-05 -2.235444676757405936e-06
4.050000000000000000e+02 4.100000000000000000e+02 -8.954816103281919541e-07 1.612184886596719058e-06 5.015332993849821600e-07 -2.040164678612459810e-04 1.791758190671317759e-06
4.100000000000000000e+02 4.150000000000000000e+02 1.612184886596719058e-06 1.344507773958641749e-06 -5.353542252761546441e-08 2.356170812291906008e-05 7.391731651388401488e-06
4.150000000000000000e+02 4.200000000000000000e+02 1.344507773958641749e-06 -2.784880390342130714e-07 -3.245991625985709323e-07 1.360531602523655699e-04 2.665049337311071614e-06
4.200000000000000000e+02 4.250000000000000000e+02 -2.784880390342130714e-07 -2.886435107725382912e-06 -5.215894137382339363e-07 2.187890657310240261e-04 -7.912307866898989932e-06
4.250000000000000000e+02 4.300000000000000000e+02 -2.886435107725382912e-06 5.743035335574731196e-06 1.725894088660022906e-06 -7.363914227882350626e-04 7.141500569623370500e-06
4.300000000000000000e+02 4.350000000000000000e+02 5.743035335574731196e-06 8.320912148750110194e-06 5.155753626350758420e-07 -2.159543705975078677e-04 3.515986871081210009e-05
4.350000000000000000e+02 4.400000000000000000e+02 8.320912148750110194e-06 1.060511598283554030e-04 1.954604953592105891e-05 -8.494210635976910326e-03 2.859301799427638093e-04
4.400000000000000000e+02 4.450000000000000000e+02 1.060511598283554030e-04 1.190103951196497083e-02 2.358997670427323296e-03 -1.037852923828193941e+00 3.001772667948331488e-02
4.450000000000000000e+02 4.500000000000000000e+02 1.190103951196497083e-02 1.645234734205386351e-01 3.052448678171473112e-02 -1.357149557835109022e+01 4.410612823312590192e-01
4.500000000000000000e+02 4.550000000000000000e+02 1.645234734205386351e-01 1.987422766240040939e-01 6.843760640693091410e-03 -2.915168814891352600e+00 9.081643751113568364e-01
4.550000000000000000e+02 4.600000000000000000e+02 1.987422766240040939e-01 2.052877493244202878e-01 1.309094540083238778e-03 -3.968957391138695501e-01 1.010075064871061024e+00
4.600000000000000000e+02 4.650000000000000000e+02 2.052877493244202878e-01 2.197448860551972083e-01 2.891427346155384104e-03 -1.124768829907056400e+00 1.062581588449043712e+00
4.650000000000000000e+02 4.700000000000000000e+02 2.197448860551972083e-01 2.543813364190279369e-01 6.927290072766145550e-03 -3.001444997781060664e+00 1.185315556185562835e+00
4.700000000000000000e+02 4.750000000000000000e+02 2.543813364190279369e-01 3.118695276866533250e-01 1.149763825352507693e-02 -5.149508642737758102e+00 1.415627160264203210e+00
4.750000000000000000e+02 4.800000000000000000e+02 3.118695276866533250e-01 3.842032297403831786e-01 1.446674041074597072e-02 -6.559832167417682491e+00 1.740181893567591231e+00
4.800000000000000000e+02 4.850000000000000000e+02 3.842032297403831786e-01 4.533178795334694700e-01 1.382292995861725791e-02 -6.250803150395900509e+00 2.093802773184631594e+00
4.850000000000000000e+02 4.900000000000000000e+02 4.533178795334694700e-01 5.346180569740354160e-01 1.626003548811318783e-02 -7.432799332201426523e+00 2.469839841268762104e+00
4.900000000000000000e+02 4.950000000000000000e+02 5.346180569740354160e-01 6.172962929625377404e-01 1.653564719770046418e-02 -7.567849069899192926e+00 2.879785874841433113e+00
4.950000000000000000e+02 5.000000000000000000e+02 6.172962929625377404e-01 6.983684714120420578e-01 1.621443568990086487e-02 -7.408849373538389571e+00 3.289161910936449384e+00
5.000000000000000000e+02 5.050000000000000000e+02 6.983684714120420578e-01 7.572152700975888218e-01 1.176935973710935279e-02 -5.186311397142634227e+00 3.638959353774077421e+00
5.050000000000000000e+02 5.100000000000000000e+02 7.572152700975888218e-01 8.272887048550838784e-01 1.401468695149901168e-02 -6.320201640409411681e+00 3.961259937381681695e+00
5.100000000000000000e+02 5.150000000000000000e+02 8.272887048550838784e-01 9.035326454370192772e-01 1.524878811638707976e-02 -6.949593234502326133e+00 4.327053375730257834e+00
5.150000000000000000e+02 5.200000000000000000e+02 9.035326454370192772e-01 9.526582765371566230e-01 9.825126220027468466e-03 -4.156407357877127673e+00 4.640477304935439307e+00
5.200000000000000000e+02 5.250000000000000000e+02 9.526582765371566230e-01 9.823512550908120033e-01 5.938595710731076061e-03 -2.135411493043002817e+00 4.837523829069922066e+00
5.250000000000000000e+02 5.300000000000000000e+02 9.823512550908120033e-01 9.958356167744860654e-01 2.696872336734812241e-03 -4.335067216949645141e-01 4.945467179663245005e+00
5.300000000000000000e+02 5.350000000000000000e+02 9.958356167744860654e-01 9.866541856432446966e-01 -1.836286226248273713e-03 1.969067316686071045e+00 4.956224506044327072e+00
5.350000000000000000e+02 5.400000000000000000e+02 9.866541856432446966e-01 1.000000000000000000e+00 2.669162871351060846e-03 -4.413479505295727634e-01 4.966635464108112075e+00
5.400000000000000000e+02 5.450000000000000000e+02 1.000000000000000000e+00 9.825835272922279762e-01 -3.483294541554404680e-03 2.880979052439378574e+00 4.956458818230569996e+00
5.450000000000000000e+02 5.500000000000000000e+02 9.825835272922279762e-01 9.531500856112253839e-01 -5.886688336200518110e-03 4.190828670521510091e+00 4.839334032258633123e+00
5.500000000000000000e+02 5.550000000000000000e+02 9.531500856112253839e-01 9.159403364608232900e-01 -7.441949830080419118e-03 5.046222492155456152e+00 4.672726055180121740e+00
5.550000000000000000e+02 5.600000000000000000e+02 9.159403364608232900e-01 8.699145413010722638e-01 -9.205159031950205586e-03 6.024803599193186976e+00 4.464637194404739162e+00
