#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -1.166128431642793001e-07 9.025639529078911189e-08 4.137384769101368505e-08 -1.563180572729441014e-05 -6.589111968372547058e-08
3.800000000000000000e+02 3.850000000000000000e+02 9.025639529078911189e-08 -1.068080011499798917e-07 -3.941287928815380072e-08 1.506715052478923398e-05 -4.137901464797694951e-08
3.850000000000000000e+02 3.900000000000000000e+02 -1.068080011499798917e-07 -1.001450056503427840e-06 -1.789284110706895924e-07 6.878063026106550747e-05 -2.770645144133519562e-06
3.900000000000000000e+02 3.950000000000000000e+02 -1.001450056503427840e-06 -4.314583995570388194e-07 1.139983313892778095e-07 -4.546079929832177254e-05 -3.582271140151166914e-06
3.950000000000000000e+02 4.000000000000000000e+02 -4.314583995570388194e-07 2.153777860879280543e-09 8.672243548358362015e-08 -3.468682041557256772e-05 -1.073261554240398792e-06
4.000000000000000000e+02 4.050000000000000000e+02 2.153777860879280543e-09 -1.465903396107250731e-06 -2.936114347936259918e-07 1.174467276953112762e-04 -3.659374045615928729e-06
4.050000000000000000e+02 4.100000000000000000e+02 -1.465903396107250731e-06 2.585944558101135890e-06 8.103695908416772818e-07 -3.296655876869865136e-04 2.800102904984713110e-06
4.100000000000000000e+02 4.150000000000000000e+02 2.585944558101135890e-06 2.336082257253139899e-06 -4.997246016959919693e-08 2.307465322763680717e-05 1.230506703838568989e-05
4.150000000000000000e+02 4.200000000000000000e+02 2.336082257253139899e-06 -4.822020395877410228e-07 -5.636568593681762054e-07 2.362536788950462619e-04 4.634700544163496978e-06
4.200000000000000000e+02 4.250000000000000000e+02 -4.822020395877410228e-07 -5.003635259241959982e-06 -9.042866439308438977e-07 3.793181884113667112e-04 -1.371459324707425230e-05
4.250000000000000000e+02 4.300000000000000000e+02 -5.003635259241959982e-06 7.503275665928385316e-06 2.501382185034068890e-06 -1.068091063898721346e-03 6.249101016716063336e-06
4.300000000000000000e+02 4.350000000000000000e+02 7.503275665928385316e-06 1.413306928465205635e-05 1.325958723744734207e-06 -5.626589755443072880e-04 5.409086237645111179e-05
4.350000000000000000e+02 4.400000000000000000e+02 1.413306928465205635e-05 1.878166040560182506e-04 3.473670695427323954e-05 -1.509633445582420769e-02 5.048741833516758471e-04
4.400000000000000000e+02 4.450000000000000000e+02 1.878166040560182506e-04 2.260007403322148931e-02 4.482451485833094385e-03 -1.972090837162505439e+00 5.696972659319377019e-02
4.450000000000000000e+02 4.500000000000000000e+02 2.260007403322148931e-02 3.434427507653753375e-01 6.416853534643077173e-02 -2.853239815512847244e+01 9.151070619964920549e-01
4.500000000000000000e+02 4.550000000000000000e+02 3.434427507653753375e-01 3.991738625993125344e-01 1.114622236678743973e-02 -4.672357314288972496e+00 1.856541533411719680e+00
4.550000000000000000e+02 4.600000000000000000e+02 3.991738625993125344e-01 4.160156240059377786e-01 3.368352281325048998e-03 -1.133426425403584625e+00 2.037973716513125755e+00
4.600000000000000000e+02 4.650000000000000000e+02 4.160156240059377786e-01 4.419069658570013992e-01 5.178268370212723952e-03 -1.965987826291915042e+00 2.144806474657348083e+00
4.650000000000000000e+02 4.700000000000000000e+02 4.419069658570013992e-01 4.923550766390279443e-01 1.008962215640530832e-02 -4.249767336871467016e+00 2.335655106240073220e+00
4.700000000000000000e+02 4.750000000000000000e+02 4.923550766390279443e-01 6.348104236061836714e-01 2.849106939343114611e-02 -1.289844753827361146e+01 2.817913750613029400e+00
4.750000000000000000e+02 4.800000000000000000e+02 6.348104236061836714e-01 7.904981451908373868e-01 3.113754431693074171e-02 -1.415552312693592008e+01 3.563271421992552757e+00
4.800000000000000000e+02 4.850000000000000000e+02 7.904981451908373868e-01 8.619839479328915699e-01 1.429716054841083731e-02 -6.072138918046364076e+00 4.131205232809322503e+00
4.850000000000000000e+02 4.900000000000000000e+02 8.619839479328915699e-01 1.061484152121946467e+00 3.990004083781097804e-02 -1.848953585840543212e+01 4.808670250137094371e+00
4.900000000000000000e+02 4.950000000000000000e+02 1.061484152121946467e+00 1.230888808167300175e+00 3.388093120907074290e-02 -1.554017214032271710e+01 5.730932400723116160e+00
4.950000000000000000e+02 5.000000000000000000e+02 1.230888808167300175e+00 1.337724806989767590e+00 2.136719976449348232e-02 -9.345875075256973474e+00 6.421534037892668856e+00
5.000000000000000000e+02 5.050000000000000000e+02 1.337724806989767590e+00 1.463697117098633704e+00 2.519446202177322292e-02 -1.125950620389684431e+01 7.003554810221003457e+00
5.050000000000000000e+02 5.100000000000000000e+02 1.463697117098633704e+00 1.599562710837303614e+00 2.717311874773398195e-02 -1.225872785050702696e+01 7.658149569839842741e+00
5.100000000000000000e+02 5.150000000000000000e+02 1.599562710837303614e+00 1.706773167230528854e+00 2.144209127864504794e-02 -9.335903841271671055e+00 8.265839695169582058e+00
5.150000000000000000e+02 5.200000000000000000e+02 1.706773167230528854e+00 1.744793633477802253e+00 7.604093249454680140e-03 -2.209334856238631239e+00 8.628917001770828321e+00
5.200000000000000000e+02 5.250000000000000000e+02 1.744793633477802253e+00 1.911655542406718089e+00 3.337238178578316727e-02 -1.560884489512944562e+01 9.141122939711301854e+00
5.250000000000000000e+02 5.300000000000000000e+02 1.911655542406718089e+00 1.928933589692180650e+00 3.455609457092512389e-03 9.746057743314917587e-02 9.601472830247246293e+00
5.300000000000000000e+02 5.350000000000000000e+02 1.928933589692180650e+00 1.900295961548891244e+00 -5.727525628657881632e-03 4.964522172880857731e+00 9.573073878102679402e+00
5.350000000000000000e+02 5.400000000000000000e+02 1.900295961548891244e+00 1.802999999999997272e+00 -1.945919230977879305e-02 1.231096384728054538e+01 9.258239903872221177e+00
5.400000000000000000e+02 5.450000000000000000e+02 1.802999999999997272e+00 1.859048033636896635e+00 1.120960672737987204e-02 -4.250187632785134006e+00 9.155120084092233768e+00
5.450000000000000000e+02 5.500000000000000000e+02 1.859048033636896635e+00 1.792398735991910685e+00 -1.332985952899718926e-02 9.123821476940365827e+00 9.128616924072018080e+00
5.500000000000000000e+02 5.550000000000000000e+02 1.792398735991910685e+00 1.739828669107333914e+00 -1.051401337691535397e-02 7.575106093295355336e+00 8.830568512748111942e+00
5.550000000000000000e+02 5.600000000000000000e+02 1.739828669107333914e+00 1.589768824227710153e+00 -3.001196897592475071e-02 1.839647145074557244e+01 8.323993733337610834e+00
5.600000000000000000e+02 5.650000000000000000e+02 1.589768824227710153e+00 1.490370378767476911e+00 -1.987968909204664708e-02 1.272239471577383263e+01 7.700348007487967550e+00
5.650000000000000000e+02 5.700000000000000000e+02 1.490370378767476911e+00 1.384228405064720224e+00 -2.122839474055133666e-02 1.348441340717898207e+01 7.186496959580493282e+00
5.700000000000000000e+02 5.750000000000000000e+02 1.384228405064720224e+00 1.308481378697194719e+00 -1.514940527350510172e-02 1.001938941096262781e+01 6.731774459404786803e+00
5.750000000000000000e+02 5.800000000000000000e+02 1.308481378697194719e+00 1.171006640197479243e+00 -2.749494769994309529e-02 1.711807630616447540e+01 6.198720047236685460e+00
5.800000000000000000e+02 5.850000000000000000e+02 1.171006640197479243e+00 1.030048360455682710e+00 -2.819165594835930724e-02 1.752216709024587971e+01 5.502637501632905881e+00
5.850000000000000000e+02 5.900000000000000000e+02 1.030048360455682710e+00 8.380211978341028933e-01 -3.840543252431596194e-02 2.349722638718051826e+01 4.670173895724464508e+00
5.900000000000000000e+02 5.950000000000000000e+02 8.380211978341028933e-01 7.279335216784863505e-01 -2.201753523112330926e-02 1.382836698419685462e+01 3.914886798781473054e+00
5.950000000000000000e+02 6.000000000000000000e+02 7.279335216784863505e-01 5.772962522682367759e-01 -3.012745388204991423e-02 1.865376858149818418e+01 3.263074434866807927e+00
6.000000000000000000e+02 6.050000000000000000e+02 5.772962522682367759e-01 4.425423632938156326e-01 -2.695077779488423003e-02 1.674776292919877463e+01 2.549596538905131382e+00
6.050000000000000000e+02 6.100000000000000000e+02 4.425423632938156326e-01 3.371225721807927789e-01 -2.108395822260457006e-02 1.319833708796958049e+01 1.949162338686520890e+00
6.100000000000000000e+02 6.150000000000000000e+02 3.371225721807927789e-01 2.684421275179604272e-01 -1.373608893256647069e-02 8.716136821046340799e+00 1.513911749246882987e+00
6.150000000000000000e+02 6.200000000000000000e+02 2.684421275179604272e-01 2.231221126794255272e-01 -9.064002967706980343e-03 5.842803952657753541e+00 1.228910600493464900e+00
6.200000000000000000e+02 6.250000000000000000e+02 2.231221126794255272e-01 1.899740923943440407e-01 -6.629604057016296945e-03 4.333476628029529820e+00 1.032740512684423795e+00
6.250000000000000000e+02 6.300000000000000000e+02 1.899740923943440407e-01 1.760738824678921566e-01 -2.780041985290376653e-03 1.927500333200829585e+00 9.151199371555904793e-01
6.300000000000000000e+02 6.350000000000000000e+02 1.760738824678921566e-01 1.641983030571753654e-01 -2.375115882143358052e-03 1.672396888218207867e+00 8.506804638126688189e-01
6.350000000000000000e+02 6.400000000000000000e+02 1.641983030571753654e-01 1.552097618269885904e-01 -1.797708246037355061e-03 1.305743039290895746e+00 7.985201622104098895e-01
6.400000000000000000e+02 6.450000000000000000e+02 1.552097618269885904e-01 1.439673593311730504e-01 -2.248480499163108166e-03 1.594237281291377872e+00 7.479428028954040464e-01
6.450000000000000000e+02 6.500000000000000000e+02 1.439673593311730504e-01 1.304003718420712332e-01 -2.713397497820363262e-03 1.894108745425307383e+00 6.859193279331108339e-01
6.500000000000000000e+02 6.550000000000000000e+02 1.304003718420712332e-01 1.260662068957818238e-01 -8.668329892578818807e-04 6.938418148596945390e-01 6.411664468446326426e-01
6.550000000000000000e+02 6.600000000000000000e+02 1.260662068957818238e-01 1.362177361034324630e-01 2.030305841530127744e-03 -1.203784119306451794e+00 6.557098574980357863e-01
6.600000000000000000e+02 6.650000000000000000e+02 1.362177361034324630e-01 1.487043985556043835e-01 2.497332490434384187e-03 -1.512021707583260932e+00 7.123053366475919912e-01
6.650000000000000000e+02 6.700000000000000000e+02 1.487043985556043835e-01 1.628021444184210298e-01 2.819549172563329265e-03 -1.726295801199009494e+00 7.787663574350635054e-01
6.700000000000000000e+02 6.750000000000000000e+02 1.628021444184210298e-01 1.834378684384235791e-01 4.127144804000509523e-03 -2.602384874261920444e+00 8.656000321421114529e-01
6.750000000000000000e+02 6.800000000000000000e+02 1.834378684384235791e-01 2.016957996971644462e-01 3.651586251748173591e-03 -2.281382851491593478e+00 9.628341703389700079e-01
6.800000000000000000e+02 6.850000000000000000e+02 2.016957996971644462e-01 2.149554463077970878e-01 2.651929322126528495e-03 -1.601616139348874812e+00 1.041628115012403821e+00
6.850000000000000000e+02 6.900000000000000000e+02 2.149554463077970878e-01 2.383646715005519057e-01 4.681845038550963220e-03 -2.992108405099612956e+00 1.133300294520872553e+00
6.900000000000000000e+02 6.950000000000000000e+02 2.383646715005519057e-01 2.470839380908966543e-01 1.743853318068949720e-03 -9.648941179670234014e-01 1.213621523978621219e+00
6.950000000000000000e+02 7.000000000000000000e+02 2.470839380908966543e-01 7.438345935990119118e-02 -3.454009574619909539e-02 2.425245048169926676e+01 8.036684936269945512e-01
7.000000000000000000e+02 7.050000000000000000e+02 7.438345935990119118e-02 4.337435355183419730e-03 -1.400920480094355360e-02 9.880826820020388368e+00 1.968022367877115264e-01
7.050000000000000000e+02 7.100000000000000000e+02 4.337435355183419730e-03 3.566107357458164740e-04 -7.961649238875207705e-04 5.656337066958855297e-01 1.173511522732309000e-02
