#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -8.807945528096775596e-07 5.742361024445131834e-07 2.910061310508381274e-07 -1.100080936968739708e-04 -7.663961259129109407e-07
3.800000000000000000e+02 3.850000000000000000e+02 5.742361024445131834e-07 -7.616187204805868824e-07 -2.671709645850200132e-07 1.020992026447521201e-04 -4.684565450901842475e-07
3.850000000000000000e+02 3.900000000000000000e+02 -7.616187204805868824e-07 -5.737623799842123927e-06 -9.952010158723073454e-07 3.823907723903577035e-04 -1.624810630080677761e-05
3.900000000000000000e+02 3.950000000000000000e+02 -5.737623799842123927e-06 -2.464403467472552953e-06 6.546440664739142160e-07 -2.610488097246687158e-04 -2.050506816828669029e-05
3.950000000000000000e+02 4.000000000000000000e+02 -2.464403467472552953e-06 9.313088410334488982e-09 4.947433111765775589e-07 -1.978880113822206732e-04 -6.137725947655545808e-06
4.000000000000000000e+02 4.050000000000000000e+02 9.313088410334488982e-09 -6.475567302743794523e-06 -1.296976078230825661e-06 5.187997443807406588e-04 -1.616563553583365122e-05
4.050000000000000000e+02 4.100000000000000000e+02 -6.475567302743794523e-06 1.146400554440308567e-05 3.587914569429376038e-06 -1.459580967921641093e-03 1.247109560414822786e-05
4.100000000000000000e+02 4.150000000000000000e+02 1.146400554440308567e-05 9.186966868921053433e-06 -4.554077350964064468e-07 1.981811769339297390e-04 5.162743103331034775e-05
4.150000000000000000e+02 4.200000000000000000e+02 9.186966868921053433e-06 -1.841815235889774002e-06 -2.205756420962165487e-06 9.245758815682197538e-04 1.836287908257819667e-05
4.200000000000000000e+02 4.250000000000000000e+02 -1.841815235889774002e-06 -1.939044145865421450e-05 -3.509725244552888185e-06 1.472242787476323424e-03 -5.308064173635996809e-05
4.250000000000000000e+02 4.300000000000000000e+02 -1.939044145865421450e-05 3.952412451714006433e-05 1.178291319515885509e-05 -5.027128549401168288e-03 5.033420764621462457e-05
4.300000000000000000e+02 4.350000000000000000e+02 3.952412451714006433e-05 5.510049350488823827e-05 3.115273797549634788e-06 -1.300043608429202928e-03 2.365615450550707260e-04
4.350000000000000000e+02 4.400000000000000000e+02 5.510049350488823827e-05 6.338326693485488899e-04 1.157464351687321439e-04 -5.029459880489359214e-02 1.722332907133592664e-03
4.400000000000000000e+02 4.450000000000000000e+02 6.338326693485488899e-04 6.218664653696066857e-02 1.231056277352242379e-02 -5.416013787680517666e+00 1.570511980157730525e-01
4.450000000000000000e+02 4.500000000000000000e+02 6.218664653696066857e-02 7.674023064835014951e-01 1.410431319893081514e-01 -6.270200708870516593e+01 2.073972382551155569e+00
4.500000000000000000e+02 4.550000000000000000e+02 7.674023064835014951e-01 8.784833293424235690e-01 2.221620457178441477e-02 -9.229889750819486594e+00 4.114714089564812660e+00
4.550000000000000000e+02 4.600000000000000000e+02 8.784833293424235690e-01 8.976572681899609440e-01 3.834787769507475193e-03 -8.663451057834775648e-01 4.440351493830961616e+00
4.600000000000000000e+02 4.650000000000000000e+02 8.976572681899609440e-01 9.183203879323560415e-01 4.132623948479019482e-03 -1.003349748110387907e+00 4.539944140305792963e+00
4.650000000000000000e+02 4.700000000000000000e+02 9.183203879323560415e-01 9.252104711507483925e-01 1.378016643678470253e-03 2.775426486218673938e-01 4.608827147707761362e+00
4.700000000000000000e+02 4.750000000000000000e+02 9.252104711507483925e-01 9.473427662983653352e-01 4.426459029523388718e-03 -1.155225272725244112e+00 4.681383093622784486e+00
4.750000000000000000e+02 4.800000000000000000e+02 9.473427662983653352e-01 9.726260029450140010e-01 5.056647329329732807e-03 -1.454564715133257913e+00 4.799921923108448674e+00
4.800000000000000000e+02 4.850000000000000000e+02 9.726260029450140010e-01 9.822123905573197922e-01 1.917277522461158321e-03 5.233279216365804842e-02 4.887095983755834538e+00
4.850000000000000000e+02 4.900000000000000000e+02 9.822123905573197922e-01 9.966953032430675430e-01 2.896582537149550076e-03 -4.226301399602120368e-01 4.947269234500968338e+00
4.900000000000000000e+02 4.950000000000000000e+02 9.966953032430675430e-01 9.955316679606465158e-01 -2.327270564842054521e-04 1.110731560920328320e+00 4.980567428009284647e+00
4.950000000000000000e+02 5.000000000000000000e+02 9.955316679606465158e-01 1.000000000000000000e+00 8.936664078706968439e-04 5.531667960646515780e-01 4.988829169901616289e+00
5.000000000000000000e+02 5.050000000000000000e+02 1.000000000000000000e+00 9.891318591376691005e-01 -2.173628172466179724e-03 2.086814086233089949e+00 4.972829647844172030e+00
5.050000000000000000e+02 5.100000000000000000e+02 9.891318591376691005e-01 9.777950384011371288e-01 -2.267364147306394524e-03 2.134150753527398248e+00 4.917317243847016073e+00
5.100000000000000000e+02 5.150000000000000000e+02 9.777950384011371288e-01 9.952974759860994114e-01 3.500487516992456700e-03 -8.074535952650158110e-01 4.932731285968091406e+00
5.150000000000000000e+02 5.200000000000000000e+02 9.952974759860994114e-01 9.874152238754191346e-01 -1.576450422136055352e-03 1.807169443386167806e+00 4.956781749653796254e+00
5.200000000000000000e+02 5.250000000000000000e+02 9.874152238754191346e-01 9.725229537597320784e-01 -2.978454023137411429e-03 2.536211315906872876e+00 4.899845444087878477e+00
5.250000000000000000e+02 5.300000000000000000e+02 9.725229537597320784e-01 9.750286039052292741e-01 5.011300290994391343e-04 7.094296884825265215e-01 4.868878894162403270e+00
5.300000000000000000e+02 5.350000000000000000e+02 9.750286039052292741e-01 9.615208895051945426e-01 -2.701542880006946139e-03 2.406846330308910709e+00 4.841373733526060263e+00
5.350000000000000000e+02 5.400000000000000000e+02 9.615208895051945426e-01 9.670757615826749420e-01 1.110974415496079849e-03 3.671495772147918002e-01 4.821491627719673545e+00
5.400000000000000000e+02 5.450000000000000000e+02 9.670757615826749420e-01 9.752440043001580072e-01 1.633648543496613080e-03 8.490554809450390206e-02 4.855799414707082207e+00
5.450000000000000000e+02 5.500000000000000000e+02 9.752440043001580072e-01 9.549563115297208249e-01 -4.057538554087436813e-03 3.186602516277810881e+00 4.825500789574697080e+00
5.500000000000000000e+02 5.550000000000000000e+02 9.549563115297208249e-01 9.304076067430706587e-01 -4.909740957330033066e-03 3.655313838061239107e+00 4.713409795681978487e+00
5.550000000000000000e+02 5.600000000000000000e+02 9.304076067430706587e-01 9.197279933967312804e-01 -2.135922669267875662e-03 2.115844688186741429e+00 4.625339000349504737e+00
5.600000000000000000e+02 5.650000000000000000e+02 9.197279933967312804e-01 8.910992659798276927e-01 -5.725745483380717364e-03 4.126145464089932879e+00 4.527068148441397710e+00
5.650000000000000000e+02 5.700000000000000000e+02 8.910992659798276927e-01 8.722658740852348158e-01 -3.766678378918575203e-03 3.019272550068822891e+00 4.408412850162656049e+00
5.700000000000000000e+02 5.750000000000000000e+02 8.722658740852348158e-01 8.696442293040405058e-01 -5.243289562388619767e-04 1.171133379141386044e+00 4.354775258473187804e+00
5.750000000000000000e+02 5.800000000000000000e+02 8.696442293040405058e-01 8.642453196721714415e-01 -1.079781926373812873e-03 1.490518836968982797e+00 4.334723872440529924e+00
5.800000000000000000e+02 5.850000000000000000e+02 8.642453196721714415e-01 8.382945325369233203e-01 -5.190157427049623892e-03 3.874536627360953389e+00 4.256349630522736405e+00
5.850000000000000000e+02 5.900000000000000000e+02 8.382945325369233203e-01 8.028347702360160154e-01 -7.091952460181460971e-03 4.987086721743078321e+00 4.102823256932348173e+00
5.900000000000000000e+02 5.950000000000000000e+02 8.028347702360160154e-01 8.035653019699309230e-01 1.461063467829815219e-04 7.166320256340569239e-01 4.016000180514867068e+00
5.950000000000000000e+02 6.000000000000000000e+02 8.035653019699309230e-01 8.038154320633718042e-01 5.002601868817624229e-05 7.737998208504660580e-01 4.018451835083256540e+00
6.000000000000000000e+02 6.050000000000000000e+02 8.038154320633718042e-01 7.609249289187456355e-01 -8.578100628925233034e-03 5.950675809418511264e+00 3.911850902455293877e+00
6.050000000000000000e+02 6.100000000000000000e+02 7.609249289187456355e-01 7.400534910957992096e-01 -4.174287564589285529e-03 3.286368905495263171e+00 3.752446050036362113e+00
6.100000000000000000e+02 6.150000000000000000e+02 7.400534910957992096e-01 7.334507146937652156e-01 -1.320555280406798858e-03 1.545592212143946487e+00 3.683760514473910952e+00
6.150000000000000000e+02 6.200000000000000000e+02 7.334507146937652156e-01 7.125195944931439485e-01 -4.186224040124253420e-03 3.307978499370181069e+00 3.614925772967272799e+00
6.200000000000000000e+02 6.250000000000000000e+02 7.125195944931439485e-01 7.027391611375183311e-01 -1.956086671125123466e-03 1.925293330590720497e+00 3.538146889076655199e+00
6.250000000000000000e+02 6.300000000000000000e+02 7.027391611375183311e-01 6.858883631294503402e-01 -3.370159601613598090e-03 2.809088912146016970e+00 3.471568810667421623e+00
6.300000000000000000e+02 6.350000000000000000e+02 6.858883631294503402e-01 6.607084246797733096e-01 -5.035987689935406131e-03 3.858560607788755981e+00 3.366491969523059069e+00
6.350000000000000000e+02 6.400000000000000000e+02 6.607084246797733096e-01 6.569571441130340750e-01 -7.502561133478468768e-04 1.137121056655656215e+00 3.294163921982018461e+00
6.400000000000000000e+02 6.450000000000000000e+02 6.569571441130340750e-01 6.481405117266568761e-01 -1.763326477275439829e-03 1.785486089569315649e+00 3.262744139599227378e+00
6.450000000000000000e+02 6.500000000000000000e+02 6.481405117266568761e-01 6.135172422171233375e-01 -6.924653901906707536e-03 5.114542278456483793e+00 3.154144384859450589e+00
6.500000000000000000e+02 6.550000000000000000e+02 6.135172422171233375e-01 5.942081802070898755e-01 -3.861812402006692315e-03 3.123695303521473399e+00 3.019313556060533088e+00
6.550000000000000000e+02 6.600000000000000000e+02 5.942081802070898755e-01 5.884882044968672288e-01 -1.143995142044529432e-03 1.343524998246256708e+00 2.956740961759892983e+00
6.600000000000000000e+02 6.650000000000000000e+02 5.884882044968672288e-01 5.715811467467796225e-01 -3.381411550017521077e-03 2.820219827508431365e+00 2.900173378109117017e+00
6.650000000000000000e+02 6.700000000000000000e+02 5.715811467467796225e-01 5.499764046372168647e-01 -4.320948421912551574e-03 3.445011847318626863e+00 2.803893878459990940e+00
6.700000000000000000e+02 6.750000000000000000e+02 5.499764046372168647e-01 5.313984331961871810e-01 -3.715594288205936561e-03 3.039424577735194255e+00 2.703437094583510003e+00
6.750000000000000000e+02 6.800000000000000000e+02 5.313984331961871810e-01 5.222179712650319994e-01 -1.836092386231036409e-03 1.770760793902136587e+00 2.634041011153047673e+00
6.800000000000000000e+02 6.850000000000000000e+02 5.222179712650319994e-01 5.168741462393749986e-01 -1.068765005131400245e-03 1.248978174754384218e+00 2.597730293761017606e+00
6.850000000000000000e+02 6.900000000000000000e+02 5.168741462393749986e-01 5.002104185332980624e-01 -3.332745541215387415e-03 2.799804841971915259e+00 2.542711411931683152e+00
6.900000000000000000e+02 6.950000000000000000e+02 5.002104185332980624e-01 4.606002373239119208e-01 -7.922036241877228671e-03 5.966415425428586161e+00 2.402026639643024986e+00
6.950000000000000000e+02 7.000000000000000000e+02 4.606002373239119208e-01 1.286629353219365668e-01 -6.638746040039507357e-02 4.659988521559848351e+01 1.473157931614621274e+00
7.000000000000000000e+02 7.050000000000000000e+02 1.286629353219365668e-01 7.124010051156880879e-03 -2.430778505415593510e-02 1.714411247323109322e+01 3.394673634327335932e-01
7.050000000000000000e+02 7.100000000000000000e+02 7.124010051156880879e-03 5.724605675201472005e-04 -1.310309896727346627e-03 9.308924872439362508e-01 1.924117654669257188e-02
7.100000000000000000e+02 7.150000000000000000e+02 5.724605675201472005e-04 7.748260152616541344e-05 -9.899559319879636826e-05 7.085933173866557078e-02 1.624857922615781467e-03
7.150000000000000000e+02 7.200000000000000000e+02 7.748260152616541344e-05 6.749075853662805683e-06 -1.414670513450052257e-05 1.019237677269403848e-02 2.105791934495705351e-04
7.200000000000000000e+02 7.250000000000000000e+02 6.749075853662805683e-06 3.969700717607955606e-06 -5.558750272109700577e-07 4.069790954455612523e-04 2.679694142817690280e-05
7.250000000000000000e+02 7.300000000000000000e+02 3.969700717607955606e-06 1.133887368175076607e-06 -5.671626698865757786e-07 4.151626363853753933e-04 1.275897021445758064e-05
7.300000000000000000e+02 7.350000000000000000e+02 1.133887368175076607e-06 5.568162334950939599e-07 -1.154142269359965295e-07 8.538627303145254798e-05 4.226759004175426312e-06
7.350000000000000000e+02 7.400000000000000000e+02 5.568162334950939599e-07 6.504725366687495667e-09 -1.100623016256812978e-07 8.145260792837084375e-05 1.408302397154453749e-06
7.400000000000000000e+02 7.450000000000000000e+02 6.504725366687495667e-09 -4.569718917212263454e-06 -9.152447285157901056e-07 6.772876038270513434e-04 -1.140803547961394000e-05
