#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -8.890740216061005476e-07 6.570983720272571479e-07 3.092344787266715391e-07 -1.168520035441079311e-04 -5.799391239471084990e-07
3.800000000000000000e+02 3.850000000000000000e+02 6.570983720272571479e-07 -7.542690998279514698e-07 -2.822734943710416918e-07 1.079210262330231040e-04 -2.429268195017358045e-07
3.850000000000000000e+02 3.900000000000000000e+02 -7.542690998279514698e-07 -7.028589154806602552e-06 -1.254864010995730153e-06 4.823683751335281367e-04 -1.945714563658638860e-05
3.900000000000000000e+02 3.950000000000000000e+02 -7.028589154806602552e-06 -3.054628097932210695e-06 7.947922113748783713e-07 -3.169975515910092106e-04 -2.520804313184703523e-05
3.950000000000000000e+02 4.000000000000000000e+02 -3.054628097932210695e-06 1.538522205387257567e-08 6.140026639972166442e-07 -2.455856803768327688e-04 -7.598107189695845899e-06
4.000000000000000000e+02 4.050000000000000000e+02 1.538522205387257567e-08 -1.060050367459159404e-05 -2.123177779329093291e-06 8.492864969536911834e-04 -2.646279613134430595e-05
4.050000000000000000e+02 4.100000000000000000e+02 -1.060050367459159404e-05 1.838826489322254118e-05 5.797753713562827044e-06 -2.358690757667536442e-03 1.946940304657736787e-05
4.100000000000000000e+02 4.150000000000000000e+02 1.838826489322254118e-05 1.596235493475032979e-05 -4.851819916944423212e-07 2.173128814879438857e-04 8.587654956993218082e-05
4.150000000000000000e+02 4.200000000000000000e+02 1.596235493475032979e-05 -3.189103080943151114e-06 -3.830291603138696265e-06 1.605533370237309260e-03 3.193312963451794436e-05
4.200000000000000000e+02 4.250000000000000000e+02 -3.189103080943151114e-06 -3.361333026857714009e-05 -6.084845437526797881e-06 2.552445980680311671e-03 -9.200608337380072866e-05
4.250000000000000000e+02 4.300000000000000000e+02 -3.361333026857714009e-05 5.163826868164348512e-05 1.705031979004412369e-05 -7.279999241037329524e-03 4.506234603266586256e-05
4.300000000000000000e+02 4.350000000000000000e+02 5.163826868164348512e-05 9.358818821805263356e-05 8.389983907281829350e-06 -3.556054811449543308e-03 3.630661422492402696e-04
4.350000000000000000e+02 4.400000000000000000e+02 9.358818821805263356e-05 1.122517657416284998e-03 2.057858938396464729e-04 -8.942327563202816243e-02 3.040264614085843795e-03
4.400000000000000000e+02 4.450000000000000000e+02 1.122517657416284998e-03 1.180924417736883697e-01 2.339398482325441564e-02 -1.029223080457452610e+01 2.980373985777616808e-01
4.450000000000000000e+02 4.500000000000000000e+02 1.180924417736883697e-01 1.601952314784313769e+00 2.967719746021250660e-01 -1.319454362561719734e+02 4.300111891395005159e+00
4.500000000000000000e+02 4.550000000000000000e+02 1.601952314784313769e+00 1.764433766984259133e+00 3.249629043998907008e-02 -1.302137838321076657e+01 8.415965204421432588e+00
4.550000000000000000e+02 4.600000000000000000e+02 1.764433766984259133e+00 1.819102453986956247e+00 1.093373740053942347e-02 -3.210416750261178009e+00 8.958840552428037896e+00
4.600000000000000000e+02 4.650000000000000000e+02 1.819102453986956247e+00 1.846742300131967385e+00 5.527969229002227536e-03 -7.237633913540684194e-01 9.164611885297308191e+00
4.650000000000000000e+02 4.700000000000000000e+02 1.846742300131967385e+00 1.790744866912271194e+00 -1.119948664393923855e-02 7.054503589563712929e+00 9.093717917610597112e+00
