#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -3.614446811651351868e-07 2.336744267546176710e-07 1.190238215839505689e-07 -4.499537777514659928e-05 -3.194256360262938027e-07
3.800000000000000000e+02 3.850000000000000000e+02 2.336744267546176710e-07 -2.897842256435059830e-07 -1.046917304796247387e-07 4.001653200901201688e-05 -1.402744972222207668e-07
3.850000000000000000e+02 3.900000000000000000e+02 -2.897842256435059830e-07 -1.946871258720478257e-06 -3.314174066153944760e-07 1.273059173212833612e-04 -5.591638710909961553e-06
3.900000000000000000e+02 3.950000000000000000e+02 -1.946871258720478257e-06 -7.156039904661688675e-07 2.462534536508618673e-07 -9.798571818255661530e-05 -6.656188122966616858e-06
3.950000000000000000e+02 4.000000000000000000e+02 -7.156039904661688675e-07 2.425129868817474921e-09 1.436058240669972546e-07 -5.743990449693008260e-05 -1.782947151493378642e-06
4.000000000000000000e+02 4.050000000000000000e+02 2.425129868817474921e-09 -1.406979440593902018e-06 -2.818809140925439218e-07 1.127547907668863909e-04 -3.511385776812711201e-06
4.050000000000000000e+02 4.100000000000000000e+02 -1.406979440593902018e-06 2.088554150748799695e-06 6.991067182685403849e-07 -2.845452003393527263e-04 1.703936775387244191e-06
4.100000000000000000e+02 4.150000000000000000e+02 2.088554150748799695e-06 1.396510566277506090e-06 -1.384087168942587209e-07 5.883612807739487823e-05 8.712661792565764567e-06
4.150000000000000000e+02 4.200000000000000000e+02 1.396510566277506090e-06 -2.336283209353519101e-07 -3.260277774425716424e-07 1.366980382049447261e-04 2.907205613355385185e-06
4.200000000000000000e+02 4.250000000000000000e+02 -2.336283209353519101e-07 -2.047400134698262555e-06 -3.627543627525821395e-07 1.521232040351491483e-04 -5.702571139084035686e-06
4.250000000000000000e+02 4.300000000000000000e+02 -2.047400134698262555e-06 3.511148472126587599e-06 1.111709721364969861e-06 -4.745240317148105048e-04 3.659370843570812398e-06
4.300000000000000000e+02 4.350000000000000000e+02 3.511148472126587599e-06 4.169440938878152414e-06 1.316584933503129632e-07 -5.310200366850798952e-05 1.920147352751185024e-05
4.350000000000000000e+02 4.400000000000000000e+02 4.169440938878152414e-06 4.095464138113379235e-05 7.357040088451128664e-06 -3.196142997537362949e-03 1.128102058000298488e-04
4.400000000000000000e+02 4.450000000000000000e+02 4.095464138113379235e-05 3.424313889064039846e-03 6.766718495365812731e-04 -2.976946591547146026e-01 8.663171326112934292e-03
4.450000000000000000e+02 4.500000000000000000e+02 3.424313889064039846e-03 3.510609257382127368e-02 6.336355736951446160e-03 -2.816253989054329221e+00 9.632601615721328447e-02
4.500000000000000000e+02 4.550000000000000000e+02 3.510609257382127368e-02 3.413132033210003469e-02 -1.949544483442477993e-04 1.228355943287327834e-01 1.730935322648032848e-01
4.550000000000000000e+02 4.600000000000000000e+02 3.413132033210003469e-02 3.093743909398136496e-02 -6.387762476237339882e-04 3.247745130008990455e-01 1.626718985652034766e-01
4.600000000000000000e+02 4.650000000000000000e+02 3.093743909398136496e-02 2.957854636662890502e-02 -2.717785454704919890e-04 1.559555700104076903e-01 1.512899636515256663e-01
4.650000000000000000e+02 4.700000000000000000e+02 2.957854636662890502e-02 2.970016182669793850e-02 2.432309201380669707e-05 1.826830858020879120e-02 1.481967704833170862e-01
4.700000000000000000e+02 4.750000000000000000e+02 2.970016182669793850e-02 3.187416573661128877e-02 4.348007819826700754e-04 -1.746562057051569972e-01 1.539358189082730699e-01
4.750000000000000000e+02 4.800000000000000000e+02 3.187416573661128877e-02 3.333253347218892437e-02 2.916735471155271426e-04 -1.066707691432640936e-01 1.630167480220005016e-01
4.800000000000000000e+02 4.850000000000000000e+02 3.333253347218892437e-02 3.213904813345500044e-02 -2.386970677467847802e-04 1.479071259906456215e-01 1.636789540141098120e-01
4.850000000000000000e+02 4.900000000000000000e+02 3.213904813345500044e-02 2.938800483163980098e-02 -5.502086603630399137e-04 2.989902484095293134e-01 1.538176324127369932e-01
4.900000000000000000e+02 4.950000000000000000e+02 2.938800483163980098e-02 2.782203865435044568e-02 -3.131932354578710500e-04 1.828526902059966208e-01 1.430251087149756184e-01
4.950000000000000000e+02 5.000000000000000000e+02 2.782203865435044568e-02 2.696916809824582290e-02 -1.705741112209245569e-04 1.122562237087081083e-01 1.369780168814906940e-01
5.000000000000000000e+02 5.050000000000000000e+02 2.696916809824582290e-02 2.572165969193489568e-02 -2.495016812621854538e-04 1.517200087293385513e-01 1.317270694754518190e-01
5.050000000000000000e+02 5.100000000000000000e+02 2.572165969193489568e-02 2.707189439673055725e-02 2.700469409591323036e-04 -1.106520454924269370e-01 1.319838852216636549e-01
5.100000000000000000e+02 5.150000000000000000e+02 2.707189439673055725e-02 3.474830953470727651e-02 1.535283027595343896e-03 -7.559224496768948143e-01 1.545505098285945844e-01
5.150000000000000000e+02 5.200000000000000000e+02 3.474830953470727651e-02 4.718829213225320118e-02 2.487996519509184934e-03 -1.246569898012522826e+00 2.048415041674012116e-01
5.200000000000000000e+02 5.250000000000000000e+02 4.718829213225320118e-02 5.896944172236205650e-02 2.356229918021771064e-03 -1.178051265239067780e+00 2.653943346365381650e-01
5.250000000000000000e+02 5.300000000000000000e+02 5.896944172236205650e-02 6.073860399203209054e-02 3.538324539340068076e-04 -1.267925965929914967e-01 2.992701142859853780e-01
5.300000000000000000e+02 5.350000000000000000e+02 6.073860399203209054e-02 4.806742493736981120e-02 -2.534235810932455868e-03 1.403883583786233791e+00 2.720150723235047474e-01
5.350000000000000000e+02 5.400000000000000000e+02 4.806742493736981120e-02 3.209847644162049790e-02 -3.193789699149862833e-03 1.756744913982546397e+00 2.004147534474757797e-01
5.400000000000000000e+02 5.450000000000000000e+02 3.209847644162049790e-02 1.991232251426435299e-02 -2.437230785471229157e-03 1.348203100596084170e+00 1.300269973897121289e-01
5.450000000000000000e+02 5.500000000000000000e+02 1.991232251426435299e-02 1.429255283979315172e-02 -1.123953934894240166e-03 6.324672170316252284e-01 8.551218838514375309e-02
5.500000000000000000e+02 5.550000000000000000e+02 1.429255283979315172e-02 1.294295837611498211e-02 -2.699188927356339115e-04 1.627479438443917847e-01 6.808877803977034238e-02
5.550000000000000000e+02 5.600000000000000000e+02 1.294295837611498211e-02 1.558166122672956060e-02 5.277405701229157409e-04 -2.799530580421032422e-01 7.131154900711135503e-02
5.600000000000000000e+02 5.650000000000000000e+02 1.558166122672956060e-02 2.552902830328845213e-02 1.989473415311778307e-03 -1.098523451347866331e+00 1.027767238250450327e-01
5.650000000000000000e+02 5.700000000000000000e+02 2.552902830328845213e-02 5.649038573393582591e-02 6.192271486129474409e-03 -3.473104361359864889e+00 2.050485350930607020e-01
5.700000000000000000e+02 5.750000000000000000e+02 5.649038573393582591e-02 1.620962027836120589e-01 2.112116340993524383e-02 -1.198257275792915344e+01 5.464664712938697155e-01
5.750000000000000000e+02 5.800000000000000000e+02 1.620962027836120589e-01 4.279032140298884568e-01 5.316140224925527263e-02 -3.040571009053816809e+01 1.474998542033751470e+00
5.800000000000000000e+02 5.850000000000000000e+02 4.279032140298884568e-01 7.367398204533687212e-01 6.176732128469605149e-02 -3.539714313109382715e+01 2.911607586208142973e+00
5.850000000000000000e+02 5.900000000000000000e+02 7.367398204533687212e-01 9.067383671620693475e-01 3.399970934174012527e-02 -1.915309014446460267e+01 4.108695469038595505e+00
5.900000000000000000e+02 5.950000000000000000e+02 9.067383671620693475e-01 9.774021675820193655e-01 1.413276008399000361e-02 -7.431590082392032670e+00 4.710351336860221672e+00
5.950000000000000000e+02 6.000000000000000000e+02 9.774021675820193655e-01 9.957913726063292170e-01 3.677841004861970471e-03 -1.210913230310852962e+00 4.932983850470870735e+00
6.000000000000000000e+02 6.050000000000000000e+02 9.957913726063292170e-01 9.964886184190892005e-01 1.394491625519966968e-04 9.121218750751312054e-01 4.980699977563546099e+00
6.050000000000000000e+02 6.100000000000000000e+02 9.964886184190892005e-01 1.000000000000000000e+00 7.022763161821599315e-04 5.716114471288824550e-01 4.991221546047722946e+00
6.100000000000000000e+02 6.150000000000000000e+02 1.000000000000000000e+00 9.693415811638588231e-01 -6.131683767228235556e-03 4.740327098009223583e+00 4.923353952909646836e+00
6.150000000000000000e+02 6.200000000000000000e+02 9.693415811638588231e-01 9.325670432590572601e-01 -7.354907580960312781e-03 5.492609743454451632e+00 4.754771561057290263e+00
6.200000000000000000e+02 6.250000000000000000e+02 9.325670432590572601e-01 9.332890203428380049e-01 1.443954167561489754e-04 8.430418848702448953e-01 4.664640159004738607e+00
6.250000000000000000e+02 6.300000000000000000e+02 9.332890203428380049e-01 9.136946448878281446e-01 -3.918875091001972066e-03 3.382585952219070435e+00 4.617459163076665263e+00
6.300000000000000000e+02 6.350000000000000000e+02 9.136946448878281446e-01 8.842359569361432081e-01 -5.891737590336986949e-03 4.625489326800130030e+00 4.494826504559928715e+00
6.350000000000000000e+02 6.400000000000000000e+02 8.842359569361432081e-01 8.782632925840240246e-01 -1.194532870423836626e-03 1.642764329655279631e+00 4.406248123800418526e+00
6.400000000000000000e+02 6.450000000000000000e+02 8.782632925840240246e-01 8.509560829955499228e-01 -5.461441917694820347e-03 4.373586119908709158e+00 4.323048438948934979e+00
6.450000000000000000e+02 6.500000000000000000e+02 8.509560829955499228e-01 8.084052604466127612e-01 -8.510164509787431636e-03 6.340012191808442665e+00 4.148403358605406765e+00
6.500000000000000000e+02 6.550000000000000000e+02 8.084052604466127612e-01 7.998991256373958469e-01 -1.701226961843382846e-03 1.914202785644811833e+00 4.020760965210021354e+00
6.550000000000000000e+02 6.600000000000000000e+02 7.998991256373958469e-01 7.909308366220255682e-01 -1.793657803074055757e-03 1.974744986650902367e+00 3.977074905648553482e+00
6.600000000000000000e+02 6.650000000000000000e+02 7.909308366220255682e-01 7.569501878247035798e-01 -6.796129759464397332e-03 5.276376477868527815e+00 3.869702561116822981e+00
6.650000000000000000e+02 6.700000000000000000e+02 7.569501878247035798e-01 7.346390747062161442e-01 -4.462222623697486949e-03 3.724328232583532738e+00 3.728973156327299421e+00
6.700000000000000000e+02 6.750000000000000000e+02 7.346390747062161442e-01 7.228251857563785521e-01 -2.362777789967518416e-03 2.317700193984453705e+00 3.643660651156486630e+00
6.750000000000000000e+02 6.800000000000000000e+02 7.228251857563785521e-01 6.927034604258259787e-01 -6.024345066110515026e-03 4.789258105380976183e+00 3.538821615455511438e+00
6.800000000000000000e+02 6.850000000000000000e+02 6.927034604258259787e-01 6.610544116245630208e-01 -6.329809760252591393e-03 4.996974097397587578e+00 3.384394680125972776e+00
6.850000000000000000e+02 6.900000000000000000e+02 6.610544116245630208e-01 6.465784929904847544e-01 -2.895183726815653193e-03 2.644255264493285296e+00 3.269082261537619161e+00
6.900000000000000000e+02 6.950000000000000000e+02 6.465784929904847544e-01 6.136031305207246822e-01 -6.595072493952014274e-03 5.197178513817374501e+00 3.150454058778024091e+00
6.950000000000000000e+02 7.000000000000000000e+02 6.136031305207246822e-01 1.729497732520707265e-01 -8.813067145373079669e-02 6.186441979086362863e+01 1.966382259431988633e+00
7.000000000000000000e+02 7.050000000000000000e+02 1.729497732520707265e-01 9.321634467574830066e-03 -3.272562775689917547e-02 2.308088920308149383e+01 4.556785192991139044e-01
7.050000000000000000e+02 7.100000000000000000e+02 9.321634467574830066e-03 7.420287831698172375e-04 -1.715921136881002436e-03 1.219046035968681663e+00 2.515915812686161934e-02
7.100000000000000000e+02 7.150000000000000000e+02 7.420287831698172375e-04 1.030676325148165184e-04 -1.277922301310001384e-04 9.147451217617991182e-02 2.112741039211584512e-03
7.150000000000000000e+02 7.200000000000000000e+02 1.030676325148165184e-04 9.177006935471049246e-06 -1.877812511586909348e-05 1.352942709036121689e-02 2.806115986257189283e-04
7.200000000000000000e+02 7.250000000000000000e+02 9.177006935471049246e-06 5.391361170387981879e-06 -7.571291530166134946e-07 5.543099971074327620e-04 3.642092026464757400e-05
7.250000000000000000e+02 7.300000000000000000e+02 5.391361170387981879e-06 1.536520992617966382e-06 -7.709680355540030571e-07 5.643431869470402328e-04 1.731970540751487256e-05
7.300000000000000000e+02 7.350000000000000000e+02 1.536520992617966382e-06 7.528498172771002570e-07 -1.567342350681732197e-07 1.159525125923844223e-04 5.723427024737665644e-06
7.350000000000000000e+02 7.400000000000000000e+02 7.528498172771002570e-07 8.822520903341556690e-09 -1.488054592747517450e-07 1.101248623842196364e-04 1.904180845451104538e-06
7.400000000000000000e+02 7.450000000000000000e+02 8.822520903341556690e-09 -6.219843314844169485e-06 -1.245733167149502082e-06 9.218513662115348454e-04 -1.552755198485207162e-05
7.450000000000000000e+02 7.500000000000000000e+02 -6.219843314844169485e-06 5.167379909709762503e-06 2.277444644910786313e-06 -1.702916103773379928e-03 -2.631158512836017455e-06
7.500000000000000000e+02 7.550000000000000000e+02 5.167379909709762503e-06 -6.435822564887812049e-06 -2.320640494919514826e-06 1.745647751099345824e-03 -3.171106637945123864e-06
7.550000000000000000e+02 7.600000000000000000e+02 -6.435822564887812049e-06 6.272493168781016547e-07 1.412614376353182762e-06 -1.072959676711540819e-03 -1.452143312002427710e-05
7.600000000000000000e+02 7.650000000000000000e+02 6.272493168781016547e-07 6.081162421110074745e-07 -3.826614953418835709e-09 3.535476681476416939e-06 3.088413897472772558e-06
7.650000000000000000e+02 7.700000000000000000e+02 6.081162421110074745e-07 -1.206918768056794553e-06 -3.630070020335603949e-07 2.783084727977847071e-04 -1.497006314864467697e-06
7.700000000000000000e+02 7.750000000000000000e+02 -1.206918768056794553e-06 1.124454425932302852e-06 4.662746387978194281e-07 -3.602383906423777416e-04 -2.061608553112292522e-07
7.750000000000000000e+02 7.800000000000000000e+02 1.124454425932302852e-06 1.105210506960905109e-06 -3.848783794279548920e-09 4.107261866498953220e-06 5.574162332233019692e-06
7.800000000000000000e+02 7.850000000000000000e+02 1.105210506960905109e-06 5.128954751346387362e-07 -1.184630063652532746e-07 9.350635547185845995e-05 4.045264955238859137e-06
7.850000000000000000e+02 7.900000000000000000e+02 5.128954751346387362e-07 4.923954350228296548e-07 -4.100008022361816605e-09 3.731401772688664511e-06 2.513227275393670713e-06
7.900000000000000000e+02 7.950000000000000000e+02 4.923954350228296548e-07 1.485653025095603107e-06 1.986515180145546957e-07 -1.564423037964753798e-04 4.945121150296081375e-06
7.950000000000000000e+02 8.000000000000000000e+02 1.485653025095603107e-06 -1.337179807293373463e-06 -5.645665664777953139e-07 4.503160733749428705e-04 3.711830445055741106e-07
8.000000000000000000e+02 8.050000000000000000e+02 -1.337179807293373463e-06 1.190746356115627265e-08 2.698174541709059361e-07 -2.171911431440181380e-04 -3.313180859330542767e-06
8.050000000000000000e+02 8.100000000000000000e+02 1.190746356115627265e-08 4.606375688397819572e-06 9.188936449673326179e-07 -7.396974767351415870e-04 1.154570787989743876e-05
8.100000000000000000e+02 8.150000000000000000e+02 4.606375688397819572e-06 -2.426634042282180784e-06 -1.406601946136000114e-06 1.143953952058557929e-03 5.449354115289096971e-06
8.150000000000000000e+02 8.200000000000000000e+02 -2.426634042282180784e-06 -1.126111086955043080e-06 2.601045910654275619e-07 -2.144118757606056536e-04 -8.881862823093060084e-06
8.200000000000000000e+02 8.250000000000000000e+02 -1.126111086955043080e-06 -7.199864092022430133e-07 8.122493555056001074e-08 -6.773055823841425194e-05 -4.615243740393215710e-06
8.250000000000000000e+02 8.300000000000000000e+02 -7.199864092022430133e-07 6.931115912407386137e-07 2.826196000885963677e-07 -2.338811564822942371e-04 -6.718704490376099912e-08
8.300000000000000000e+02 8.350000000000000000e+02 6.931115912407386137e-07 -1.612758199411000002e-06 -4.611739581303477337e-07 3.834674968394293729e-04 -2.299116520425653471e-06
8.350000000000000000e+02 8.400000000000000000e+02 -1.612758199411000002e-06 -1.796795624469012205e-06 -3.680748501160243800e-08 2.912149178527703307e-05 -8.523884559700031470e-06
8.400000000000000000e+02 8.450000000000000000e+02 -1.796795624469012205e-06 -2.699955276614927239e-06 -1.806319304291830016e-07 1.499340259360447121e-04 -1.124187725270984914e-05
8.450000000000000000e+02 8.500000000000000000e+02 -2.699955276614927239e-06 -3.635013892579115923e-06 -1.870117231928377261e-07 1.553249508213329691e-04 -1.583742292298510960e-05
8.500000000000000000e+02 8.550000000000000000e+02 -3.635013892579115923e-06 -1.612168533147555775e-06 4.045690718863120296e-07 -3.475187249959443576e-04 -1.311795606431667882e-05
8.550000000000000000e+02 8.600000000000000000e+02 -1.612168533147555775e-06 2.275916112810370495e-06 7.776169291915851692e-07 -6.664746429919528835e-04 1.659368949157036799e-06
8.600000000000000000e+02 8.650000000000000000e+02 2.275916112810370495e-06 1.214211115210666133e-06 -2.123409995199408829e-07 1.848891756999595300e-04 8.725318070052591251e-06
8.650000000000000000e+02 8.700000000000000000e+02 1.214211115210666133e-06 -1.965850952733672890e-06 -6.360124135888678469e-07 5.513649488695813658e-04 -1.879099593807516786e-06
8.700000000000000000e+02 8.750000000000000000e+02 -1.965850952733672890e-06 7.844904167079758771e-06 1.962151023962686332e-06 -1.709037241800270834e-03 1.469763303586521470e-05
8.750000000000000000e+02 8.800000000000000000e+02 7.844904167079758771e-06 3.460780285029331400e-06 -8.768247764100854953e-07 7.750665835259046071e-04 2.826421113027272161e-05
8.800000000000000000e+02 8.850000000000000000e+02 3.460780285029331400e-06 1.636368045827919960e-05 2.580580034649973387e-06 -2.267449650206947252e-03 4.956115185827132793e-05
8.850000000000000000e+02 8.900000000000000000e+02 1.636368045827919960e-05 -5.972099139683813419e-06 -4.467155919592602944e-06 3.969796669297732082e-03 2.597895329648846165e-05
8.900000000000000000e+02 8.950000000000000000e+02 -5.972099139683813419e-06 2.748585754975595635e-06 1.744136978931881980e-06 -1.558254010389058773e-03 -8.058783461770544884e-06
8.950000000000000000e+02 9.000000000000000000e+02 2.748585754975595635e-06 -2.057374049471035040e-05 -4.664465249937189039e-06 4.177444984448760133e-03 -4.456288684933688523e-05
9.000000000000000000e+02 9.050000000000000000e+02 -2.057374049471035040e-05 -8.159825506811312914e-07 3.951551588805843992e-06 -3.576970170419969865e-03 -5.347430761347870594e-05
9.050000000000000000e+02 9.100000000000000000e+02 -8.159825506811312914e-07 1.499515075862424752e-06 4.630995253087111981e-07 -4.199210529550647785e-04 1.708831312953233651e-06
9.100000000000000000e+02 9.150000000000000000e+02 1.499515075862424752e-06 -3.335138118104816986e-06 -9.669306387934483476e-07 8.814063963779004973e-04 -4.589057605605981009e-06
9.150000000000000000e+02 9.200000000000000000e+02 -3.335138118104816986e-06 1.247430098506962422e-05 3.161887820634888495e-06 -2.896462493999027703e-03 2.284790716741201766e-05
9.200000000000000000e+02 9.250000000000000000e+02 1.247430098506962422e-05 1.227076636051028468e-06 -2.249444869803719108e-06 2.081963581204491261e-03 3.425344405280162844e-05
9.250000000000000000e+02 9.300000000000000000e+02 1.227076636051028468e-06 9.292376102376944153e-06 1.613059893265183307e-06 -1.490853324634243415e-03 2.629863184606992912e-05
9.300000000000000000e+02 9.350000000000000000e+02 9.292376102376944153e-06 -4.670256254368130699e-07 -1.951880345562751392e-06 1.824541097475735870e-03 2.206337619235032731e-05
9.350000000000000000e+02 9.400000000000000000e+02 -4.670256254368130699e-07 3.445701655848008801e-06 7.825454562569643424e-07 -7.321470272256984163e-04 7.446690076027988718e-06
9.400000000000000000e+02 9.450000000000000000e+02 3.445701655848008801e-06 2.642184390010058730e-06 -1.607034531675900035e-07 1.545069476333826267e-04 1.521971511464516777e-05
9.450000000000000000e+02 9.500000000000000000e+02 2.642184390010058730e-06 -4.346769259287417566e-07 -6.153722631877601398e-07 5.841689731024433865e-04 5.518768660203291958e-06
