#trapazoidal
# startwidth 		endwidth 		startheight		endheight 		slope 			y-intercept 			area
3.750000000000000000e+02 3.800000000000000000e+02 -3.648422611680923907e-07 2.673936465353092634e-07 1.264471815406803361e-07 -4.778253533892321973e-05 -2.436215365819578182e-07
3.800000000000000000e+02 3.850000000000000000e+02 2.673936465353092634e-07 -2.869878078660470271e-07 -1.108762908802712607e-07 4.240038418103838914e-05 -4.898540332684440912e-08
3.850000000000000000e+02 3.900000000000000000e+02 -2.869878078660470271e-07 -2.384917291932586204e-06 -4.195858968133078565e-07 1.612535824652574590e-04 -6.679762749496582653e-06
3.900000000000000000e+02 3.950000000000000000e+02 -2.384917291932586204e-06 -8.869911461828108908e-07 2.995852291499550626e-07 -1.192231566604150483e-04 -8.179771095288492524e-06
3.950000000000000000e+02 4.000000000000000000e+02 -8.869911461828108908e-07 4.006314543286468761e-09 1.781994921452194621e-07 -7.127579054354449696e-05 -2.207462079098811283e-06
4.000000000000000000e+02 4.050000000000000000e+02 4.006314543286468761e-09 -2.303225344252218310e-06 -4.614463317591009990e-07 1.845825390181836867e-04 -5.748047574272329409e-06
4.050000000000000000e+02 4.100000000000000000e+02 -2.303225344252218310e-06 3.350040857801072925e-06 1.130653240410658332e-06 -4.602177877105688257e-04 2.617038783872136747e-06
4.100000000000000000e+02 4.150000000000000000e+02 3.350040857801072925e-06 2.426437108907166469e-06 -1.847207497787813017e-07 7.908554826710140272e-05 1.444119491677059806e-05
4.150000000000000000e+02 4.200000000000000000e+02 2.426437108907166469e-06 -4.045274376995627676e-07 -5.661929093213458579e-07 2.373964944772656810e-04 5.054774178019008697e-06
4.200000000000000000e+02 4.250000000000000000e+02 -4.045274376995627676e-07 -3.549168133499444256e-06 -6.289281391599762871e-07 2.637452910094904477e-04 -9.884238927997518115e-06
4.250000000000000000e+02 4.300000000000000000e+02 -3.549168133499444256e-06 4.587315478833386115e-06 1.627296722466566116e-06 -6.951502751817900715e-04 2.595368363334854435e-06
4.300000000000000000e+02 4.350000000000000000e+02 4.587315478833386115e-06 7.081795434684538847e-06 4.988959911702305042e-07 -2.099379607243657226e-04 2.917277728379481452e-05
4.350000000000000000e+02 4.400000000000000000e+02 7.081795434684538847e-06 7.253066988598827220e-05 1.308977489026074532e-05 -5.686970281828739558e-03 1.990311633016820310e-04
4.400000000000000000e+02 4.450000000000000000e+02 7.253066988598827220e-05 6.502772075332614692e-03 1.286048281089325349e-03 -5.657887130094172434e-01 1.643825686304650757e-02
4.450000000000000000e+02 4.500000000000000000e+02 6.502772075332614692e-03 7.328396824785210484e-02 1.335623923450389786e-02 -5.937023687278902173e+00 1.994668508079618097e-01
4.500000000000000000e+02 4.550000000000000000e+02 7.328396824785210484e-02 6.855275688702297532e-02 -9.462422721658259256e-04 4.990929907224738171e-01 3.545918128371877143e-01
4.550000000000000000e+02 4.600000000000000000e+02 6.855275688702297532e-02 6.269472032395324856e-02 -1.171607312613945438e-03 6.016340841263682071e-01 3.281186930274405666e-01
4.600000000000000000e+02 4.650000000000000000e+02 6.269472032395324856e-02 5.948245674329070282e-02 -6.424527161325091495e-04 3.582229697449074712e-01 3.054429426681098958e-01
4.650000000000000000e+02 4.700000000000000000e+02 5.948245674329070282e-02 5.748466321557378633e-02 -3.995587055433833185e-04 2.452772548209639636e-01 2.924177998971612125e-01
4.700000000000000000e+02 4.750000000000000000e+02 5.748466321557378633e-02 6.487986435687236042e-02 1.479040228259714774e-03 -6.376642440664922473e-01 3.059113189311153391e-01
4.750000000000000000e+02 4.800000000000000000e+02 6.487986435687236042e-02 6.858168761902862232e-02 7.403646524312523357e-04 -2.867933455479725335e-01 3.336538799397524846e-01
4.800000000000000000e+02 4.850000000000000000e+02 6.858168761902862232e-02 6.111240002576463770e-02 -1.493857518652796836e-03 7.856332965723711315e-01 3.242352191119831639e-01
4.850000000000000000e+02 4.900000000000000000e+02 6.111240002576463770e-02 5.834988359322077628e-02 -5.525032865087723061e-04 3.290764939825192026e-01 2.986557090474635245e-01
4.900000000000000000e+02 4.950000000000000000e+02 5.834988359322077628e-02 5.547714507677477952e-02 -5.745477032891993519e-04 3.398782582049284517e-01 2.845675716749889173e-01
4.950000000000000000e+02 5.000000000000000000e+02 5.547714507677477952e-02 5.165944149218991421e-02 -7.635407169169731046e-04 4.334297999506764865e-01 2.678414664224116892e-01
5.000000000000000000e+02 5.050000000000000000e+02 5.165944149218991421e-02 4.971996818450996614e-02 -3.878946615359896264e-04 2.456067722601847358e-01 2.534485241917496801e-01
5.050000000000000000e+02 5.100000000000000000e+02 4.971996818450996614e-02 5.234350781607849390e-02 5.247079263137055527e-04 -2.152575346039113380e-01 2.551586900014711778e-01
5.100000000000000000e+02 5.150000000000000000e+02 5.234350781607849390e-02 6.563955671106201650e-02 2.659209778996704434e-03 -1.303853479472240950e+00 2.949576613178512829e-01
5.150000000000000000e+02 5.200000000000000000e+02 6.563955671106201650e-02 8.642535704022173693e-02 4.157160065831944085e-03 -2.075297877192389340e+00 3.801622843782093697e-01
